Name,Seed Name,Temperature (2 m),Precipitation,Soil Temperature (0 to 6 cm),Soil Moisture (0-3 cm),Sunshine Duration,Humidity,Soil Type,Watering
"Potatoes, Gold Rush(Mid Season), Certified",Gold Rush,,750-1000mm,,,12-14 hours,70-80%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Moderate
"Potatoes, Katahdin (Late Season), Certified",Katahdin,14-16,700-800 mm,10-12,60-70%,15-17 hours,70-80%,"['Sandy loam', 'Clay loam', 'Loamy sand']",Moderate
"Potatoes, Kennebec (Mid Season), Certified",Kennebec,18-20,600-800 mm,15-17,60-70%,10-12 hours,60-80%,"['Sand', 'Loam', 'Clay']",As needed
"Potatoes, Keuka Gold (Mid Season), Certified",Keuka Gold,15-20,600-800 mm,10-15,60-70%,12-14 hours,65-75%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Moderate
"Potatoes, Lehigh (Late Season), Certified",Lehigh Late Season,15-20,750-1000 mm,10-15,60-70%,12-14 hours,50-60%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']","As needed, taking care not to overwater"
"Potatoes, Red Maria (Late Season), Certified",Red Maria,15-20,700-1000 mm,10-15,50-70%,12-14 hours,60-80%,"['Sandy Loam', 'Loamy Sand', 'Silty Clay']",1 time a week
"Potatoes, Red Norland (Early Mid Season), Certified",Red Norland,,600-800 mm,,,15-20 hours/day,70-80%,"['Sandy loam', 'Loamy sand', 'Clay loam']",As needed
"Potatoes, Red Pontiac (Mid Season), Certified",Red Pontiac,,600-800 mm,,,6-8 hours,70-80%,"['Loamy Sand', 'Sandy Loam', 'Clay Loam']",Regular
"Potatoes, Russet Burbank (Long Season), Certified","Potatoes, Russet Burbank (Long Season), Certified","[15, 20]","['700-800 mm', '800-900 mm']","[10, 15]","['60-70%', '50-60%']","['14-16 hours', '16-18 hours']","['65-75%', '70-80%']","['Clay Loam', 'Sandy Loam', 'Loamy Sand']",Moderate
"Potatoes, Superior (Early Mid Season), Certified",Superior,15-20,800-1000 mm,10-12,50-60%,14-16 hours,70-80%,"['Well-draining sandy loam', 'Clay loam', 'Silty clay']",Moderate
"Potatoes, Yukon Gem (Mid Season), Certified",Yukon Gem,,450-600 mm,,,6-8 hours,70-80,"['Sandy Loam', 'Clay Loam', 'Chalky']",Moderate
Fall Green Manure MixCover Crop Seed,Fall Green Manure Mix,15-20,600-800 mm,10-15,60-80%,150-200 days,70-80%,"['Silty Loam', 'Loamy Sand', 'Clay Loam']",As needed
Hairy VetchOrganic Cover Crop Seed,Hairy Vetch,15-20,500-700 mm,12-18,60-80%,1500-2000 hours,50-70%,"['Sandy Loam', 'Loamy Sand', 'Silty Clay']","As needed, but avoid overwatering"
BuckwheatCover Crop Seed,Buckwheat,15-20,700-800 mm,10-15,50-60%,18-22 hours,40-60%,"['Clay Loam', 'Silt Loam', 'Sand Loam']",Moderate
Buckwheat (Common)Organic Cover Crop Seed,Buckwheat (Common),17-25,500-800 mm,12-20,50-70%,6-8 hours,60-80%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']","As needed, but avoid overwatering"
New Zealand White CloverCover Crop Seed,New Zealand White Clover,18-22,400-600 mm,15-20,60-80,8-12 hours,50-70%,"['Sandy loam', 'Loamy sand', 'Clay loam']",Moderate
Crimson CloverCover Crop Seed,Crimson Clover,15-20,600-800 mm,10-12,50-70%,6-8 hours,60-70%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']","As needed, avoid overwatering"
Crimson CloverOrganic Cover Crop Seed,Crimson Clover,18-22,400-600 mm,15-20,60-80,4-6 hours,50-70,"['Clay Loam', 'Sandy Loam', 'Silty Loam']",Moderate
Medium Red CloverOrganic Cover Crop Seed,Medium Red Clover,15-20,500-700 mm,10-15,60-80,4-6 hours/day,60-70%,"['Silty Loam', 'Clay Loam', 'Sand']",As needed
Fall Green Manure MixCover Crop Seed,Fall Green Manure Mix,12-18,600-800,10-14,50-70,4-6 hours,60-80%,"['Silty Clay Loam', 'Clay Loam', 'Sand']",Moderate
Peas and Oats MixOrganic Cover Crop Seed,Peas and Oats MixOrganic,15-20,400-600 mm,10-18,40-60%,12-16 hours,50-70%,"['Sandy Loam', 'Loamy Sand', 'Clay Loam']",Moderate
Oats (Common)Organic Cover Crop Seed,Oats (Common) Organic,,500-700 mm,,,4-6 hours,50-70%,"['Silty Loam', 'Clay Loam', 'Sand']",Moderate
Winter Rye (Common)Organic Cover Crop Seed,Winter Rye (Common),5-10,400-600 mm,8-12,15-25%,4-6 hours,60-70%,"['Clay Loam', 'Silty Clay', 'Sandy Loam']","As needed, keep soil consistently moist during establishment phase (first 2 weeks)"
Hairy VetchOrganic Cover Crop Seed,Hairy Vetch,15-20,600-800 mm,12-18,50-70%,4-6 hours,60-80%,"['Clay Loam', 'Sandy Loam', 'Loamy Sand']",Moderate
Field Peas (Maxum)Cover Crop Seed,Field Peas (Maxum),18-22,400-800 mm,10-15,50-70,4-6 hours,60-80%,"['Silty Loam', 'Loamy Sand', 'Clay Loam']",Medium Frequent
