Names,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid
abies lowiana,"[""Loamy"",""Sandy"",""Clay""]",Evergreen Conifer,"[""Spring"",""Summer"",""Fall""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Rocky Mountains"",""Sierra Nevada"",""Cascade Range""]",15.0,17.5,1500.0,0.4,3000,70
abies magnifica,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]",Tree,"[""Late spring"",""Summer""]",03-Feb,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Sierra Nevada"",""California"",""Oregon""]",10.0,7.5,750.0,0.3,3000,80
abutilon malacum,"[""Loamy"",""Sandy"",""Clayey""]",Flowering Plant,"[""Spring"",""Summer""]",Every 2 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""Tropical regions"",""Subtropical regions""]",22.5,21.5,750.0,0.3,4000,60
abutilon mauritianum,"[""Loamy"",""Sandy""]",Shrub,"[""Year-round""]",03-Feb,"[""Organic fertilizer"",""Slow-release fertilizer""]",06-Apr,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,750.0,0.3,22000,80
abelmoschus manihot,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Summer"",""Rainy season""]",Every 2-3 days,"[""Organic compost"",""NPK fertilizers""]",Every 2 weeks,"[""Tropical regions"",""Subtropical regions""]",27.5,30.0,1000.0,0.3,28000,60
hibiscus manihot,"[""Sandy"",""Loamy"",""Clayey""]",Shrub,"[""Summer""]",2,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,30.0,800.0,0.3,18000,70
abies ×shastensis,"[""Sandy loam"",""Loam"",""Silty clay""]",Evergreen tree,"[""Spring"",""Summer""]",Every 7 days,"[""Complete fertilizer"",""Slow-release fertilizer""]",Every 4 weeks,"[""Pacific Northwest"",""Northern California"",""Western Oregon""]",10.0,10.0,150.0,0.45,22000,70
abutilon menziesii,"[""Sandy loam"",""Loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Coastal regions"",""Mediterranean climates""]",20.0,20.0,750.0,0.45,25000,70
abutilon megapotamicum,"[""Loamy soil"",""Sandy soil""]",Shrub,"[""Spring"",""Summer""]",2-3 hours interval,"[""Organic compost"",""Slow-release fertilizer""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",20.0,20.0,750.0,0.3,22000,60
abelmoschus moschatus,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Herb,"[""Start of summer"",""Spring"",""Autumn""]",Every 2 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",Every 4 weeks,"[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]",25.0,25.0,900.0,0.3,30000,60
hibiscus abelmoschus,"[""Loamy"",""Sandy"",""Clayey""]",Flowering Plant,"[""Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release granular fertilizer""]",06-Apr,"[""Tropical"",""Subtropical"",""Mediterranean""]",25.0,25.0,1500.0,0.3,5000,80
abutilon mollicomum,"[""Loamy"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",48,"[""Nitrogen-based"",""Potassium-based""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,20.0,750.0,0.3,20000,60
abutilon sonorae,"[""Loamy"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwestern United States"",""Northern Mexico""]",20.0,20.0,400.0,0.3,36000,60
abronianana,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Late spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",12,"[""California"",""Oregon"",""Washington""]",20.0,25.0,300.0,0.3,16000,60
abronias neurophylla,"[""Sandy loam"",""Well-drained soil""]",Flowering plant,"[""Spring"",""Summer""]",05-Mar,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,"[""California"",""Oregon"",""Washington""]",20.0,15.0,350.0,0.3,25000,60
abildgaardia ovata,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Herbaceous plant,"[""Year-round""]",03-Feb,"[""NPK 10-10-10"",""Organic compost""]",06-Apr,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,1000.0,0.45,40000,80
abildgaardia monostachya,"[""Sandy"",""Loamy"",""Clay""]",Grass,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Wetlands"",""Marshes"",""Bogs""]",27.5,22.5,750.0,0.3,14000,70
cyperus monostachyos,"[""Sandy loam"",""Clay loam"",""Loamy sand""]",Grass,"[""Start of summer"",""Rainy season""]",3-5 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 (weeks interval),"[""Tropical regions"",""Subtropical regions""]",25.0,30.0,750.0,0.3,25000,60
fimbristylis monostachya,"[""Sandy"",""Loamy""]",Grass,"[""Late spring"",""Summer"",""Early autumn""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus""]",4-6 (weeks interval),"[""Tropical regions"",""Wetlands"",""Marshes""]",25.0,27.5,750.0,0.3,20000,70
fimbristylis ovata,"[""Sandy"",""Loamy"",""Clay""]",Grass,"[""Summer""]",48,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Coastal regions"",""Wetlands""]",25.0,30.0,650.0,0.3,30000,80
abutilon palmeri,"[""Loamy"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",04-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""California"",""Arizona"",""New Mexico""]",22.5,21.5,350.0,0.25,20000,60
abutilon parishii,"[""Loam"",""Sandy loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",03-Feb,"[""NPK fertilizer"",""Organic fertilizer""]",4,"[""Southern California"",""Arizona"",""Texas""]",20.0,20.0,400.0,0.2,20000,70
abutilon parvulum,"[""Loam"",""Sandy loam""]",Flowering plant,"[""Spring"",""Summer""]",03-Feb,"[""NPK 10-10-10"",""Organic compost""]",06-Apr,"[""Tropical regions"",""Subtropical regions""]",25.0,20.0,750.0,0.45,600,70
abrothallus parmeliarum,"[""Loamy soil"",""Sandy soil""]",Moss,"[""Start of spring""]",2 hours interval,"[""None""]",Not applicable,"[""Temperate forests"",""Rocky areas""]",15.0,12.5,750.0,0.4,8000,80
buelliella parmeliarum,"[""Well-drained soil""]",Moss,"[""Spring"",""Autumn""]",2-4 hours interval,"[""Organic compost"",""Slow-release fertilizer""]",4 weeks interval,"[""Temperate forest"",""Mountainous regions""]",17.5,15.0,750.0,0.45,18000,70
abutilon permolle,"[""Loam"",""Sandy loam""]",Shrub,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,21.5,750.0,0.3,20000,70
abrothallus peyritschii,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Autumn""]",48,"[""Nitrogen-based"",""Potassium-based""]",4,"[""Temperate forests"",""Mountain regions""]",15.0,10.0,150.0,0.3,500,60
abronio pogonantha,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Flowering plant,"[""Spring"",""Summer""]",03-Feb,"[""10-10-10"",""20-10-10""]",4,"[""California"",""Mexico"",""Baja California""]",20.0,21.0,450.0,0.2,20000,60
abies procera,"[""Well-drained soil"",""Loamy soil""]",Tree,"[""Late spring"",""Summer""]",2-3 hours interval,"[""Nitrogen-based fertilizer"",""Slow-release granular fertilizer""]",4-6 weeks interval,"[""Pacific Northwest"",""Rocky Mountains""]",7.5,12.5,1000.0,0.35,3000,80
abies nobilis,"[""Well-drained"",""Loamy"",""Sandy""]",Evergreen tree,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2-4 weeks interval,"[""North America"",""Europe"",""Asia""]",6.5,9.0,1500.0,0.45,3000,80
abrus precatorius,"[""Sandy loam"",""Clay loam""]",Herb,"[""Summer""]",2,"[""Organic fertilizers"",""NPK fertilizers""]",4,"[""Tropical regions""]",25.0,27.5,125.0,0.4,30000,70
abrus abrus,"[""Sandy loam"",""Silt loam"",""Clay loam""]",Legume,"[""Summer""]",3,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",27.5,27.5,1000.0,0.3,30000,80
abrothallus prodiens,"[""Sandy loam"",""Silt loam"",""Peat""]",Moss,"[""Spring"",""Autumn""]",48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Cool and humid regions with shade"",""Temperate forests""]",15.0,12.5,750.0,0.4,30000,70
abutilon reventum,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Shrub,"[""Start of summer"",""Spring"",""Autumn""]",03-Feb,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,"[""Tropical regions"",""Mediterranean climates""]",22.5,20.0,750.0,0.3,30000,60
