Seed_ID,Seed_Name,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid
30865,hydrothyria venosa,"[""Loamy"",""Sandy""]",Flowering Plant,"[""Spring"",""Summer""]",Every 2-3 days,"[""Organic compost"",""NPK fertilizers""]",Every 4-6 weeks,"[""Tropical regions"",""Subtropical regions""]",25,21.5,750,0.45,20000,80
30866,hymenocallis duvalensis,"[""Sandy Loam"",""Clay Loam""]",Flowering Plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""NPK"",""Organic Fertilizer""]",4-6 (weeks interval),"[""Subtropical"",""Tropical""]",25,30,1500,0.4,40000,80
30867,hygrohypnum duriusculum,"[""Loam"",""Silt"",""Clay""]",Moss,"[""Spring"",""Autumn""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate regions"",""Humid areas""]",20,15,1150,0.45,22000,80
30868,hypogymnia duplicata,"[""Well-drained"",""Sandy"",""Loamy""]",Lichen,"[""Spring"",""Autumn""]",24,"[""Organic compost"",""Slow-release granules""]",8,"[""Temperate forests"",""Mountainous regions""]",15,11.5,750,0.5,300,70
30869,hypogymnia elongata,"[""Well-drained soil"",""Sandy soil""]",Lichen,"[""Spring"",""Autumn""]",48,"[""Organic fertilizers"",""Slow-release fertilizers""]",4,"[""Temperate regions"",""Cool and humid areas""]",15,10,750,0.3,25000,80
30870,hypericum edisonianum,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Perennial,"[""Spring"",""Summer""]",2,"[""NPK 20-10-10"",""NPK 10-10-10""]",6,"[""California"",""Oregon"",""Washington""]",20,15,750,0.4,20000,60
30871,ascyrum edisonianum,"[""Loam"",""Sandy loam""]",Flowering plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""California"",""Arizona"",""Nevada""]",22.5,17.5,650,0.25,3500,60
30872,hypericum ellipticum,"[""Sandy loam"",""Loam"",""Clay loam""]",Shrub,"[""Late spring"",""Summer"",""Early fall""]",2,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Eastern United States"",""Western Europe"",""Australia""]",20,15,750,0.4,40000,70
30873,hyptis emoryi,"[""Sandy loam"",""Loamy sand""]",Wildflower,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Desert regions"",""Coastal areas""]",30,25,200,0.3,5000,70
30874,hypotrachyna ensifolia,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer"",""Autumn""]",24,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4,"[""Temperate forests"",""Mountainous regions""]",10,17.5,1400,0.5,3000,80
30875,parmelia ensifolia,"[""Sandy"",""Loamy""]",Moss,"[""Spring"",""Autumn""]",24,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",8,"[""Shaded areas"",""Moist environments""]",20,15,750,0.5,600,60
30876,parmelia lobulifera,"[""Sandy"",""Loamy"",""Clayey""]",Lichen,"[""Spring"",""Autumn""]",48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Temperate forests"",""Coastal regions"",""Mountainous areas""]",17.5,15,1000,0.3,20000,80
30877,hypogymnia enteromorpha,"[""Sandy"",""Loamy"",""Clay""]",Lichen,"[""Spring"",""Summer"",""Autumn""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",10,7.5,1250,0.25,43200,80
30878,hylotelephium erythrostictum,"[""Well-drained"",""Sandy loam""]",Perennial,"[""Spring"",""Summer""]",48 hours interval,"[""Organic compost"",""Balanced slow-release fertilizer""]",4 weeks interval,"[""North America"",""Europe"",""Asia""]",20,15,650,0.3,22000,60
30879,sedum alboroseum,"[""Well-drained"",""Sandy"",""Loamy""]",Perennial,"[""Spring"",""Summer""]",2,"[""All-purpose"",""Slow-release""]",8,"[""North America"",""Europe"",""Asia""]",20,15,450,0.3,22000,60
30880,sedum erythrostictum,"[""Well-drained soil""]",Perennial,"[""Spring to fall""]",Every 7 days,"[""Organic compost"",""Slow-release fertilizer""]",Every 4 weeks,"[""Full sun or partial shade""]",25,20,400,0.3,22000,60
30881,hypericum erythraeum,"[""Sandy loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Mediterranean"",""Subtropical""]",20,20,650,0.3,28000,70
30882,hypericum erythraeae,"[""Well-drained soil"",""Sandy soil""]",Herbaceous perennial,"[""Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Mediterranean region"",""Subtropical region""]",21.5,17.5,600,0.35,25000,70
30883,hyeronima,"[""Sandy loam"",""Clay loam"",""Loamy sand""]",Tree,"[""Late spring"",""Summer"",""Early fall""]",2-3 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 (weeks interval),"[""Central America"",""South America"",""Caribbean""]",30,25,1500,0.3,25000,80
30884,hyptis escobilla,"[""Sandy loam"",""Silt loam"",""Clay loam""]",Herb,"[""Summer"",""Rainy""]",5,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",25,30,750,0.3,30000,80
30885,hygrohypnum eugyrium,"[""Peat"",""Loam"",""Silt""]",Moss,"[""Spring"",""Summer"",""Autumn""]",48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Shaded forests"",""Wetlands"",""Bogs""]",20,15,1000,0.4,3000,80
30886,hymenelia euplotica,"[""Loam"",""Silty Loam"",""Sandy Loam""]",Flowering Plant,"[""Spring"",""Summer""]",6 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",21.5,22.5,1000,0.4,600,80
30887,lecanora epulotica,"[""Sandy"",""Loam"",""Clay""]",Lichen,"[""Spring"",""Summer"",""Autumn""]",48 hours interval,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4 weeks interval,"[""Temperate regions"",""Coastal areas"",""Forest environments""]",5,10,300,0.45,4000,80
30888,hypericum exile,"[""Sandy loam"",""Loamy sand"",""Silty loam""]",Herb,"[""Spring"",""Summer"",""Autumn""]",2,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""Europe"",""North America"",""Asia""]",20,15,750,0.3,4000,70
30889,hymenocallis expansa,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Flowering Plant,"[""Late Spring"",""Summer"",""Early Autumn""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",25,20,750,0.3,28000,70
30890,pancratium expansum,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Summer""]",03-Feb,"[""All-purpose liquid fertilizer"",""Slow-release granular fertilizer""]",06-Apr,"[""Coastal regions"",""Tropical regions""]",22.5,27.5,750,0.4,30000,70
30891,hypericum fasciculatum,"[""Sandy"",""Loamy"",""Clayey""]",Shrub,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Mediterranean"",""Temperate""]",20,15,750,0.3,22000,60
30892,hypogymnia farinacea,"[""Sandy"",""Silty"",""Loamy""]",Lichen,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Tundra"",""Alpine regions""]",11.5,11.5,1500,0.45,20000,90
30893,hypogymnia bitteriana,"[""Well-drained soil"",""Sandy soil"",""Loamy soil""]",Lichen,"[""Spring"",""Summer""]",12,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""Temperate forests"",""Boreal forests"",""Alpine regions""]",15,10,750,0.45,4000,80
30894,hypopterygium fauriei,"[""Sandy loam"",""Loam"",""Clay loam""]",Moss,"[""Start of spring"",""Summer"",""Autumn""]",24,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4,"[""Temperate regions"",""Woodlands"",""Forest floors""]",15,12.5,150,0.3,600,60
30895,hydrophyllum fendleri,"[""Loam"",""Silt"",""Clay""]",Flowering Plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6,"[""Woodlands"",""Meadows"",""Wetlands""]",17.5,12.5,750,0.3,24000,70
30896,hypnum fertile,"[""Loam"",""Clay"",""Silt""]",Moss,"[""Spring"",""Autumn""]",24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Shaded areas"",""Wetlands"",""Forests""]",17.5,12.5,1150,0.45,40000,80
30897,hydrophyllum congestum,"[""Loamy"",""Silty""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""NPK"",""Compost""]",4,"[""North America"",""Europe""]",17.5,12.5,750,0.3,22000,70
30898,hymenopappus filifolius,"[""Sandy"",""Loamy"",""Clayey""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwest United States"",""Mexico"",""Central America""]",22.5,17.5,375,0.2,22000,60
30899,hyparrhenia filipendula,"[""Sandy"",""Loamy"",""Clayey""]",Grass,"[""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical"",""Subtropical""]",22.5,25,600,0.2,25000,60
30900,hymenopappus arenosus,"[""Sandy"",""Loamy"",""Clayey""]",Wildflower,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Desert"",""Grassland"",""Savanna""]",22.5,27.5,350,0.2,23000,70
30901,hymenopappus cinereus,"[""Sandy"",""Loamy"",""Clayey""]",Flower,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwest United States"",""Mexico""]",20,20,375,0.2,30000,70
30902,hymenopappus eriopodus,"[""Sandy Loam"",""Clay Loam""]",Flowering Plant,"[""Late Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""Southwestern United States"",""Northern Mexico""]",25,20,350,0.3,22000,60
30903,hymenopappus gloriosus,"[""Sandy soil"",""Loam soil""]",Flowering plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Southwestern United States"",""Mexico""]",17.5,17.5,400,0.35,15000,60
30904,hymenopappus lugens,"[""Sandy"",""Loamy""]",Perennial,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 (weeks interval),"[""Southwestern United States"",""Northern Mexico""]",20,20,350,0.3,22000,70
30905,hymenopappus luteus,"[""Sandy"",""Loamy""]",Wildflower,"[""Spring"",""Summer""]",24,"[""NPK fertilizers"",""Compost""]",4,"[""Southwestern United States"",""Mexico""]",20,20,450,0.2,36000,70
30906,hymenopappus pauciflorus,"[""Sandy"",""Loamy""]",Wildflower,"[""Late Spring"",""Summer"",""Early Fall""]",Every 2 days,"[""Organic compost"",""Slow-release granular fertilizer""]",Every 4 weeks,"[""Southwestern United States"",""Northern Mexico""]",22.5,17.5,375,0.3,36000,70
30907,hymenopappus polycephalus,"[""Sandy loam"",""Well-drained soil""]",Flowering plant,"[""Late spring"",""Summer""]",24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4,"[""Southwestern United States"",""Northern Mexico""]",25,20,300,0.3,600,60
30908,hymenopappus flavescens,"[""Sandy"",""Loamy""]",Flowering Plant,"[""Late Spring"",""Summer"",""Early Fall""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Southwestern United States"",""Northern Mexico""]",25,20,650,0.3,25000,60
30909,hypolytrum flavinux,"[""Sandy loam"",""Silt loam"",""Clay loam""]",Grass,"[""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",25,20,150,0.3,22000,60
30910,mapania flavinux,"[""Loam"",""Sandy loam"",""Clay loam""]",Shrub,"[""Year-round""]",Every 2 days,"[""Organic compost"",""Slow-release granular fertilizer""]",06-Apr,"[""Tropical rainforests"",""Wetlands"",""Swamps""]",27.5,22.5,1250,0.35,30000,80
30911,hygroamblystegium fluviatile,"[""Sandy loam"",""Clay loam"",""Silt loam""]",Moss,"[""Start of spring"",""Spring"",""Autumn""]",Every 2 days,"[""Organic compost"",""Liquid seaweed fertilizer""]",Every 4 weeks,"[""Shaded forests"",""Wetlands"",""Riverbanks""]",17.5,15,1150,0.5,22000,80
30912,amblystegium fluviatile,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer"",""Autumn""]",48,"[""Organic compost"",""Liquid fertilizer""]",4,"[""Shaded areas"",""Moist environments"",""Riverbanks""]",17.5,15,150,0.4,25000,70
30913,hymenosporum flavum,"[""Well-drained soil"",""Sandy loam soil""]",Flowering Tree,"[""Spring"",""Early summer""]",48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",6,"[""Tropical regions"",""Subtropical regions""]",20,20,1150,0.4,28000,80
30914,hymenopappus flavomarginatus,"[""Sandy loam"",""Loamy sand""]",Herbaceous perennial,"[""Late spring"",""Summer""]",12 hours interval,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4 weeks interval,"[""Southwestern United States"",""Northern Mexico""]",25,20,350,0.3,3500,60
30915,hypolepis flaccida,"[""Well-drained soil"",""Sandy soil""]",Fern,"[""All year round""]",2-3 hours interval,"[""Organic compost"",""Liquid fertilizer""]",4-6 (weeks interval),"[""Tropical rainforests"",""Subtropical regions""]",17.5,20,1400,0.35,30000,80
30916,hymenopappus robustus,"[""Sandy loam"",""Loam"",""Clay loam""]",Perennial,"[""Late spring"",""Summer"",""Early fall""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwestern United States"",""Northern Mexico""]",22.5,20,500,0.3,25000,60
30917,hydnophytum formicarium,"[""Well-drained soil"",""Humus-rich soil""]",Epiphytic plant,"[""Year-round""]",03-Feb,"[""Organic fertilizer"",""Slow-release fertilizer""]",06-Apr,"[""Tropical rainforests""]",26,27.5,2250,0.55,20000,80
30918,hypericum formosum,"[""Loam"",""Clay"",""Silt""]",Shrub,"[""Late Spring"",""Summer"",""Early Autumn""]",24,"[""NPK"",""Compost""]",4,"[""Europe"",""North America"",""Asia""]",20,15,750,0.3,4000,60
30919,hypericum frondosum,"[""Well-drained"",""Loamy""]",Shrub,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe""]",20,20,750,0.3,25000,70
30920,hypericum aureum,"[""Sandy"",""Loamy""]",Perennial,"[""Spring"",""Summer""]",2,"[""Organic fertilizer"",""Slow-release granular fertilizer""]",4,"[""Europe"",""North America"",""Asia""]",20,15,1000,0.3,22000,60
30921,hypericum splendens,"[""Loam"",""Sandy loam""]",Perennial,"[""Spring"",""Summer""]",2,"[""All-purpose fertilizer"",""Slow-release fertilizer""]",4,"[""Mediterranean"",""Subtropical"",""Tropical""]",20,15,750,0.3,20000,70
30922,hymenophyllum fragile,"[""Loam"",""Silt"",""Sand""]",Fern,"[""Spring"",""Summer""]",24,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Temperate forests"",""Moist gullies"",""Shaded rock faces""]",15,17.5,125,0.3,20000,80
30923,hypocenomyce friesii,"[""Sandy"",""Silty"",""Loamy""]",Moss,"[""Late spring"",""Summer""]",48 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Temperate forests"",""Cool and moist regions""]",15,10,750,0.4,40000,80
30924,lecidea friesii,"[""Sandy"",""Loamy"",""Clay""]",Lichen,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Alpine regions""]",15,10,750,0.35,15000,60
30925,psora friesii,"[""Well-drained soil"",""Sandy soil""]",Flowering plant,"[""Spring"",""Summer""]",Once every 2 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",Every 4 weeks,"[""Tropical regions"",""Subtropical regions""]",22.5,17.5,650,0.25,20000,70
30926,hymenocallis franklinensis,"[""Loamy"",""Sandy""]",Perennial Flower,"[""Late spring"",""Summer""]",Every 2-3 days,"[""Organic compost"",""Slow-release granular fertilizer""]",Every 4-6 weeks,"[""Southeastern United States"",""Florida""]",20,20,750,0.3,30000,70
30927,hymenophyllum fucoides,"[""Loamy"",""Sandy""]",Fern,"[""Spring"",""Summer""]",24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Temperate forests"",""Shaded rock crevices""]",15,20,1500,0.4,500,80
30928,hypericum galioides,"[""Sandy loam"",""Loam"",""Clay loam""]",Perennial,"[""Spring"",""Summer""]",2,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,"[""Temperate regions"",""Mediterranean climates""]",20,17.5,650,0.25,3500,70
30929,hypericum ambiguum,"[""Sandy loam"",""Loamy sand""]",Shrub,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20,20,700,0.4,22000,70
30930,hypericum gentianoides,"[""Well-drained"",""Loamy""]",Perennial,"[""Spring"",""Summer""]",2,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4,"[""North America"",""Europe""]",21.5,17.5,750,0.4,22000,70
30931,sarothra gentianoides,"[""Loamy soil"",""Sandy soil"",""Well-drained soil""]",Flowering plant,"[""Spring"",""Summer""]",72,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,"[""North America"",""Europe"",""Asia""]",20,17.5,750,0.3,20000,60
30932,hypnum geminum,"[""Loamy"",""Sandy""]",Moss,"[""Spring"",""Autumn""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Woodlands""]",15,15,750,0.3,21600,70
30933,hymenocallis gholsonii,"[""Sandy loam"",""Loam"",""Clay loam""]",Perennial,"[""Spring"",""Summer""]",Every 7 days,"[""Nitrogen-based"",""Potassium-based""]",Every 4 weeks,"[""Southern United States"",""Mexico"",""Central America""]",25,30,1000,0.4,300,80
30934,hypochaeris glabra,"[""Loamy"",""Sandy""]",Herbaceous perennial,"[""Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release granular fertilizer""]",6,"[""Europe"",""North America""]",15,15,750,0.3,3000,80
30935,hypotrachyna gondylophora,"[""Sandy"",""Loam"",""Clay""]",Lichen,"[""Late spring"",""Summer"",""Early autumn""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Mountain regions""]",15,15,1350,0.45,25000,90
30936,parmelia gondylophora,"[""Loam"",""Sandy"",""Rocky""]",Lichen,"[""Spring"",""Autumn""]",48,"[""Nitrogen-based"",""Potassium-based""]",4,"[""Temperate forests"",""Mountainous regions""]",15,12.5,900,0.45,28800,70
30937,hymenocallis godfreyi,"[""Loamy"",""Sandy""]",Flowering Plant,"[""Spring"",""Summer""]",2,"[""NPK 10-10-10"",""Bone Meal""]",4,"[""Florida"",""Texas"",""Mexico""]",25,20,1250,0.4,4000,80
30938,hypericum gramineum,"[""Loamy"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Mediterranean"",""Temperate""]",17.5,22.5,650,0.35,3000,70
30939,hypericum graveolens,"[""Sandy loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",2,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Mediterranean region"",""Southwest Asia"",""North Africa""]",20,15,700,0.3,20000,60
30940,hypericum grandifolium,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Shrub,"[""Spring"",""Summer""]",2,"[""10-10-10"",""20-20-20""]",4,"[""North America"",""Europe"",""Asia""]",20,15,650,0.25,25000,70
30941,hygrophila,"[""Clay"",""Loam"",""Silt""]",Aquatic,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""South Asia"",""Southeast Asia"",""Australia""]",25,26,175,0.4,28000,80
30942,hygrohypnum,"[""Peat"",""Silt"",""Clay""]",Moss,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Shaded forests"",""Bogs"",""Wetlands""]",20,15,700,0.35,24000,80
30944,hygroamblystegium,"[""Sandy loam"",""Silty clay"",""Peat""]",Moss,"[""Spring"",""Summer"",""Autumn""]",24,"[""Organic compost"",""Peat moss""]",4,"[""Shaded areas"",""Wetlands"",""Forests""]",17.5,15,150,0.45,5000,70
30945,hygroryza,"[""Clay"",""Silt"",""Loam""]",Hydrophyte,"[""Summer"",""Monsoon""]",48,"[""NPK"",""Potassium"",""Phosphorus""]",4,"[""Tropical"",""Subtropical""]",27.5,27.5,2000,0.5,20000,80
30946,hypericum gymnanthum,"[""Loamy"",""Sandy""]",Shrub,"[""Late Spring"",""Summer""]",48,"[""NPK 10-10-10"",""Compost""]",4,"[""North America"",""Europe"",""Asia""]",21.5,17.5,600,0.3,25000,60
30947,hypericum harperi,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Perennial,"[""Summer""]",48,"[""14-14-14"",""10-10-10""]",4,"[""Eastern United States"",""Southeastern Canada""]",17.5,17.5,750,0.3,26000,80
30948,hypnum hamulosum,"[""Loamy soil"",""Sandy soil""]",Moss,"[""Spring"",""Autumn""]",Every 2 days,"[""Organic compost"",""Liquid fertilizer""]",Every 4 weeks,"[""Temperate regions"",""Moist forests""]",20,15,750,0.4,20000,60
30949,hypolepis hawaiiensis,"[""Loamy"",""Sandy""]",Fern,"[""Year-round""]",24,"[""Organic compost"",""Slow-release granular fertilizer""]",12,"[""Hawaii"",""Tahiti"",""Samoa""]",22.5,22.5,1750,0.35,2500,80
30950,hypolepis punctata,"[""Loam"",""Silt"",""Clay""]",Fern,"[""Spring"",""Summer"",""Autumn""]",24,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,"[""Temperate rainforests"",""Subtropical forests""]",17.5,17.5,1500,0.45,15000,80
30951,hymenoxys helenioides,"[""Loamy"",""Sandy"",""Clayey""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""Slow-release fertilizer"",""Organic compost""]",06-Apr,"[""Southwestern United States"",""Northern Mexico""]",20,16,400,0.2,22000,70
30952,picradenia helenioides,"[""Sandy loam"",""Loam"",""Clay loam""]",Herb,"[""Spring"",""Summer""]",2,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Full sun"",""Well-drained soil"",""Moderate rainfall""]",17.5,20,750,0.3,22000,70
30953,hymenocallis henryae,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Flowering Plant,"[""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southeast Asia"",""South America"",""Central America""]",25,22.5,1000,0.2,4000,80
30954,hypogymnia heterophylla,"[""Sandy"",""Loamy"",""Clayey""]",Lichen,"[""Spring"",""Summer""]",4,"[""Nitrogen-rich fertilizer""]",8,"[""Temperate forests"",""Mountain regions""]",15,11.5,750,0.4,20000,80
30955,hymenelia heteromorpha,"[""Loam"",""Silt"",""Clay""]",Moss,"[""Spring"",""Fall""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Shaded areas""]",15,10,1000,0.4,2400,90
30958,hyparrhenia hirta,"[""Sandy"",""Loamy""]",Grass,"[""Summer"",""Rainy season""]",12 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",25,30,1000,0.3,30000,80
30959,andropogon hirtus,"[""Sandy soil"",""Loamy soil""]",Grass,"[""Spring"",""Summer""]",4,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Tropical regions"",""Subtropical regions""]",25,20,750,0.3,20000,70
30960,ornithogalum hirsutum,"[""Loamy"",""Sandy""]",Ornamental Plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus""]",4,"[""Mediterranean"",""Subtropical""]",20,15,750,0.3,20000,60
30961,hymenophyllum hirsutum,"[""Loam"",""Sandy loam""]",Fern,"[""Spring"",""Summer""]",48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,"[""Temperate rainforests"",""Moist valleys""]",15,20,1500,0.45,20000,80
