Seed_ID,Seed_Name,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid,Watering_min_x,SeedName2,Plant_Name,English_Name,Area_Require,Height_Max,Soil_Depth,Precip,Image_URL
25,Abutilon Berlandieri,"[""Sandy Loam"",""Clay Loam""]",Perennial,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6-Apr,"[""Southwestern United States"",""Northern Mexico""]",22.5,22.5,650.0,0.3,2500.0,60.0,,,,,,,,,
26,Abutilon Californicum,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""California"",""Arizona"",""Nevada""]",17.5,20.0,450.0,0.3,22000.0,60.0,,,,,,,,,
27,Abrothallus Bertianus,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Autumn""]",48,"[""Organic compost"",""Leaf mold""]",4,"[""Shaded areas"",""Forests""]",15.0,12.5,750.0,0.4,30000.0,80.0,,,,,,,,,
28,Abronia Bigelovii,"[""Sandy Loam"",""Silty Loam"",""Clay Loam""]",Flowering Plant,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Coastal Areas"",""Desert Areas""]",20.0,17.5,300.0,0.3,20000.0,70.0,,,,,,,,,
29,Abronias Bolackii,"[""Sandy Loam"",""Silt Loam"",""Clay Loam""]",Flowering Plant,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""California"",""Nevada"",""Arizona""]",20.0,20.0,400.0,0.3,25000.0,60.0,,,,,,,,,
30,Abies bracteata,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]",Coniferous tree,"[""Late spring"",""Summer"",""Early autumn""]",2,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",6,"[""California"",""Oregon"",""Washington""]",17.5,15.0,1150.0,0.45,15000.0,70.0,,,,,,,,,
31,Abies venusta,"[""Loamy"",""Sandy""]",Coniferous,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Coastal regions"",""Mountainous areas""]",12.5,12.5,1300.0,0.35,30000.0,70.0,,,,,,,,,
32,Abrothallus Bryoriarum,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer"",""Autumn""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate forests"",""Boreal forests"",""Tropical rainforests""]",15.0,10.0,125.0,0.45,2400.0,70.0,,,,,,,,,
33,Abronias,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Spring"",""Summer""]",2,"[""NPK 10-10-10"",""NPK 5-10-10""]",4,"[""California"",""Oregon"",""Washington""]",20.0,16.0,450.0,0.3,40000.0,60.0,,,,,,,,,
34,Abrothallus cetrariae,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer""]",24,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Temperate forests"",""Mountain regions""]",15.0,10.0,150.0,0.4,3000.0,80.0,,,,,,,,,
35,Abrothallus cladoniae,"[""Sandy"",""Loamy"",""Clayey""]",Moss,"[""Spring"",""Summer""]",2,"[""Organic matter"",""Slow-release fertilizers""]",4,"[""Forest"",""Mountainous regions""]",10.0,8.5,950.0,0.45,18000.0,80.0,,,,,,,,,
36,Abies concolor,"[""Well-drained soil""]",Evergreen tree,"[""Spring"",""Summer""]",7 days interval,"[""Nitrogen-based fertilizer""]",4 weeks interval,"[""North America"",""Europe"",""Asia""]",-5.0,10.0,750.0,0.3,36000.0,70.0,,,,,,,,,
37,Abronias,"[""Loamy soil"",""Sandy soil"",""Silty soil""]",Flowering plant,"[""Spring"",""Summer""]",48,"[""Compost"",""Phosphorus"",""Potassium""]",4,"[""California"",""Baja California"",""Sonora""]",20.0,15.0,400.0,0.3,25000.0,70.0,,,,,,,,,
38,Abronia fragrans,"[""Sandy"",""Loamy""]",Flowering plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""Organic compost"",""Slow-release fertilizer""]",4 weeks interval,"[""Coastal regions"",""Mediterranean climates""]",20.0,20.0,400.0,0.3,20000.0,60.0,,,,,,,,,
39,Abronias pumila,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Late spring"",""Summer""]",2-3 hours interval,"[""Nitrogen-based"",""Phosphorus-based""]",4 weeks interval,"[""Coastal regions"",""Mediterranean climates""]",20.0,20.0,350.0,0.3,24000.0,60.0,,,,,,,,,
40,Abronia Ramosa,"[""Sandy Loam"",""Loamy Sand"",""Sandy Clay Loam""]",Flowering Plant,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""California"",""Arizona"",""New Mexico""]",20.0,21.5,400.0,0.3,20000.0,70.0,,,,,,,,,
41,Abroniasalsa,"[""Sandy"",""Loamy"",""Clayey""]",Perennial,"[""Late spring"",""Summer""]",Every 2-3 days,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",Every 4-6 weeks,"[""Coastal regions"",""Mediterranean climates""]",20.0,17.5,400.0,0.25,5000.0,60.0,,,,,,,,,
42,Abelia,"[""Loamy"",""Sandy"",""Clayey""]",Shrub,"[""Spring"",""Summer""]",2,"[""NPK"",""Compost""]",4,"[""United States"",""United Kingdom"",""Australia""]",25.0,17.5,750.0,0.3,40000.0,70.0,,,,,,,,,
43,Abelmoschus esculentus,"[""Sandy loam"",""Clay loam"",""Silt loam""]",Hibiscus,"[""Summer"",""Rainy season""]",2,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,"[""Tropical regions"",""Subtropical regions""]",30.0,25.0,750.0,0.3,4000.0,60.0,,,,,,,,,
44,Abutilon eremitopetalum,"[""Well-drained soil"",""Loamy soil""]",Flowering plant,"[""Summer"",""Rainy season""]",Every 2-3 days,"[""Organic compost"",""Slow-release fertilizer""]",Every 4-6 weeks,"[""Tropical regions"",""Subtropical regions""]",21.5,22.5,750.0,0.4,20000.0,80.0,,,,,,,,,
45,Abelmoschus esculentus,"[""Sandy loam"",""Silt loam"",""Clay loam""]",Vegetable,"[""Summer"",""Rainy season""]",2-3 hours interval,"[""NPK fertilizer"",""Organic compost""]",2 weeks interval,"[""Tropical regions"",""Subtropical regions""]",27.5,30.0,650.0,0.3,28000.0,80.0,,,,,,,,,
46,Hibiscus esculentus,"[""Sandy loam"",""Clay loam""]",Vegetable,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,30.0,650.0,0.3,30000.0,70.0,,,,,,,,,
47,Abies firma,"[""Loam"",""Sandy loam"",""Clay loam""]",Tree,"[""Spring"",""Summer""]",24 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Japan"",""China"",""Korea""]",10.0,11.5,1500.0,0.35,1800.0,80.0,,,,,,,,,
48,Fraser Fir,"[""Well-drained soil"",""Loamy soil""]",Evergreen Tree,"[""Spring"",""Summer""]",2-3 days interval,"[""Nitrogen-based fertilizer"",""Organic compost""]",4-6 weeks interval,"[""Eastern United States"",""Appalachian Mountains""]",-6.0,7.0,1500.0,0.25,2000.0,80.0,,,,,,,,,
49,Pinus Fraseri,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Evergreen Tree,"[""Late spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southern Appalachian Mountains"",""Blue Ridge Mountains""]",20.0,15.0,1500.0,0.45,32000.0,70.0,,,,,,,,,
50,Abutilon Fruticosum,"[""Loam"",""Sandy"",""Clay""]",Shrub,"[""Spring"",""Summer"",""Autumn""]",3,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""Tropical regions"",""Mediterranean regions""]",25.0,20.0,750.0,0.3,20000.0,60.0,,,,,,,,,
51,Abutilon Texense,"[""Loamy"",""Sandy""]",Shrub,"[""Late Spring"",""Summer"",""Early Fall""]",3-Feb,"[""Organic fertilizer"",""Slow-release fertilizer""]",6-Apr,"[""Texas"",""Oklahoma"",""New Mexico""]",22.5,20.0,750.0,0.3,14000.0,60.0,,,,,,,,,
52,Abutilon glabriflorum,"[""Loam"",""Sandy loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Mediterranean"",""Subtropical"",""Tropical""]",21.5,20.0,750.0,0.3,24000.0,60.0,,,,,,,,,
53,Abies grandis,"[""Loamy"",""Sandy""]",Tree,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Pacific Northwest"",""Rocky Mountains""]",10.0,10.0,1500.0,0.3,5000.0,60.0,,,,,,,,,
54,Abronias,"[""Sandy"",""Loamy""]",Flowering Plant,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen"",""Potassium""]",6,"[""Southern California"",""Arizona"",""New Mexico""]",20.0,20.0,300.0,0.2,40000.0,70.0,,,,,,,,,
55,Abutilon Grandifolium,"[""Sandy loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,750.0,0.45,25000.0,70.0,,,,,,,,,
56,Abelia × grandiflora,"[""Loam"",""Clay"",""Silt""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",6-Apr,"[""Mediterranean region"",""Southern United States"",""Australia""]",20.0,20.0,800.0,0.35,16000.0,70.0,,,,,,,,,
57,Abies guatemalensis,"[""Loam"",""Clay""]",Evergreen Tree,"[""Start of Summer"",""Fall""]",48 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Central America"",""Mexico"",""Guatemala""]",15.0,20.0,1500.0,0.45,8000.0,80.0,,,,,,,,,
58,Abutilon Hirtum,"[""Sandy loam"",""Loamy sand""]",Shrub,"[""Spring"",""Summer""]",2-3 hours interval,"[""Complete NPK fertilizer"",""Organic compost""]",4-6 weeks interval,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,750.0,0.3,22000.0,60.0,,,,,,,,,
59,Abies Homolepis,"[""Sandy loam"",""Loam"",""Clay loam""]",Evergreen tree,"[""Late spring"",""Early summer""]",Every 3 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""Mountainous regions"",""Cool temperate regions""]",-7.5,7.5,1000.0,0.4,3000.0,80.0,,,,,,,,,
60,Abutilon Hulseanum,"[""Loam"",""Silt"",""Clay""]",Shrub,"[""Spring"",""Summer""]",2,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,21.5,750.0,0.25,22000.0,70.0,,,,,,,,,
61,Abutilon Commutatum,"[""Sandy loam"",""Clay loam"",""Silty loam""]",Shrub,"[""Spring"",""Summer""]",2-3 hours interval,"[""NPK"",""Compost""]",4-6 weeks interval,"[""Tropical regions"",""Subtropical regions""]",22.5,21.5,1000.0,0.3,4000.0,70.0,,,,,,,,,
62,Abutilon pauciflorum,"[""Loam"",""Clay"",""Sandy""]",Shrub,"[""Spring"",""Summer""]",48,"[""Nitrogen-based"",""Potassium-based""]",4,"[""Mediterranean region"",""Southwest USA"",""South America""]",22.5,22.5,750.0,0.3,30000.0,70.0,,,,,,,,,
63,Abutilon Hypoleucum,"[""Well-drained soil"",""Loamy soil""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,"[""Tropical regions"",""Subtropical regions""]",20.0,20.0,750.0,0.3,25000.0,70.0,,,,,,,,,
64,Abies,"[""Loam"",""Sandy loam"",""Clay loam""]",Evergreen Conifer,"[""Spring"",""Summer""]",24 hours interval,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4 weeks interval,"[""Northern Hemisphere"",""Temperate Regions""]",7.5,10.0,1000.0,0.375,3000.0,70.0,,,,,,,,,
65,Abietinella,"[""Sandy"",""Silt"",""Clay""]",Moss,"[""Spring"",""Summer""]",24,"[""Organic moss fertilizer"",""Nitrogen-based fertilizer""]",8,"[""Temperate forests"",""Mountainous regions""]",15.0,10.0,750.0,0.45,20000.0,70.0,,,,,,,,,
66,Abildgaardia,"[""Loam"",""Silt"",""Clay""]",Grass,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,15.0,750.0,0.4,22000.0,60.0,,,,,,,,,
67,Abutilon incanum,"[""Sandy"",""Loamy"",""Clayey""]",Shrub,"[""Spring"",""Summer""]",48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,20.0,750.0,0.25,25000.0,70.0,,,,,,,,,
68,Abutilon Pringlei,"[""Sandy loam"",""Silty loam""]",Shrub,"[""Summer""]",3-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Mexico"",""Southwestern United States""]",20.0,20.0,750.0,0.3,22000.0,60.0,,,,,,,,,
69,Abronias insularis,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Spring"",""Summer""]",Every 2-3 days,"[""NPK fertilizer"",""Organic compost""]",Every 4-6 weeks,"[""Coastal regions"",""Islands""]",20.0,20.0,450.0,0.2,50000.0,70.0,,,,,,,,,
70,Abutilon Indicum,"[""Sandy loam"",""Clay loam"",""Silt loam""]",Shrub,"[""Year-round""]",4,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Tropical regions"",""Subtropical regions""]",27.5,27.5,150.0,0.45,30000.0,70.0,,,,,,,,,
71,Abutilon asiaticum,"[""Loam"",""Sandy Loam"",""Clay""]",Shrub,"[""Summer"",""Monsoon""]",3-Feb,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Tropical regions"",""Subtropical regions""]",22.5,25.0,1500.0,0.3,22000.0,70.0,,,,,,,,,
72,Abies Lasiocarpa,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Evergreen tree,"[""Late spring"",""Summer"",""Early fall""]",Once every 5 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",Every 4 weeks,"[""North America"",""Europe"",""Asia""]",-15.0,5.0,650.0,0.3,2500.0,70.0,,,,,,,,,
73,Abronias,"[""Sandy Loam"",""Loamy Sand""]",Flowering Plant,"[""Late spring"",""Summer""]",12,"[""NPK fertilizers""]",4,"[""Coastal regions"",""Mediterranean climates""]",17.5,20.0,400.0,0.3,22000.0,60.0,,,,,,,,,
74,Abies arizonica,"[""Well-drained soil"",""Sandy soil"",""Loamy soil""]",Evergreen,"[""Spring"",""Summer""]",12 hours interval,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4 weeks interval,"[""Mountainous regions"",""Cool climates""]",10.0,12.5,675.0,0.35,22000.0,70.0,,,,,,,,,
75,Abies Bifolia,"[""Loam"",""Clay""]",Evergreen Tree,"[""Late spring"",""Summer""]",Every 2-3 days,"[""Organic compost"",""Slow-release fertilizer""]",Every 6-8 weeks,"[""Mountainous regions"",""Cool temperate climates""]",5.0,5.0,1500.0,0.4,3000.0,70.0,,,,,,,,,
76,Abies subalpina,"[""Well-drained"",""Loamy""]",Evergreen Tree,"[""Spring"",""Summer""]",Every 2-3 days,"[""Nitrogen-based"",""Potassium-based""]",Every 4-6 weeks,"[""Montane regions"",""Subalpine forests""]",5.0,10.0,1000.0,0.45,3000.0,80.0,,,,,,,,,
77,Abies Lowiana,"[""Loamy"",""Sandy"",""Clay""]",Evergreen Conifer,"[""Spring"",""Summer"",""Fall""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Rocky Mountains"",""Sierra Nevada"",""Cascade Range""]",15.0,17.5,1500.0,0.4,3000.0,70.0,,,,,,,,,
78,Abies Magnifica,"[""Well-drained soil"",""Loamy soil"",""Sandy soil""]",Tree,"[""Late spring"",""Summer""]",3-Feb,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Sierra Nevada"",""California"",""Oregon""]",10.0,7.5,750.0,0.3,3000.0,80.0,,,,,,,,,
79,Abronias,"[""Sandy loam"",""Loamy sand""]",Flowering,"[""Spring"",""Summer""]",4-Feb,"[""Organic compost"",""Slow-release fertilizer""]",6-Apr,"[""Coastal regions"",""Mediterranean climates""]",17.5,17.5,350.0,0.45,40000.0,80.0,,,,,,,,,
80,Abutilon Malacum,"[""Loamy"",""Sandy"",""Clayey""]",Flowering Plant,"[""Spring"",""Summer""]",Every 2 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""Tropical regions"",""Subtropical regions""]",22.5,21.5,750.0,0.3,4000.0,60.0,,,,,,,,,
81,Abronias,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Flowering plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""NPK 10-10-10"",""Organic compost""]",4-6 weeks interval,"[""Southwestern United States"",""Mexico""]",17.5,22.5,400.0,0.3,5000.0,60.0,,,,,,,,,
82,Abutilon mauritianum,"[""Loamy"",""Sandy""]",Shrub,"[""Year-round""]",3-Feb,"[""Organic fertilizer"",""Slow-release fertilizer""]",6-Apr,"[""Tropical regions"",""Subtropical regions""]",22.5,22.5,750.0,0.3,22000.0,80.0,,,,,,,,,
83,Abelmoschus manihot,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Summer"",""Rainy season""]",Every 2-3 days,"[""Organic compost"",""NPK fertilizers""]",Every 2 weeks,"[""Tropical regions"",""Subtropical regions""]",27.5,30.0,1000.0,0.3,28000.0,60.0,,,,,,,,,
84,Hibiscus manihot,"[""Sandy"",""Loamy"",""Clayey""]",Shrub,"[""Summer""]",2,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,30.0,800.0,0.3,18000.0,70.0,,,,,,,,,
85,Abies ×shastensis,"[""Sandy loam"",""Loam"",""Silty clay""]",Evergreen tree,"[""Spring"",""Summer""]",Every 7 days,"[""Complete fertilizer"",""Slow-release fertilizer""]",Every 4 weeks,"[""Pacific Northwest"",""Northern California"",""Western Oregon""]",10.0,10.0,150.0,0.45,22000.0,70.0,,,,,,,,,
86,Abronias,"[""Sandy loam"",""Loamy sand""]",Flowering Plant,"[""Start of summer"",""Summer""]",48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""California"",""Baja California""]",20.0,19.0,200.0,0.3,40000.0,70.0,,,,,,,,,
87,Abutilon menziesii,"[""Sandy loam"",""Loam"",""Clay loam""]",Shrub,"[""Spring"",""Summer""]",3-Feb,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""Coastal regions"",""Mediterranean climates""]",20.0,20.0,750.0,0.45,25000.0,70.0,,,,,,,,,
88,Abutilon megapotamicum,"[""Loamy soil"",""Sandy soil""]",Shrub,"[""Spring"",""Summer""]",2-3 hours interval,"[""Organic compost"",""Slow-release fertilizer""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",20.0,20.0,750.0,0.3,22000.0,60.0,,,,,,,,,
89,Abronias,"[""Sandy Loam"",""Silt Loam"",""Clay Loam""]",Flowering Plant,"[""Spring"",""Summer""]",2,"[""NPK"",""Organic compost""]",4,"[""Coastal regions"",""Mediterranean climate zones""]",17.5,17.5,300.0,0.3,30000.0,70.0,,,,,,,,,
90,Abelmoschus moschatus,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Herb,"[""Start of summer"",""Spring"",""Autumn""]",Every 2 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",Every 4 weeks,"[""Tropical regions"",""Subtropical regions"",""Mediterranean regions""]",25.0,25.0,900.0,0.3,30000.0,60.0,,,,,,,,,
