Names,Description,url
"Poppy, Red Corn","
				
	Description


Red Poppies create bold, red color in any sunny spot. Annual.

 
			",https://americanseedco.com/wp-content/uploads/2018/11/red-corn-poppy-200x200.jpg
"Wildflower Mix,  Northeastern & Fescue","
				
	Description

When planting our wildflower mix on bare soil we recommend planting with sheeps fescue to help keep the weeds out until the flowers establish. This wildflower blend will provide continuous blooms to brighten areas of low maintenance. Made especially for the northeastern part of the country. This mix  contains 50% Northeastern Mix and 50% Sheeps Fescue. 
 
Mix components:
50% Northeastern Mix: Annual Baby’s Breath (Gypsophila elegans), Black-Eyed Susan (Rudbeckia hirta), Catchfly (Silene armeria), Corn Poppy (Papaver rhoeas), Cornflower (Centaurea cyanus), Evening Primrose (Oenothera biennis), Gayfeather (Liatris spicata), Hairy Beardtongue (Penstemon hirsutus), Indian Blanket (Gaillardia pulchella), Lance-Leaved Coreopsis (Coreopsis lanceolata), New England Aster (Aster novae-angliae), Perennial Lupine (Lupinus perennis), Purple Coneflower (Echinacea purpurea), Scarlet Flax (Linum grandiflorum rubrum), Shasta Daisy (Chrysanthemum maximum), Siberian Wallflower (Cheiranthus allionii), Smooth Penstemon (Penstemon digitalis), Spurred Snapdragon (Linaria maroccana), Sweet William Pinks (Dianthus barbatus)
50% Sheeps Fescue
			",https://americanseedco.com/wp-content/uploads/2013/07/Wildflower-Northeast-Mix-1-200x199.jpg
"Wildflower Mix,  Northeastern & Fescue","
				
	Description

When planting our wildflower mix on bare soil we recommend planting with sheeps fescue to help keep the weeds out until the flowers establish. This wildflower blend will provide continuous blooms to brighten areas of low maintenance. Made especially for the northeastern part of the country. This mix  contains 50% Northeastern Mix and 50% Sheeps Fescue. 
 
Mix components:
50% Northeastern Mix: Annual Baby’s Breath (Gypsophila elegans), Black-Eyed Susan (Rudbeckia hirta), Catchfly (Silene armeria), Corn Poppy (Papaver rhoeas), Cornflower (Centaurea cyanus), Evening Primrose (Oenothera biennis), Gayfeather (Liatris spicata), Hairy Beardtongue (Penstemon hirsutus), Indian Blanket (Gaillardia pulchella), Lance-Leaved Coreopsis (Coreopsis lanceolata), New England Aster (Aster novae-angliae), Perennial Lupine (Lupinus perennis), Purple Coneflower (Echinacea purpurea), Scarlet Flax (Linum grandiflorum rubrum), Shasta Daisy (Chrysanthemum maximum), Siberian Wallflower (Cheiranthus allionii), Smooth Penstemon (Penstemon digitalis), Spurred Snapdragon (Linaria maroccana), Sweet William Pinks (Dianthus barbatus)
50% Sheeps Fescue
			",https://americanseedco.com/wp-content/uploads/2013/07/Wildflower-Northeast-Mix-1-200x199.jpg
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)","
				
	Description

Mexican Sunflower produces stunning, deep orange flowers that set it apart from other sunflowers. Flowers are up to four inches wide and attract bees and butterflies. This species is native to Mexico and is heat and drought tolerant. Recommended for the back of the border, cutting garden and pollinator garden.
			",https://americanseedco.com/wp-content/uploads/2023/05/Mexican-Sunflower-200x230.jpg
Butterfly Milkweed (Asclepias Tuberosa),"
				
	Description

Monarch larvae feed exclusively on Milkweed plants. including Butterfly Milkweed (Asclepias Tuberosa) that has been recommended by the North American Butterfly Association. Monarchs are probably the most well known butterflies in North America. Sadly, the number of Monarchs seen in our gardens has been decreasing over the last decade. One of the factors that is causing this decrease is the loss of the Monarch caterpillars’ food plant, namely, milkweeds. This species of milkweed does not spread by runners like common milkweed therefore it is not invasive. Native to North America. Fun for kids and adults alike!
			",https://americanseedco.com/wp-content/uploads/2022/12/Butterfly-Milkweed__40762-200x200.jpg
Moonflower,"
				
	Description

The first time you watch a Moonflower swirl open, you simply won’t believe your eyes. The whole process takes less than a minute–from tightly-furled, long greenish-white bud to glowing, wide-open 6-inch bloom–and it occurs at twilight, when the rest of the garden is closing up for the night! A favorite of the humminbird moth and sphinx moths.

Indescribably fragrant, Moonflower is one of the joys of the night garden, and this 6-foot vine is particularly effective on the patio, twining up the porch railings, or set under windows, where the fragrance can be appreciated indoors and out.
An easy, carefree vine, Moonflower can be started ahead indoors or direct-sown when the soil is warm in any sunny garden spot. The blooms arise all summer and into fall. Magnificent!
Soak these seed in warm water for 24 hours before planting.

			",https://americanseedco.com/wp-content/uploads/2022/12/s-l500-200x200.jpg
Native Perennial Seed Mix,"
				
	Description

The Native Perennial Seed Mixture provides a long-lasting, perennial planting filled with a colorful assortment of adaptable, American native species.
 



MIX COMPONENTS
Bergamot (Monarda fistulosa), Black-Eyed Susan (Rudbeckia hirta), Blanketflower (Gaillardia aristata), Dwarf Evening Primrose (Oenothera macrocarpa), Eastern Columbine (Aquilegia canadensis), Gayfeather (Liatris spicata), Hoary Vervain (Verbena stricta), Lance-Leaved Coreopsis (Coreopsis lanceolata), Lewis Flax (Linum lewisii), Mexican Hat (Ratibida columnifera), New England Aster (Symphyotrichum novae-angliae), Ohio Spiderwort (Tradescantia ohiensis), Ox-Eye Sunflower (Heliopsis helianthoides), Prairie Coneflower (Ratibida columnifera), Purple Coneflower (Echinacea purpurea), Rocky Mountain Penstemon (Penstemon strictus), Scarlet Cinquefoil (Potentilla thurberi), Smooth Penstemon (Penstemon digitalis), White Upland Aster (Solidago ptarmicoides)


OZ./1000 SQ. FT.
6


LBS./ACRE
8-16



			",https://americanseedco.com/wp-content/uploads/2024/01/native-1-200x200.jpg
Bumblebee Buffet,"
				
	Description

Flowers that are attractive to many species of bumble bees. The assortment of flowers in the mix is based upon research done in our trial gardens over the last decade. It consists of adaptable, native species such as Purple Coneflower, Bergamot, and Blue Sage as well as an attractive assortment of garden flowers such as Rocket Larkspur, Balsam and Dwarf Cosmos.  A Great Way to invite these pollinators into your garden.
 
Mix components: White Prairie Clover (Dalea candida), Arroyo Lupine (Lupinus succulentus), Balsam ‘Camellia Flowered Mix’ (Impatiens balsamina), Bergamot (Monarda fistulosa), Blue Sage (Salvia farinacea), Dwarf Sulphur Cosmos (Cosmos sulphureus), Gayfeather (Liatris spicata), Lacy Phacelia (Phacelia tanacetifolia), Purple Coneflower (Echinacea purpurea), Purple Prairie Clover (Dalea purpurea), Rocket Larkspur (Delphinium consolida), Rocky Mountain Penstemon (Penstemon strictus), Siberian Wallflower (Cheiranthus allionii), Spurred Snapdragon (Linaria maroccana), Yellow Lupine (Lupinus densiflorus aureus), Zinnia ‘Dahlia Flowered Mix’ (Zinnia elegans)
			",https://americanseedco.com/wp-content/uploads/2019/04/56739272_2094465770670236_1068734630867238912_o-200x200.jpg
Hummingbird & Butterfly Mixture,"
				
	Description

Plant Hummingbird and Butterfly flower mixture attract beautiful pollinators.  This mixture contains 16 annual and perennial wildflowers.  Because of the varieties and colors this mixture will lure beautiful Hummingbirds and Butterflies into your garden.
 
			",https://americanseedco.com/wp-content/uploads/2018/11/bird-and-butterfly-flower-mix-200x199.jpg
"Aster, Powderpuff (Callistephus chinensis)","
				
	Description

China Aster ‘Powder Puff Mix’ has fully double flowers in shades of purple, deep rose, pink, violet, and white. It blooms from mid-summer through early fall and provides much needed color after many annuals have stopped blooming for the season. Suitable for cutting, beds and borders, and the pollinator garden. Annual.
			",https://americanseedco.com/wp-content/uploads/2022/12/aster-200x242.jpg
Butterfly Milkweed (Asclepias Tuberosa),"
				
	Description

Monarch larvae feed exclusively on Milkweed plants. including Butterfly Milkweed (Asclepias Tuberosa) that has been recommended by the North American Butterfly Association. Monarchs are probably the most well known butterflies in North America. Sadly, the number of Monarchs seen in our gardens has been decreasing over the last decade. One of the factors that is causing this decrease is the loss of the Monarch caterpillars’ food plant, namely, milkweeds. This species of milkweed does not spread by runners like common milkweed therefore it is not invasive. Native to North America. Fun for kids and adults alike!
			",https://americanseedco.com/wp-content/uploads/2022/12/Butterfly-Milkweed__40762-200x200.jpg
"Chrysanthemum Garland, Coronarium (Mum)","
				
	Description

This herbaceous heirloom is 1½ -3’ tall feet tall and yields lovely ornamental, rose-shaped yellow and white blooms. Its frilly, nutrition-packed leaves are commonly used in Asian cuisine and for medicinal applications. A favorite annual for fall.
 
			",https://americanseedco.com/wp-content/uploads/2022/12/mum-200x201.jpg
Deer Resistant Flower Seed Mix,"
				
	Description


If you live in areas with deer, you know they can be destructive to home landscapes. The Deer Resistant Seed Mixture is a blend of annual and perennial garden flowers and wildflowers that are known to be resistant to deer browsing. Keep in mind that if natural food supplies are low, or local populations of deer are dense, even these plants may be browsed by deer. Beautiful.
4 oz for 1,000 square feet
8 lbs per acre


			",https://americanseedco.com/wp-content/uploads/2024/05/deer-200x200.jpg
Four O’clock Rose,"
				
	Description

Rose Four O’Clock is an old-time garden favorite which gets its common name from its late afternoon to early morning bloom time. A tender perennial that forms tubers, plants produce handsome, fragrant, trumpet-shaped flowers that attract birds and butterflies. Plants are easy to grow and thrive almost anywhere, reseeding readily. Flowers are deep, brilliant rose.
			",https://americanseedco.com/wp-content/uploads/2024/01/four-oclock-pink-1-200x200.webp
Moonflower,"
				
	Description

The first time you watch a Moonflower swirl open, you simply won’t believe your eyes. The whole process takes less than a minute–from tightly-furled, long greenish-white bud to glowing, wide-open 6-inch bloom–and it occurs at twilight, when the rest of the garden is closing up for the night! A favorite of the humminbird moth and sphinx moths.

Indescribably fragrant, Moonflower is one of the joys of the night garden, and this 6-foot vine is particularly effective on the patio, twining up the porch railings, or set under windows, where the fragrance can be appreciated indoors and out.
An easy, carefree vine, Moonflower can be started ahead indoors or direct-sown when the soil is warm in any sunny garden spot. The blooms arise all summer and into fall. Magnificent!
Soak these seed in warm water for 24 hours before planting.

			",https://americanseedco.com/wp-content/uploads/2022/12/s-l500-200x200.jpg
"Nasturtium, Jewel Mix","
				
	Description


Nasturtium Jewel Mix is a dwarf, non-trailing Nasturtium with flowers in varying shades of yellow and cream with dark orange blotches in the center. Plants are easy to grow and long blooming. Flowers are edible and have a tangy, peppery taste. Try them in salads or stuffed with a cream cheese filling. Also makes a colorful garnish. Bumble bees love the flowers. Nasturtium repels whiteflies, squash bugs, aphids, several beetles, and cabbage loopers.
Deer Resistant, Edible, Flower Seeds for Beds and Borders, Pollinator


 




SCIENTIFIC NAME
Tropaeolum nanum


COLOR(S)
Mixed Colors


SEED TYPE
Annual, Tender Perennial


SUN
Full Sun


MOISTURE
Dry, Moderate


HEIGHT (IN.)
8-14


BLOOM PERIOD
Fall Blooming Flowers, Summer


SEEDS/LB.
3,600


OZ./1000 SQ. FT.
57


LBS./ACRE
156





			",https://americanseedco.com/wp-content/uploads/2022/05/Nasturt.webp
Native Perennial Seed Mix,"
				
	Description

The Native Perennial Seed Mixture provides a long-lasting, perennial planting filled with a colorful assortment of adaptable, American native species.
 



MIX COMPONENTS
Bergamot (Monarda fistulosa), Black-Eyed Susan (Rudbeckia hirta), Blanketflower (Gaillardia aristata), Dwarf Evening Primrose (Oenothera macrocarpa), Eastern Columbine (Aquilegia canadensis), Gayfeather (Liatris spicata), Hoary Vervain (Verbena stricta), Lance-Leaved Coreopsis (Coreopsis lanceolata), Lewis Flax (Linum lewisii), Mexican Hat (Ratibida columnifera), New England Aster (Symphyotrichum novae-angliae), Ohio Spiderwort (Tradescantia ohiensis), Ox-Eye Sunflower (Heliopsis helianthoides), Prairie Coneflower (Ratibida columnifera), Purple Coneflower (Echinacea purpurea), Rocky Mountain Penstemon (Penstemon strictus), Scarlet Cinquefoil (Potentilla thurberi), Smooth Penstemon (Penstemon digitalis), White Upland Aster (Solidago ptarmicoides)


OZ./1000 SQ. FT.
6


LBS./ACRE
8-16



			",https://americanseedco.com/wp-content/uploads/2024/01/native-1-200x200.jpg
Shasta Daisy,"
				
	Description

Shasta Daisy ‘Alaska’ is an old-fashioned variety that is perfect for cut flowers and cottage gardens. Plants grow to 30 inches tall with white flowers. Attracts beneficial insects to the garden.
 
			",https://americanseedco.com/wp-content/uploads/2021/12/Shasta-200x200.jpg
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)","
				
	Description

Mexican Sunflower produces stunning, deep orange flowers that set it apart from other sunflowers. Flowers are up to four inches wide and attract bees and butterflies. This species is native to Mexico and is heat and drought tolerant. Recommended for the back of the border, cutting garden and pollinator garden.
			",https://americanseedco.com/wp-content/uploads/2023/05/Mexican-Sunflower-200x230.jpg
"Verbena, Mixed Florist Mix","
				
	Description

Mixed Colors Moss Verbena performs well in hot, dry conditions and makes an excellent ground cover.  The color mix includes pink, purple, red, rose and white.
			",https://americanseedco.com/wp-content/uploads/2024/01/VTMC-1402-200x202.jpg
Bird & Butterfly Mixture,"
				
	Description

This annual and perennial mixture is great for creating a backyard habitat to attract your favorite winged wildlife.  Flowers in this mix will provide colorful blooms all season long as well as nectar and seed for songbirds, hummingbirds and butterflies.
Mix components: Black-Eyed Susan (Rudbeckia hirta), Blanketflower (Gaillardia aristata), Butterfly Milkweed (Asclepias tuberosa), California Poppy (Eschscholzia californica), Candytuft (Iberis umbellata), China Aster (Callistephus chinensis), Dwarf Cornflower (Centaurea cyanus), Dwarf Godetia (Clarkia amoena), Dwarf Plains Coreopsis (Coreopsis tinctoria), Gayfeather (Liatris spicata), Indian Blanket (Gaillardia pulchella), Lance-Leaved Coreopsis (Coreopsis lanceolata), Lemon Mint (Monarda citriodora), Mexican Hat (Ratibida columnifera), Perennial Lupine (Lupinus perennis), Purple Coneflower (Echinacea purpurea), Rocket Larkspur (Delphinium consolida), Scarlet Sage (Salvia coccinea), Siberian Wallflower (Cheiranthus allionii), Sweet Alyssum (Lobularia maritima)
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/Bird_and_Butterfly_Wildflower_Seed_Mix-200x198.jpg
Black Eyed Susan,"
				
	Description

This well known wildflower is common in the eastern and Midwestern U.S. It can also be found in mountain meadows of the western U.S. It grows as an annual, biennial or short-lived perennial. Flowers are bright yellow with a distinctive dark center. Makes a good cut flower and is an excellent component of wildflower mixes and pollinator conservation plantings.



SCIENTIFIC NAME
Rudbeckia hirta


COLOR(S)
Yellow


TYPE
Annual, Biennial, Perennial


SUN
Full Sun, Partial Shade


MOISTURE
Dry, Moderate, Moist


HEIGHT (IN.)
12-36


BLOOM PERIOD
Summer, Fall


SEEDS/LB.
1,697,000


OZ./1000 SQ. FT.
1/2


LBS./ACRE
2



 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/black-eyed-susansflowers-200x135.jpg
Bumblebee Buffet,"
				
	Description

Flowers that are attractive to many species of bumble bees. The assortment of flowers in the mix is based upon research done in our trial gardens over the last decade. It consists of adaptable, native species such as Purple Coneflower, Bergamot, and Blue Sage as well as an attractive assortment of garden flowers such as Rocket Larkspur, Balsam and Dwarf Cosmos.  A Great Way to invite these pollinators into your garden.
 
Mix components: White Prairie Clover (Dalea candida), Arroyo Lupine (Lupinus succulentus), Balsam ‘Camellia Flowered Mix’ (Impatiens balsamina), Bergamot (Monarda fistulosa), Blue Sage (Salvia farinacea), Dwarf Sulphur Cosmos (Cosmos sulphureus), Gayfeather (Liatris spicata), Lacy Phacelia (Phacelia tanacetifolia), Purple Coneflower (Echinacea purpurea), Purple Prairie Clover (Dalea purpurea), Rocket Larkspur (Delphinium consolida), Rocky Mountain Penstemon (Penstemon strictus), Siberian Wallflower (Cheiranthus allionii), Spurred Snapdragon (Linaria maroccana), Yellow Lupine (Lupinus densiflorus aureus), Zinnia ‘Dahlia Flowered Mix’ (Zinnia elegans)
			",https://americanseedco.com/wp-content/uploads/2019/04/56739272_2094465770670236_1068734630867238912_o-200x200.jpg
"Coneflower, Purple","
				
	Description

This coneflower produces large, rose-purple flowers, up to 6 inches across, with dome-shaped centers, giving it the alternate common name of Hedgehog Coneflower. Plants are easy to grow, and will tolerate a combination of heat and humidity.  This flower is a great cut flower.  The flowers attract butterflies, while seeds attract a variety of birds. The Purple Coneflower is often used in prairie restoration.
 
			",https://americanseedco.com/wp-content/uploads/2016/11/purple-coneflowers-200x133.jpg
"Cosmos, Sensation","
				
	Description

This old-fashioned favorite was the All America Selections winner in 1936.  Growing four to six feet tall, it looks nice in the back of the border or as an annual hedge. Flowers come in a mix of pink, rose, white and crimson and are great for cutting. The flowers also attract bees, butterflies, and other pollinators.
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/Cosmos-Sensation-Mix-200x157.jpg
Cut Flower Mixture,"
				
	Description

This mixture is composed of long-lasting cut flowers.   Nothing brightens up a room like a vase of fresh flowers.  Mix contains both annuals and perennials to provide cut flowers for many years to come.
 
Mix components: Annual Baby’s Breath (Gypsophila elegans), Bishop’s Flower (Ammi majus), Blanketflower (Gaillardia aristata), China Aster (Callistephus chinensis), Clarkia (Clarkia unguiculata), Cosmos (Cosmos bipinnatus), English Wallflower (Cheiranthus cheiri), Gloriosa Daisy (Rudbeckia hirta), Iceland Poppy (Papaver nudicaule), Lance-Leaved Coreopsis (Coreopsis lanceolata), Mexican Hat (Ratibida columnifera), Painted Daisy (Chrysanthemum carinatum), Perennial Lupine (Lupinus perennis), Plains Coreopsis (Coreopsis tinctoria), Purple Coneflower (Echinacea purpurea), Rocket Larkspur (Delphinium consolida), Shasta Daisy (Chrysanthemum maximum), Sulphur Cosmos (Cosmos sulphureus), Sweet William Pinks (Dianthus barbatus)
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/cut-200x150.jpg
Fragrant Mixture,"
				
	Description

This annual and perennial mixture is a blend of colorful flowers that provide lovely fragrances all season long.  Included in this mix are flowers with sweet floral, carnation, citrus, lavender, lemon and sweet perfume scents.
Mix Components: Calendula (Calendula officinalis), Chinese Pinks (Dianthus chinensis), Dahlberg Daisy (Thymophylla tenuiloba), Dianthus ‘Rainbow Loveliness’ (Dianthus hybridus), Elegant Lupine (Lupinus elegans), Evening Scented Stock (Matthiola bicornis), Four O’Clocks (Mirabilis jalapa), French Marigold (Tagetes patula), Iceland Poppy (Papaver nudicaule), Johnny Jump-Up (Viola cornuta), Lemon Mint (Monarda citriodora), Purple Giant Hyssop (Agastache rugosa), Siberian Wallflower (Cheiranthus allionii), Sweet Alyssum (Lobularia maritima), Sweet Mignonette (Reseda odorata), Sweet William Pinks (Dianthus barbatus), Virginia Stock (Malcolmia maritima)
 
			",https://americanseedco.com/wp-content/uploads/2016/11/fragrant-200x227.jpg
Hummingbird & Butterfly Mixture,"
				
	Description

Plant Hummingbird and Butterfly flower mixture attract beautiful pollinators.  This mixture contains 16 annual and perennial wildflowers.  Because of the varieties and colors this mixture will lure beautiful Hummingbirds and Butterflies into your garden.
 
			",https://americanseedco.com/wp-content/uploads/2018/11/bird-and-butterfly-flower-mix-200x199.jpg
"Johnny Jump-Up “Helen Mount”, (Viola), Annual","
				
	Description

Very winter hardy and eager to self-sow in the shade of summer plants.  Violas are cheerful surprises in the cool months. Johnny-Jump Up flowers are each tricolor in bright colors of purple, yellow and white.  Violas will re bloom in fall if cut back in the heat of summer.
 
			",https://americanseedco.com/wp-content/uploads/2020/01/Johnny-200x236.jpg
"Alfalfa,  American Double Eagle Brand","
				
	Description

 A tall, upright racehorse variety with a dense, leafy canopy comprised of a high leaf count.  This medium green colored plant has the flexibility to fit 3, 4 or aggressive 5 cut programs.  Double Eagle has a fall dormancy rating of 4 with a winter hardiness rating of 2.   A synthetic variety tracing back to elite high yield trial plants.  Selected for yield, persistence and screened for high forage quality.  American Double Eagle Alfalfa ranked Number 1 for 3 years at Cornell Yield Trials with a 12.82% yield advantage over the mean.
			",https://americanseedco.com/wp-content/uploads/2013/07/Alfalfa-1-200x133.jpg
"Alfalfa, Variety Not Specified","
				
	Description

An old-time favorite with excellent winter hardiness. A good yielding variety which has good bacterial wilt resistence.
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/JLS4300-e1625164028457-200x200.jpg
"Alfalfa, American Eagle Brand","
				
	Description

American Eagle Brand Alfalfa is a blend of 2 excellent varieties that are fast growing and recover rapidly after cutting. Growth is tall, upright, fine stemmed and leafy.  These 2 varieties have been selected because of their proven record for excellent winter-hardiness for our area. It has a fall dormancy of 3, and a Wisconsin disease index rating of 25. Because American Eagle Brand Alfalfa is a blend of 2 excellent varieties it has a broader genetic base of alfalfa’s. This enables American Eagle Brand Alfalfa to withstand a wider range of adverse conditions.
			",https://americanseedco.com/wp-content/uploads/2013/07/Reedcanarygrass_600x-200x200.jpg
