Name,Description,Image URL
Chervil,"A delicate parsley-like plant with a hint of licorice aroma, its delicate flavour disappears in cooking so add it just prior to serving or add raw leaves fresh to salads. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1061-1_515x640_crop_center.jpg?v=1610656636
Ippon Negi,"This onion is technically a scallion, but they can be large enough to resemble leeks. This is why they are sometimes confusingly called Welsh onions. The hollow leaves grow to 60cm (24"") long, and the white shanks can be extended by hilling up soil around them as they grow. Read More",//www.westcoastseeds.com/cdn/shop/products/ON588-Ippon-Negi-Onion-Seeds_515x640_crop_center.jpg?v=1610656692
Golden Sesame,"The raw seeds of Golden Sesame resemble the toasted seeds of white sesame. Once they are fully dry they turn a nice golden brown colour. The flavour is somewhat milder than the Black Sesame kind, but still tasty and appealing. Read More",//www.westcoastseeds.com/cdn/shop/products/Golden-Sesame-Seeds-0X7A7450_515x640_crop_center.jpg?v=1610656283
Voltaire Asparagus,"It is widely used by European growers to achieve the stark white spears known as spargel. White asparagus is more tender than green, with a milder, almost nutty flavour. Read More",//www.westcoastseeds.com/cdn/shop/products/AS110-Voltaire-Asparagus-seeds_515x640_crop_center.jpg?v=1610582921
Cinnamon Basil Certified Organic,CERTIFIED ORGANIC. Ocimum basilicum. This attractive basil has purple stems and deep flowers with purple bracts. Its unique cinnamon taste and... Read More,//www.westcoastseeds.com/cdn/shop/products/HR1015_BasilCinnamon_Jun2022_CPW_Vendor_DeBolster__2_515x640_crop_center.jpg?v=1668125970
Adona F1 (Coated) Certified Organic,"CERTIFIED ORGANIC. Strong and vigorous cauliflower with dense, white, sweet-tasting curds and large leaves useful for blanching the graceful heads. Read More",//www.westcoastseeds.com/cdn/shop/products/CF350cauliflower_adona-8606-original_515x640_crop_center.jpg?v=1650497817
Orion Coated Organic,"CERTIFIED ORGANIC! Plant Orion organic fennel seeds in raised beds or garden beds and expect fast, vigorous growth of large, firm fennel bulbs with refined, crisp texture, strong anise flavour, and high water content. Read More",//www.westcoastseeds.com/cdn/shop/products/Orion-Organic-Fennel-Seeds-HR1092-1_515x640_crop_center.jpg?v=1610656998
Lions Mane,"A broad leaf variety of Lions Mane garlic chives seeds with quite flat, flavourful leaves resembling a lion’s mane. Fast growing with edible white flowers. This herb is a positively essential ingredient in Chinese dumplings. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1071-Lions-Mane-Garlic-Chives-Seeds-1_515x640_crop_center.jpg?v=1610581740
Purple Ruffles,Purple Ruffles basil seeds are an All America Selections Winner. This is an improved purple leaf basil chosen for its deep ruffles and decorative serrated leaf margins. Read More,//www.westcoastseeds.com/cdn/shop/products/HR1021_Basil_PurpleRuffles_20200422_103204_515x640_crop_center.jpg?v=1643847183
Jacob's Cattle Bean Organic,"The plump, oblong beans are creamy white, and speckled with deep burgundy. The markings darken to almost coffee brown as the seeds age. During the summer, Jacob's Cattle Bean makes quite a nice snap bean, before the seeds mature. Read More",//www.westcoastseeds.com/cdn/shop/products/BN205-Jacob_s-Cattle-Bean-0X7A0780_515x640_crop_center.jpg?v=1576613006
Mizuna Organic,"Mild and sweet enough for salads, the thin, light-green, feathery leaves are deeply-cut but not curled. Plants grow vigorously so thin to at least 20cm (8""). Read More",//www.westcoastseeds.com/cdn/shop/products/MU543-1_515x640_crop_center.jpg?v=1610586695
Victoria Pelleted,"Victoria celery is a bolt-resistant, upright plant with crisp, juicy, tasty stalks that are an appealing apple-green colour with white at the base. This hybrid grows where other varieties sometimes fail. Read More",//www.westcoastseeds.com/cdn/shop/products/CL342-1_3dd8cd75-cc82-46f3-b064-b2bd5de1c9af_515x640_crop_center.jpg?v=1610654386
Lodero F1,This red cabbage produces medium size heads weighing 1.5-3kg (3-6lbs) that are held high off the ground. The red/purple leaves are tightly packed and has good uniformity. Read More,//www.westcoastseeds.com/cdn/shop/products/CB277red_cabbage_lodero-Bejo2_515x640_crop_center.jpg?v=1650497692
Lunar White,"Stunning creamy white carrots with light green shoulders. Almost coreless, the sweet but mild flavour develops early so it is a great... Read More",//www.westcoastseeds.com/cdn/shop/products/CR319_LunarWhite_Sep22__CR276WhiteSatin0X7A9427_515x640_crop_center.png?v=1668119482
Right on Red,"Right on Red is part of the Hungarian Cheese series of peppers. These are round and squat and slightly flattened, with thick, succulent walls. Starting green, Right on Red ripens to a very sweet, very red finish, and it stores well after harvest. Read More",//www.westcoastseeds.com/cdn/shop/products/PP656-Right-on-Red-0X7A0297_515x640_crop_center.jpg?v=1610578073
Frilly Edible Chrysanthemum,"The mildly bitter leaves of this annual are frequently used in Japanese recipes. The flowers, which grow to around 1.3m (4') tall, are various shades of yellow, and are also edible - outstanding additions to salads or any other food if used as a garnish. Read More",//www.westcoastseeds.com/cdn/shop/products/Frilly-Edible-Chrysanthemum-Shungiku-Seeds-MU534-1_515x640_crop_center.jpg?v=1610589468
Piccolo F1 Certified Organic,CERTIFIED ORGANIC. This eye-catching eggplant has pretty purple and white speckled skin that covers firm flesh that is perfect for both stuffing and pickling. Read More,//www.westcoastseeds.com/cdn/shop/products/EG424PiccoloEggplant_515x640_crop_center.jpg?v=1650410590
Tokyo Bekana Organic,"CERTIFIED ORGANIC! A very nice, slightly curled mustard with light green, ruffled leaves. Although this heirloom variety can be grown to full size for cooking, the baby leaves are spectacular raw, and work particularly well in salad mixes for the market. Read More",//www.westcoastseeds.com/cdn/shop/products/MU554-1_515x640_crop_center.jpg?v=1610589131
Kalettes Autumn Star,"A new hybrid of kale and Brussels sprouts, bred using traditional techniques. Like Brussels sprouts, the kalettes form along the stem of each plant, but they are open like miniature kale plants, rather than closed like sprouts. Each one is about 5cm (2"") in diameter, and they can be harvested for fresh raw eating, or cooked as an exciting new side dish. Read More",//www.westcoastseeds.com/cdn/shop/products/KL449-Kalette-Autumn-Star-0X7A0232_515x640_crop_center.jpg?v=1625419463
Callaloo Amaranth Seeds,"Callaloo Amaranth seeds are grown all over the Caribbean to cultivate baby leaves for the dish known as Callaloo. There are many regional variations to this dish of cooked greens, some with spicy peppers added, some with meat or fish. Read More",//www.westcoastseeds.com/cdn/shop/products/MS569-Callaloo-0X7A2218_515x640_crop_center.jpg?v=1602193861
Burgandy Certified Organic,"CERTIFIED ORGANIC. A loose-leaf, red tango-type lettuce with shapely leaves that are lofty and have a pleasingly crunchy texture. The incised leaves... Read More",//www.westcoastseeds.com/cdn/shop/products/LT550BURGANDYEnzaZaden_Leaf_Field_058_515x640_crop_center.jpg?v=1675984784
Tronchuda Kale Seeds,"Rounder leaves than collards, Tronchuda Kale Seeds (Portuguese Kale) have a distinctive bluish green colour and prominent white midribs. Read More",//www.westcoastseeds.com/cdn/shop/products/KL435_Tronchuda_Kale_1_515x640_crop_center.jpg?v=1610583999
Black Sesame,"When fully mature and dry, the seeds of Black Sesame are very dark indeed. The colour difference between the varieties is obvious if they are placed side by side. Read More",//www.westcoastseeds.com/cdn/shop/products/Black-Sesame-Seeds-0X7A7592_515x640_crop_center.jpg?v=1610585336
Cardinal Organic,"Upright plants grow to 60cm (25"") tall, with strongly aromatic, oval leaves, and growth so vigorous no pinching is needed. Cardinal is very useful as a culinary basil, but wait until it blooms! Read More",//www.westcoastseeds.com/cdn/shop/products/HR1022-1_515x640_crop_center.jpg?v=1610582550
Ilema Pelleted Organic,"Ilema's curly leaves qualify it as a ""lollo bionda"" type lettuce. It's impressively voluminous with substantial weight and fast growth. Read More",//www.westcoastseeds.com/cdn/shop/products/LT517-Ilema-Organic-Lettuce-Seeds_912690e9-dc14-4b98-b628-0e0f6ca8d819_515x640_crop_center.jpg?v=1610583869
Asian Delight,"This new pac choi is going to change the game for organic farmers and home gardeners alike as the most bolt-resistant variety on the market. Asian Delight is the winner of the 2018 AAS Award in the Edible category, and in field tests across North America growers were amazed by its incredible staying power. Read More",//www.westcoastseeds.com/cdn/shop/products/MU511_Asian-Delight-F1-0X7A3020_515x640_crop_center.jpg?v=1610584038
Kalettes Snowdrop,"Snowdrop matures in winter when most other crops are finished or fast asleep. The little sprouts are sweetened by frosty temperatures, and the colours are very much enhanced. Kalettes are a new hybrid of kale and Brussels sprouts, bred using traditional techniques. Read More",//www.westcoastseeds.com/cdn/shop/products/KL451-Kalette-Snowdrop_515x640_crop_center.jpg?v=1630273221
Rosa Bianca OP Certified Organic,"This delectable Italian heirloom eggplant is known for its beauty as well as its culinary features. The plump, 10-15cm (4-6"") fruits are... Read More",//www.westcoastseeds.com/cdn/shop/files/EX7NstWMHWdOj1Jabq7QdnMBteBuuQQc8-4pgt-gnsGQVA_515x640_crop_center.jpg?v=1698865993
Comanche Organic,Comanche Organic leeks are some of the finest for mid-summer to early fall harvests. The impressive shanks are topped by upright blue-green leaves and they hold well in the field providing a long and flexible harvest window. Read More,//www.westcoastseeds.com/cdn/shop/products/LK451-Comanche-IMG_5430_515x640_crop_center.jpg?v=1602193860
Curly Cress Peppergrass,"Fast-growing, frilly leaves leap out of the ground. A little cress really spices up a salad or sandwich. Plant a small amount of Curly Cress Peppergrass seeds frequently or grow indoors as microgreens in nearly any size of container. Read More",//www.westcoastseeds.com/cdn/shop/products/MS495-12_515x640_crop_center.jpg?v=1610587344
Spanish Eyes,"Spanish Eyes Lavender seeds produce fast-growing lavender that blooms in the first year, just eight weeks after germination. It also blooms over a longer period than any other lavender variety. Read More",//www.westcoastseeds.com/cdn/shop/products/HR1094-Spanish-Eyes-IMG_9449_515x640_crop_center.jpg?v=1610579495
Caraflex Coated Organic,"Small, very pointed, highly uniform heads that can be planted more densely. Caraflex has tight wrapper leaves that protect the tender, crunchy, sweet interior from weather and pests. Read More",//www.westcoastseeds.com/cdn/shop/products/CB246_Caraflex-cabbage_1_515x640_crop_center.jpg?v=1610656692
Tivoli,"Tivoli is an All America Selections Winner. This hybrid is the first bush spaghetti squash. Like other bush squash plants, it will produce short vines after the initial fruit set. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ740-1_515x640_crop_center.jpg?v=1610586937
Plymouth,Plymouth spinach is an incredibly uniform hybrid type with regular stems that is easy to harvest and would be excellent for bunching for market. Read More,//www.westcoastseeds.com/cdn/shop/products/SP718-Plymouth-F1-0X7A5268_515x640_crop_center.jpg?v=1625427770
Ruby Mizuna,"Ruby mizuna mustard seeds produce leaves that have indented bronze leaves with a bit more green on the underside of each, and... Read More",//www.westcoastseeds.com/cdn/shop/products/MU517_Ruby-Mizuna-1_515x640_crop_center.jpg?v=1610586482
Wonder Wok Pelleted,"Wonder Wok pelleted mesclun seeds produce a crop that is ready to harvest only four weeks after sowing. This multi species blend includes pac choi, kale, and several mustard greens, so it's perfect for a quick harvest of instant stir-fry greens. Read More",//www.westcoastseeds.com/cdn/shop/products/MU510-Wonder-Wok-0X7A8199_515x640_crop_center.jpg?v=1610654178
Red Racer Certified Organic,"Bush. This compact bush tomato is early maturing and very productive. The red, cocktail-sized fruits (4 cm/1.5 inches) are larger than the average cherry tomato and they can be harvested in a cluster. Read More",//www.westcoastseeds.com/cdn/shop/products/TM854_red_racer_lineup_515x640_crop_center.jpg?v=1650323691
Viper,"Viper carrots are long and narrow, with a very gradual taper from top to toe. The tops grow in a highly upright fashion. The crisp orange roots have virtually no core, and the flavour is robust. Read More",//www.westcoastseeds.com/cdn/shop/products/CR318_Viper-0X7A9477_515x640_crop_center.jpg?v=1576613007
Southern Giant Curled Organic,"Certified organic! Beautiful, deeply-frilled, bright-green leaves have an upright growth habit and a potent mustard flavour to liven up sandwiches. The flavour is milder in young leaves and when cooked. Read More",//www.westcoastseeds.com/cdn/shop/products/MU524-1_515x640_crop_center.jpg?v=1610657020
Salsola,"Salsola is considered one of the oldest vegetables cultivated in Japan, where it is known as okahijiki — literally, ""land seaweed."" This name refers to its resemblance to seaweed, with its tubular stems and leaves, and springy, upright stature. Read More",//www.westcoastseeds.com/cdn/shop/products/MS562-Salsola-0X7A5209_515x640_crop_center.jpg?v=1610589290
Giant Red,"When small, the lovely burgundy coloured leaves with light green veins are so mild and delicious they can be eaten in salads. In summer, big leaves pack a proper mustard punch but they are much milder when cooked or when grown in cooler weather. Read More",//www.westcoastseeds.com/cdn/shop/products/MU531-1_515x640_crop_center.jpg?v=1610654430
Blue Panther,"This Fleuroselect award winning Catmint cultivar is a first year flowering perennial. The foliage forms a compact dome shape and is topped by pastel blue flowers on 20cm (8"") stems. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3843BluePanther0X7A2434_515x640_crop_center.jpg?v=1648507478
Consul,"Once Consul Cabbage seeds head up, they resist splitting or degrading longer than most other varieties. This makes it ideal for harvesting over a long period from a single sowing. Read More",//www.westcoastseeds.com/cdn/shop/products/CB225_Consul_PennyApple_515x640_crop_center.jpg?v=1610657053
Kalettes Mistletoe,"Tallest of the kalettes, with tender, sweet, bite-sized, open sprouts forming along the whole stem. Each one is about 5cm (2"") in diameter, and they can be harvested for fresh raw eating, or cooked as an exciting new side dish. Read More",//www.westcoastseeds.com/cdn/shop/products/KL450-Mistletoe-Kalette-Christmas-Rose_515x640_crop_center.jpg?v=1630273199
Yes to Yellow,"This is part of the Hungarian Cheese series, with squat, round fruits with thick walls. They start green, but mature to an intense yellow colour. The plants themselves are strong and vigorous, with many fruits setting in the season. Read More",//www.westcoastseeds.com/cdn/shop/products/PP658-Yes-to-Yellow-0X7A0293_515x640_crop_center.jpg?v=1610654044
Tokyo Bekana Mustard Seeds,"A very nice, slightly curled mustard with light green, ruffled leaves. Although this heirloom variety can be grown to full size for cooking, the baby leaves are spectacular raw, and work particularly well in salad mixes for the market. Read More",//www.westcoastseeds.com/cdn/shop/products/MU554-1_b6ded24f-ed42-47e7-b121-b78ec5a4a4e1_515x640_crop_center.jpg?v=1610584005
Ezrilla Organic,"Ezrilla Organic lettuce seeds has an even more incised leaf than Capulin, but features many of the same great traits. Speed of growth is accompanied by long, narrow leaf margins for one-cut harvesting. Read More",//www.westcoastseeds.com/cdn/shop/products/Ezrilla-Organic-Lettuce-Seeds_515x640_crop_center.jpg?v=1610585762
Thai Green Eggplant Certified Organic,"CERTIFIED ORGANIC. The 25 cm (10 inch) long, slender green skinned fruits of this eggplant have tender and mild flesh that absorbs flavours well. Read More",//www.westcoastseeds.com/cdn/shop/products/EG429ThaiGreen_Edited_515x640_crop_center.jpg?v=1650490168
White Satin Coated,"Luminous white roots with strong, 40-45cm (16-18"") green tops. The 25cm (10"") long cylindrical roots have a unique crisp texture, and juicy flavour. Read More",//www.westcoastseeds.com/cdn/shop/products/CR276-White-Satin-0X7A9430_515x640_crop_center.jpg?v=1610587520
Bau Sin,Bau Sin mustard seeds produce a broad-leaf Chinese green that is popular in Taiwanese cuisine. Bau-Sin is unique in that it is one of the only mustard varieties that will form a head if the temperature is right. Read More,//www.westcoastseeds.com/cdn/shop/products/MU539-1_515x640_crop_center.jpg?v=1610584053
Mini-Me F1 Certified Organic,"CERTIFIED ORGANIC. This parthenocarpic, early variety bears an abundance of 7-8cm (2.5-3 inch) fruit that are perfect for snacking. Mini-Me is a... Read More",//www.westcoastseeds.com/cdn/shop/products/CU382Mini-Me2022WCS25_515x640_crop_center.jpg?v=1668121051
Sungold,"Hearty plants produce beautiful tangerine-coloured cherry tomatoes with a rich, fruity and unique tropical taste when left on the vine and picked at optimum ripeness. Vibrant, plump, tomatoes droop in long trusses on vigorous vines that keep on producing all summer. Read More",//www.westcoastseeds.com/cdn/shop/products/TM786-12_515x640_crop_center.jpg?v=1610584342
California Wonder,"Few bell pepper varieties can compete with the reliable plants produced by California Wonder pepper seeds. In a greenhouse, open field, or in your backyard vegetable garden, this is the variety to grow if you love big, blocky sweet peppers that mature from green to bright fire engine red. Read More",//www.westcoastseeds.com/cdn/shop/products/PP620-4_98d8497a-3800-448a-a0f4-f62c1a916b71_515x640_crop_center.jpg?v=1610579757
Homemade Pickles,"These blimp shaped cucumbers are medium green with small white spines and a crisp interior. You can pick them at 4cm (1"") for baby sweet pickles or wait for bigger ones. Read More",//www.westcoastseeds.com/cdn/shop/products/CU407-1_515x640_crop_center.jpg?v=1610587729
Mini Purple Daikon,"Lovely white flesh streaked with purple, and deep purple skins are the product of Mini Purple Daikon radish seeds. The flavour of the root is quite mild compared with the spicy (edible) leaves. Read More",//www.westcoastseeds.com/cdn/shop/products/Mini-Purple-Daikon-Radish-Seeds-RD690_515x640_crop_center.jpg?v=1610654521
Ailsa Craig,"Sow Ailsa Craig sweet onion seeds for huge, straw-yellow globes up to 20cm (8"") in diameter! Firm, with mild, sweet flesh, Ailsa has fairly good short-term storage potential, certainly better than Walla Walla. Read More",//www.westcoastseeds.com/cdn/shop/products/ON570-1_515x640_crop_center.jpg?v=1610655038
Sunrich Orange,"The flowers are very round with dense numbers of petals, but the flowers produce no pollen, so they won't make a mess when they're cut and brought indoors. They make really excellent, long-lasting cut flowers, with blooms 10-15cm (4-6"") across. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3860-Sunrich-Orange-WC-1_515x640_crop_center.jpg?v=1610656381
Magenta Sunset,"Hot pink to magenta stems and veins with dark jade coloured foliage, Magenta Sunset is a beauty among the chards. Magenta Sunset Swiss chard seeds are grown primarily for immature salad greens as it tends to bolt during summer heat. Read More",//www.westcoastseeds.com/cdn/shop/products/SW758-1_515x640_crop_center.jpg?v=1610654011
Tasty Emperor,"Slender, early, and thin skinned Japanese style long cucumbers on vigorous plants. Plant Tasty Emperor cucumber seeds for high-yielding plants that are productive for a long period with fruits growing to 25-30cm (10-12"") long. Read More",//www.westcoastseeds.com/cdn/shop/products/CU417-Tasty-Emperor-Cucumber-Seeds_515x640_crop_center.jpg?v=1610656628
Small Sugar,"This is the classic (if not original) pie pumpkin with small, round, slightly flattened orange fruits that have very light rib indentations. Read More",//www.westcoastseeds.com/cdn/shop/products/PU660-Small-Sugar-0X7A0592_515x640_crop_center.jpg?v=1610656363
Mammoth Blend,"Striking shades of crimson, lavender, deep rose, navy blue, rose pink, and salmon, these climbers are 1.6m (6ft) and perfect for cut flowers. Sow Mammoth Blend sweet pea seeds for the earliest sweet peas to bloom from late spring to early summer. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3284-1_515x640_crop_center.jpg?v=1610578517
Zebrune,"This well known French heirloom shallot is sometimes referred to as an eschalion, or banana shallot. The eschalion combines the ease and texture of an onion with the delicate gourmet flavour of a shallot. The long lasting bulbs have pinkish brown skins over crisp white interiors. Read More",//www.westcoastseeds.com/cdn/shop/products/0X7A0940_515x640_crop_center.jpg?v=1610582778
Yellowfin Organic,"Golden fruits with smooth skins, rich flavour, and a buttery interior texture. The fruits are uniformly and evenly thick along their length, produced on open, bushy plants. The plants themselves boast a high resistance to powdery mildew and Cucumber Mosaic Virus. Read More",//www.westcoastseeds.com/cdn/shop/products/SQ802-yellowfin-organic-zucchini-seeds_515x640_crop_center.jpg?v=1610577318
Scarlet Nantes,"This carrot has been grown and selected for North American conditions for at least 50 years, and is a workhorse variety that is widely adapted and often out-performs some of the more finicky nantes hybrids. Read More",//www.westcoastseeds.com/cdn/shop/products/CR296-1_515x640_crop_center.jpg?v=1610657072
Sugar Ann,"Extra early, incredibly sweet snap peas on short, 60cm (2') vines that don't require trellising. Sugar Ann snap pea seeds are an excellent choice for smaller garden spaces. Read More",//www.westcoastseeds.com/cdn/shop/products/PE617-1_515x640_crop_center.jpg?v=1610654156
Glass Gem Organic,"Oklahoma native Carl Barnes selected the stunning Glass Gem Organic corn seeds from several traditional heirlooms known for their beauty. Words don't do justice to the multicoloured, translucent, gem-like kernels on these amazing cobs. Read More",//www.westcoastseeds.com/cdn/shop/products/CN396-Glass-Gem_515x640_crop_center.jpg?v=1576613004
Buttercrunch,"Buttercrunch butterhead lettuce seeds are a Bibb type lettuce that forms a tight little rosette of soft, dark-green, upward-facing leaved surrounding a tender, pale center. Read More",//www.westcoastseeds.com/cdn/shop/products/Buttercrunch-Lettuce-Seeds-LT458-1_515x640_crop_center.jpg?v=1610588172
Super Sugar Snap,"The crunchy pods are excellent for eating cooked or raw. Super Sugar snap pea seeds produce vigorous climbing vines that should be trellised, and will easily grow 2m (6') or more in good soil. Read More",//www.westcoastseeds.com/cdn/shop/products/PE616-1_515x640_crop_center.jpg?v=1610589310
Teddy Bear,"Plant Teddy Bear sunflower seeds for a unique cut flower. Plant grows to a height of 90 cm (3'). Because Teddy Bear Sunflowers produce so many flower petals, they are good for sprinkling over salads in the summer. Read More",//www.westcoastseeds.com/cdn/shop/products/FL3271-1_515x640_crop_center.jpg?v=1610579685
Walla Walla,"This is the classic large overwintering onion of the Pacific Northwest. A very large, juicy onion with a mild sweet flavour. It can be planted in the spring if given a really early start indoors, or in August to overwinter. Read More",//www.westcoastseeds.com/cdn/shop/products/ON565-1_515x640_crop_center.jpg?v=1610656945
Parris Island Cos,Flavourful pale centres are surrounded by thick green outer leaves on enormous upright plants. Parris Island Cos romaine lettuce seeds can be planted close together for a long harvest of little leaves for gourmet salads. Read More,//www.westcoastseeds.com/cdn/shop/products/LT470-1_515x640_crop_center.jpg?v=1610588481
Green Arrow,"These are excellent for fresh eating, freezing, canning, or cooking. Born in pairs at the top of the short bush are heavy yields of dark green pods to 11cm (4.5"") containing 9 to 11 peas each. Read More",//www.westcoastseeds.com/cdn/shop/products/PE620-1_515x640_crop_center.jpg?v=1610588761
Red Beard,"Grow this striking, red-stalked bunching onion at any time of the year. For the richest red colour, plant it in late summer to early fall so it is exposed to a bit of cold weather before harvest. If hard frost is expected, just mulch around the stems with straw. Read More",//www.westcoastseeds.com/cdn/shop/products/ON593-Red-Beard-Picture_515x640_crop_center.jpg?v=1610583413
Habanero,"C. chinense. Habanero pepper seeds are central to the cuisine of Yucatan, Mexico. The little lime-green peppers ripen first to sunset golden, and then to ""You've been warned"" red. Read More",//www.westcoastseeds.com/cdn/shop/products/PP644-1_515x640_crop_center.jpg?v=1610577699
