Name,Other_Name,Image URL 1,Image URL 2,Description
Chinese Celery Seeds,#CE1383-Chinese Yellow Stem,,//agrohaitai.com/cdn/shop/products/WeChatImage_20191118092336_60x.jpg?v=1586441487,"
                      
                        Chinese yellow type.110~120 days by direct seeding. Hollow stalks in light green color. Less fibre and delicate. The optimum germination temperature is around 15~20 ˚C. Higher temperatures prevent germination. Keep the soil moist after transplanting.
Avg. 964,000 seeds/lb, 60,000 seeds/oz. Packet: 1g, approx. 2000 seeds.
                      
                    "
Malabar Spinach Seeds,#MS1365-Big Round Leaf,,//agrohaitai.com/cdn/shop/products/DSC_0184-bigroundleaf_60x.jpg?v=1586442023,"
                      
                        50 Days after sowing. Green variety. Vigorous growing. Thick leaf. Slow bolting. Heat tolerant. High yielding.
Avg. 14,000 seeds/lb, 1,000 seeds/oz. Packet: 1g, approx. 30 seeds.
Germination rate: Approx. 65%
                      
                    "
Cucumber Seeds,#CM1659-Huang Yu No.2 F1,,//agrohaitai.com/cdn/shop/products/CM1659-HuangYuNo.2F1_60x.jpg?v=1699383707,"
                      
                        Chinese cucumber, also known as Han Huanggua . Early maturity. Light green fruits, 7~8” long. Crispy and tasty. Tolerant to heat. High yielding. Good for planting in open fields and greenhouse.
 Avg. 15,000 seeds/lb, 940 seeds/oz. Packet 20 seeds.
﻿
                      
                    "
Green Pak Choy Seeds,#PG1045-Wuta,,//agrohaitai.com/cdn/shop/products/IMG_1145-tah_tsai_wuta_60x.jpg?v=1611369879,"
                      
                        40~50 day. Spoon-shape leaves, thick, glossy in deep green color. Heat and cold tolerant, very slow bolting. Can be planted in spring, summer and fall. Excellent for microgreens and baby greens.
Avg. 232,000 seeds/lb, 11,200 seeds/oz. Packet: 1g, approx. 400 seeds.

                      
                    "
Chinese Celery Seeds,#CE1372-Tianjin Green,,//agrohaitai.com/cdn/shop/products/TianjinGreen_60x.jpg?v=1629482406,"
                      
                        60 days after transplanting. Medium-dark green leaves with green solid petioles. Vigorous growing. Less fiber. Excellent texture. Tolerant to cold, heat, and slow bolting.
Avg. 1,290,000 seeds/lb, 80,000 seeds/oz. Packet: 1g, approx. 2500 seeds.

                      
                    "
Edible Amaranth Seeds,#AM1091-Red Beauty,,//agrohaitai.com/cdn/shop/products/863c4a12-93c6-432c-90ef-ddecc7e1b145_60x.jpg?v=1587261315,"
                      
                        35~40 days. Nice oval leaves of purple-red and green color. High yield. Tender and delicious.
Avg. 630,000 seeds/lb, 39,000 seeds/oz. Packet: 1g, approx. 1300 seeds.
                      
                    "
Winged Bean Seeds,#BW1206-Four Angled,//agrohaitai.com/cdn/shop/products/DSC_6328-fourangled_60x.jpg?v=1586652648,,"
                      
                        85 days. The pod's size is about 2.5 cm x 15 cm, 10 g. Delicious and crispy. Recommended planting density：30-40 cm x 80 cm, 3 seeds per hills. It flowers very late due to Long-Day period in Canada.
Avg. 1350 seeds/lb, 80 seeds/oz. Packet: 10 seeds.
                      
                    "
Green Pak Choy Seeds,#PG1060-Luxiu,,//agrohaitai.com/cdn/shop/files/IMG_4381-jimao_choy_luxiu_60x.jpg?v=1711127646,"
                      
                        40 days. OP variety. Green leaves, light green, and longer petioles. It has good resistance to diseases and good heat tolerance. It can be planted in late spring, summer, and fall production. It is a good variety for baby greens (Jimao Choy) and Bunching Baby Shanghai.
Avg. 187,000 seeds/lb, 11,000 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Edible Amaranth Seeds,#AM1483-Hong Kong Red,,//agrohaitai.com/cdn/shop/products/IMG_4907-edible_amaranth_hong_kong_red_60x.jpg?v=1631297544,"
                      
                        35~40 days. Round/Oval purple leaves with narrow bright green margins. Vigorous growing and productive.
Avg. 781,000 seeds/lb, 48,500 seeds/oz. Packet: 1g, approx. 1,700 seeds.
                      
                    "
Green Pak Choy Seeds,#PG1521-Jimao Choi F1,//agrohaitai.com/cdn/shop/products/PG1521-JimaoChoiF1_60x.png?v=1680018953,,"
                      
                        20~30 days. Bright green leaves and petioles. Fast growing variety with high uniformity. Tolerant to heat. Very suitable variety for baby leaf production.
Avg. 156,800 seeds/lb, 9,800 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Edible Chrysanthemum Seeds,#TH1366-Big Leaf,,//agrohaitai.com/cdn/shop/products/DSC_0085-bigleaf_60x.jpg?v=1586443098,"
                      
                        Big Leaf: Large-leaf type. Dark green leaves. Vigorous growing, more branches, and high yielding. Tolerant to cold, heat, and slow bolting. Can be planted in the spring, summer, and fall seasons. It can be used for sprouting and baby greens.
Avg. 246,000 seeds/lb, 15,000 seeds/oz. Packet: 2g, approx. 1000seeds.
                      
                    "
Celtuce Seeds,#CT1296-Spring Tower,//agrohaitai.com/cdn/shop/products/5b34281f-ac98-4520-b865-da88bbb8603c_60x.jpg?v=1586540073,,"
                      
                        Broad leaf. Thick stem, up to 2 lbs. Cold tolerant. Suitable for spring and fall planting. The optimum temperature for germination is 15~20℃.
Avg. 462,000 seeds/lb, 28,000 seeds/oz. Packet: 500 seeds.
                      
                    "
Taiwan Pak Choy Seeds,#PT1061-Dynasty,,//agrohaitai.com/cdn/shop/products/P1010013-dynasty_60x.jpg?v=1586780543,"
                      
                        20-25 days in the summer and 30-40 days in the fall. Bright, yellowish-green, curly leaves with pure white narrow petioles. Both heat and cold tolerant. Excellent for salad, stir-fry, and soup.
Avg. 145,000 seeds/lb, 9,000 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Yard Long Bean Seeds,#BL1133-Red Noodle,,//agrohaitai.com/cdn/shop/products/DSC_0238-rednoodle_60x.jpg?v=1587261383,"
                      
                        Red noodle is a unique medium-maturity variety. The plant has good tolerance to heat and is very vigorous and productive. The attractive purple-red pods are up to 55cm (22"") in length, tender, firm, and delicious. 
Red seeds. Avg. 2,500 seeds/lb, 150 seeds/oz. Packet: 25 seeds.
                      
                    "
Celtuce Seeds,#CT1360-Purple Sword,,//agrohaitai.com/cdn/shop/products/IMG_6341-purplesword_60x.jpg?v=1707336933,"
                      
                        Pointed leaves in green/purple color. Stem skin is light purple. Tolerant to cold and cracking. For spring and fall planting. The optimum germination temperature is 15-18C°/ 59-64 F°
Avg. 449,000 seeds/lb, 26,000 seeds/oz. Packet: 500 seeds.
                      
                    "
Summer Squash Seeds,#SS1229-Green Fortune F1,,//agrohaitai.com/cdn/shop/products/DSC_0121-greenfortune_60x.jpg?v=1586789246,"
                      
                        40-50 days. High yielding. Disease tolerant. Cylindrical fruits, shiny light green color, average size 6"".
Avg. 4,000 seeds/lb, 250 seeds/oz. Packet: 20 seeds.
                      
                    "
Radish Seeds,#RA1553-Lu Chun #2  F1,,//agrohaitai.com/cdn/shop/products/c858ae5d-88df-43a3-9c71-845bee50ee71_60x.png?v=1587847140,"
                      
                        60~65 days. Cylindrical shape, 8~10” long, 2.5~3.5” in diameter. Upright and uniform. Green meat. Tender and sweet. Good for sowing in the late spring and fall season.
Avg. 26,000 seeds/lb, 1,500 seeds/oz. Packet: 2g, approx. 110 seeds.
                      
                    "
Eggplant Seeds,#EP1620-Canton Long F1,,//agrohaitai.com/cdn/shop/products/IMG_9182-chinese_eggplant_canton_long_purple_60x.jpg?v=1707156745,"
                      
                        Shiny purple fruit with purple calyx. The fruits can be harvested from 10"" long to 16"" long. White meat, tender and excellent flavored. Vigorous and high-yielding. Tolerant to heat and resistant to diseases.
Avg. 148,000 seeds/lb, 9,200 seeds/oz. Packet: 50 seeds.


                      
                    "
Pole Bean Seeds,#BE1518-Lu Qing,,//agrohaitai.com/cdn/shop/products/DSC_0022-LuQing_60x.jpg?v=1664475513,"
                      
                        60 days to harvest after sowing. Flat pod in light green, avg. 10” long, meaty and string-less, Disease resistant. Heat and cold tolerant. Prolific. White seeds. Timely harvest young pods to avoid pod fibrosis.
White seeds. Avg. 1,600 seeds/lb, 95 seeds/oz. Packet: 25 seeds.
                      
                    "
Hot Pepper Seeds,#PP1126-Accord F1,,//agrohaitai.com/cdn/shop/files/IMG_5452-pepper_accord_60x.jpg?v=1713456325,"
                      
                        Early maturing and prolific, this variety yields green fruits averaging 4 to 6 inches in length, which mature into a vibrant, shiny red. The fruits boast a delightful taste, combining sweetness with a hint of hot pepper or mild warmth, making them a popular choice in Asian cuisine. Ideal for both commercial growers and home gardens, this variety stands out as an excellent option.
M=1000 seeds, Packet: 25 seeds.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Perilla Seeds,#PA1660-Bicolor Shiso,,//agrohaitai.com/cdn/shop/files/IMG_6405-bicolor_shiso_perilla_zisu_60x.jpg?v=1707496876,"
                      
                        A popular variety in Asia. Serrated leaves with green on top and purple underside. Vigorous. Widely planted for microgreens and baby greens.
Avg. 160,000 seeds/lb, 9,500 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Radish Seeds,#RA1479-Green Shoulder Spring F1,//agrohaitai.com/cdn/shop/files/WeChatImage_20230911135740_60x.jpg?v=1694459172,,"
                      
                        Korean green shoulder type. 60~70 days. 7~8"" long,3~4"" in diameter. Resistant to Club Root. Slow bolting. Small leaves and good for dense planting. Upright and uniform. Firm flesh is tender and sweet. It can be planted in spring, summer, and fall.
Treated seeds.
Avg. 28,000 seeds/lb, 1,600 seeds/oz. Packet: 2g, approx. 110 seeds.
                      
                    "
Lettuce Seeds,#LE1648-Buttercrunch,//agrohaitai.com/cdn/shop/products/Lettuce_seeds_buttercrunch_60x.jpg?v=1641679792,,"
                      
                        65-75 days. This butterhead variety produces a rosette head with loose green leaves and compact hearts. More heat tolerant and bolt resistant than many butterhead varieties. Excellent texture and great flavor.
Avg. 450,000 seeds/lb, 28,000 seeds/oz. Packet: 0.5g, approx. 500 seeds.
                      
                    "
Radish Seeds,#RA1569-Han Yu F1,,//agrohaitai.com/cdn/shop/products/DSC_0723-hanyu_60x.jpg?v=1588727356,"
                      
                        60~65 days. Beautiful cylindrical shape, pure white. Uniform. 10~11” long, 3” in diameter. Good for sowing in late spring, summer and fall seasons.
Avg. 36,000 seeds/lb, 2,300 seeds/oz.  Packet: 2g, approx. 140 seeds.
                      
                    "
Malabar Spinach Seeds,#MS1286-Red Stem,,//agrohaitai.com/cdn/shop/products/DSC_5894-redstem_60x.jpg?v=1586442435,"
                      
                        50 days. Vigorous growing. Dark green and thick leaves. Shiny dark purple stem and petioles. It can be planted for ornamental purposes. 
Avg. 16,000 seeds/lb, 1000 seeds/oz. Packet:1g, approx. 35 seeds.
                      
                    "
Pole Bean Seeds,#BE1568-Qing Bian No.9,,//agrohaitai.com/cdn/shop/products/QingBianNo.9-2_60x.jpg?v=1673384400,"
                      
                        Romano bean. Medium maturity. Flat pods are 10~12” long, and wide in bright green color. White seeds. The pods are stringless with thick flesh and stay tender for a long period without fibrosis. White flowers and seed. The plants are vigorous and tolerant to cold and diseases with high yields. 
White seeds. Avg. 950 seeds/lb, 55 seeds/oz. Packet: 25 seeds.
                      
                    "
Tomato Seeds,#TM1602-Wonder F1,,//agrohaitai.com/cdn/shop/products/IMG_7299_tomato_wonder_60x.jpg?v=1668775506,"
                      
                        Indeterminate. 70~80 days after transplanting. Red/Pinkish red fruits with green shoulder, 3~4 oz, 4~6 fruits per cluster. Widely adaptability. Great flavor and is excellent for the fresh market. It is called strawberry tomato in China.
M=1000 seeds. Packet: 20 seeds. 
Optimum germination temperature: 25-28°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Radish Seeds,#RA1655-Red Heart F1,//agrohaitai.com/cdn/shop/products/Chinese_watermelon_radish_super_red_heart_60x.jpg?v=1645237424,,"
                      
                        A newly-developed superb watermelon radish. 65~70 days. Short-cylindrical shape with purple/dark pink flesh. Crispy and sweet. Tolerant to split. Slow bolting. Can be planted in the late spring, summer and fall seasons.
Treated seeds with Thiram.
Avg. 48,000 seeds/lb, 2,900 seeds/oz. Packet: 2g, approx. 200 seeds.
                      
                    "
Chinese Cabbage Seeds,#CC1580-CR Spring Jewel F1,,//agrohaitai.com/cdn/shop/products/DSC_0294-crspringjewel_60x.jpg?v=1609353837,"
                      
                        Medium maturity. 4.0~6.0LBs. Excellent shape, compact and uniform. Resistant to Club Root. Dark green outer leaves. Yellow interior, good texture. Tolerant to cold, slow bolting. Good for sowing in spring and fall.
Avg. 182,000 seeds/lb, 11,000 seeds/oz. Packet: 100 seeds.
                      
                    "
Chinese Chive Seeds,#CV1588-Si Ji,//agrohaitai.com/cdn/shop/products/DSC_0292-garlic_chives_seeds_siji_60x.jpg?v=1633628808,,"
                      
                        Non-dormant type. Dark green leaves, approx. 1cm wide. Vigorous growing, more branches, and high yielding. Good resistance to diseases. A good variety for winter production in some areas, like Southern US and Mexico.
Avg. 94,000 seeds/lb, 5,600 seeds/oz. Packet: 2g, approx. 400 seeds.
                      
                    "
Pole Bean Seeds,#BY1645-Youdou #1,,//agrohaitai.com/cdn/shop/products/BY1645-Youdou_1vs_1_60x.jpg?v=1648671882,"
                      
                        It is a popular pole bean type in Northeast China. Young pods are in bright green color, size 6~8” x 1”, tender, stringless and meaty.
Avg. 930 seeds/lb, Packet: 25 seeds.
                      
                    "
Edible Amaranth Seeds,#AM1350-Hon Sin Red,,//agrohaitai.com/cdn/shop/products/d4e68570-02f7-48a5-91c3-d251a014c006_60x.jpg?v=1586565078,"
                      
                        Medium maturity variety. 60 days in spring planting and 35-40 days in summer and fall. The plant is semi-upright. The leaves are oval-shaped, green in color with purple-red stripes in the center.
Avg. 621,000 seeds/lb, 38,000 seeds/oz. Packet: 1g, approx. 1300 seeds.
                      
                    "
Mizuna Seeds,#MZ1346-Syaki Mizuna,,//agrohaitai.com/cdn/shop/products/DSC_8698-syakimizuna_60x.jpg?v=1666204903,"
                      
                        Early maturity. White petioles. Heat tolerant, vigorous growing with many branches. Tender, tasty and good for salad. Can be grown for microgreens and baby leaves.
Avg. 216,000 seeds/lb, 13,000 seeds/oz. Packet: 1g, approx. 450 seeds.
                      
                    "
Mustard Green Seeds,#MU1109-Jiu Tou Niao,,//agrohaitai.com/cdn/shop/products/39cc12d1-79fa-4b4e-8f3d-b09dd271c9de_60x.jpg?v=1586630539,"
                      
                        An heirloom variety of Sher Li Hong in South China. The plant is semi-upright, on average 40 cm tall, with green serrated leaves. It is very capable to split. It has a good mustard flavor and excellent texture.
Avg. 354,000 seeds/lb, 22,000 seeds/oz. Packet: 1g, approx. 750 seeds.
                      
                    "
Yard Long Bean Seeds,#BL1197-Bush Green,//agrohaitai.com/cdn/shop/products/4dcccd67-c8d1-43f0-ae70-50f84584409f_60x.jpg?v=1587233782,,"
                      
                        A bush variety. Early maturity. The pod is an average of 35cm. Easy to grow without trellis.
Red-ish brown seeds. Avg. 3,100 seeds/lb, 180 seeds/oz. Packet: 25 seeds.
The germination rate is approx. 85%
                      
                    "
Bitter Gourd Seeds,#BM1557-Joy Green F1,,//agrohaitai.com/cdn/shop/products/DSC_0326-chinese_bitter_gourd_joy_green_hybrid_60x.jpg?v=1613475889,"
                      
                        Early maturity. Shiny green fruits, 10~12” long. Vigorous growing and high yielding. Disease resistant.
Avg. 2,300 seeds/lb, 140 seeds/oz. Packet: 10 seeds.
                      
                    "
