Title,Description,URL
Common Spearmint Seeds,soothingly fresh mint for scent and teas. Fresh mint teas and complexly flavoured dishes are on your doorstep. Grow spearmint mint and enjoy that end-of-the-day mint tea ritual in your garden.,https://cdn.sanity.io/images/7j42f56u/production/cc04bc196f58ed3c62e5a75c1d4febabf4460859-2500x3000.jpg?w=640&q=70
Parsley Seeds,"Warming aroma of parsley for cooking delights. Discover the robust flavour of home-grown parsley with our Flat Parsley Seeds, ideal for the UK's garden chefs. These Petroselinum crispum seeds are resilient, flourishing in both chilly climates and cosy container gardens. Perfect for adding a fresh, aromatic touch to your culinary endeavours. Whether you're planting indoors or outdoors, our seeds ensure a lush, leafy harvest. Up your dishes with the freshest herbs straight from your garden.",https://cdn.sanity.io/images/7j42f56u/production/2c2ae9c9af55d50f10cd51183bb2c6d6f7ed4392-4000x4800.png?w=640&q=70
Roman Chamomile Seeds,"Calming floral-scented blooms from Roman Chamomile. Roman Chamomile, known for its calming floral scent, is a timeless herb with roots tracing back to ancient Rome, where it was believed to embolden soldiers. Today, it's cherished as a soothing herbal remedy. Ideal for UK gardens, these Roman chamomile seeds flourish into charming, low-growing clumps, offering a delightful ground cover option. Whether planted in pots, as part of a diverse herb lawn, or spread as a serene chamomile lawn, it brings beauty and aroma to any space. Additionally, its blooms can be harvested for making aromatic chamomile tea, adding a touch of tranquillity to your day. 
",https://cdn.sanity.io/images/7j42f56u/production/f3775ddde32de27aa3bdf3caf079e5aee34401b3-1080x1200.webp?w=640&q=70
Cucumber 'La Diva' Seeds,"growing cucumber seeds into sweet, smooth and fresh fruits. Cucumber seed growing has always been a favourite in vegetable gardens and greenhouse growing. Cucumber La Diva is a fantastic, easy-to-grow plant that will bring sweet cucumbers best picked small.",https://cdn.sanity.io/images/7j42f56u/production/83c76f4a0fa5bfec89779fc29e6c7d68fd2dda13-2500x3000.jpg?w=640&q=70
Red Shiso Seeds,"Ornamental herb seeds with an indescribable flavour Likened to basil, people find it hard to define the flavour. Popular in Japan and all over Asia it is a perfect addition to your curated herb garden.
 Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/13a55eaa938f6af73e3cdde9c2db7cf0095c43d4-2500x3000.jpg?w=640&q=70
Nasturtium 'Tom Thumb Alaska' Seeds,"Small peppery edible flowers and foliage. Known for their peppery kick and being entirely edible, Nasturtiums are a garden go-to for salad garnishes or simply enjoyed trailing down a window box. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/d8d160039312f8023d1758e868834ba3f749434e-2500x3000.jpg?w=640&q=70
Lupin 'Noble Maiden' Seeds,Soft spires of white floral blooms. A stunning white flower to add to your garden beds that rise above ornamental green foliage. Why it's special:,https://cdn.sanity.io/images/7j42f56u/production/38f842d37694ef1c5b298670b958779bad7cfea3-2500x3000.jpg?w=640&q=70
Lettuce 'Lollo Bionda' Seeds,"Deliciously crisp, frilly lettuce leaves. Indulge in the fringed joy of Lettuce 'Lollo Bionda'. These seeds grow into frilly lettuce leaves, a standout variety of Lactuca Sativa var. Crispa. Perfect for any salad enthusiast, these bionda vegetable seeds promise a garden full of lush, curly leaves that are as delicious as they are decorative. Ideal for growing your own lettuce, these salad seeds cater to all types of lettuce lovers. Easy to plant and nurture, they are a must-have for your grow salad adventure. Enjoy the fresh, flavourful addition to your salad bowl with our Lettuce 'Lollo Bionda' seeds",https://cdn.sanity.io/images/7j42f56u/production/ee34ece10fcd91a3025bdde0eed4007e753ed8ce-2500x3000.jpg?w=640&q=70
Wild Meadow Seed Set,"wildflower meadow-like planting. Grow a colourful wildflower meadow with height, character and structure. Grow colourful blooms from wild meadow seeds. Provide a pollen-rich environment to bring a variety of wildlife.",https://cdn.sanity.io/images/7j42f56u/production/c9841e13597de3d14b252fb2a55caba61807b05b-2500x3000.jpg?w=640&q=70
Herbal Teas Seed Set,"Seeds to grow your own herbal brews. Relish in the aroma of freshly picked herbal teas. Grow from a selection of seeds curated for soothing qualities to benefit the immune system, digestion and mind.",https://cdn.sanity.io/images/7j42f56u/production/2364e9fc4efee193cc5a7d5dd89cc0dc63c8d509-4000x4800.png?w=640&q=70
Pollinator Seed Set,Seeds to grow and bring bees to your garden. What is a garden without bees dancing across your blooms? These seeds help you easily grow nectar flowers for pollinators to thrive. Why it's special:,https://cdn.sanity.io/images/7j42f56u/production/c9841e13597de3d14b252fb2a55caba61807b05b-2500x3000.jpg?w=640&q=70
Hero Herbs Seed Set,"Grow from seeds your own garden herb bliss. Enjoy a set of flavourful herbs to grow from seed in your own kitchen garden. Perfect seeds to grow on your windowsill, pots or in a garden bed. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/0511d995f31050c3a1ebd9a37b6f13818a352642-2500x3000.jpg?w=640&q=70
Edible Flower Seed Set,"grow, bloom and eat from your own edible flower garden. A variety of flower seeds grow into beautiful edible flowers that can be used to decorate cakes, garnish a drink (or two) or brighten a garden salad.",https://cdn.sanity.io/images/7j42f56u/production/c36c8c91004cf74324469ff5e83b6a21e2cafe06-2500x3000.jpg?w=640&q=70
Scent Seed Set,"Grow from seeds in your own scented garden. Enjoy a set of fragrant blooms and aromatic herbs. Perfect seeds to grow on your windowsill, pots or in a garden bed. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/b5d6de337c30dde7fd1e8712a7e8e81cf8a475c8-2500x3000.jpg?w=640&q=70
Foodies Seed Set,"grow from seeds your own flavoursome food. Enjoy a set of flavourful delights to grow from seed in your own kitchen garden. Perfect seeds to grow on your windowsill, pots or in a garden bed.",https://cdn.sanity.io/images/7j42f56u/production/8ece06c0873f52e49258272ac0c4bc6d15af5b6a-2500x3000.jpg?w=640&q=70
Cosmos Seed Set,"complete love for cosmos flowers. Enjoy a set of blooming Cosmos flowers to bring your garden space to life. Perfect seeds to grow in your pots, a front door or in a garden bed.",https://cdn.sanity.io/images/7j42f56u/production/bbe91903048b77c14ee5b9f849eb83c2b913ac10-2500x3000.png?w=640&q=70
Veg Patch Seed Set,Grow your own vegetables from seeds. Grow from garden to table with our vegetable seed set - the best in classic varieties that will bring bountiful harvests and the joy of growing your own food. Why it's special:,https://cdn.sanity.io/images/7j42f56u/production/445b857e046be7be486be51243b1bca1b1938d60-2500x3000.jpg?w=640&q=70
Cocktail Herbs Seed Set,"Grow from seeds of your own cocktail herbs. Enjoy a set of flavourful herbs to grow from seed in your own kitchen garden. Perfect seeds to grow on your windowsill, pots or in a garden bed.",https://cdn.sanity.io/images/7j42f56u/production/955279413fce05449cb9e31f771e5838899a57fa-2500x3000.jpg?w=640&q=70
Shady Spot Seed Set,"Plants to grow in a shady garden. Seeds to grow in a garden dappled with shade, grow a selection of seeds that grow with limited light and will bring the patch to life with brightness as they grow. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/9f213e715361ebf782956720f854ff8331872913-2500x3000.jpg?w=640&q=70
Pot Luck Seed Set,Made for container gardening fans. Growing plants in pots is a time-honoured tradition with a patio or balcony garden. Enjoy a curated selection of seeds that work well in containers to green up your space. Why it's special:,https://cdn.sanity.io/images/7j42f56u/production/06e8d83f8147ec2a3aee4510871cd559e0da59af-2500x3000.jpg?w=640&q=70
Micro Green Seed Set,"Grow your own micro-green goodness. Grow seeds into micro green goodness, eaten fresh, micro greens are brimming with nutritional benefits and add good flavours to your cooking. why it's special:",https://cdn.sanity.io/images/7j42f56u/production/8eee3d54859cca5385539ec24223dbbf900e4929-2500x3000.jpg?w=640&q=70
Flower Posy Seed Set,"grow your own flowers from seed to vase. Grow flowers from seeds to fill your home with fragrant cut flowers with these seeds, the best, cut and come again stunning blooms.",https://cdn.sanity.io/images/7j42f56u/production/d0c36a2d08792987632c333b607f4f3e268a02da-2500x3000.jpg?w=640&q=70
White Blooms Seed Set,"complete wonder for white blooms. Enjoy a set of blooming white flowers to bring your garden space to life. Perfect seeds to grow in your pots, a front door or in a garden bed.",https://cdn.sanity.io/images/7j42f56u/production/8918d3f9245ea2e2ebd33af4f78f785cfd4387b1-2500x3000.jpg?w=640&q=70
Rudbeckia 'Sahara' Seeds,"Blaze of autumn golden blooms Bring on warm hues of golden petals in late summer and early autumn. Rudbeckia sahara contrasts black-eyed cones with yellow daisy blooms.
",https://cdn.sanity.io/images/7j42f56u/production/7eb649c5020144d0ff91f30d3311c2d0ecf761f6-2500x3000.jpg?w=640&q=70
Borage Seeds,"Borage seeds to edible flowers. Used in ancient times to bring on courage and bravery, now growing borage is for cucumber-tasting teas and flower decorations in a salad. Grow your own Borage (or bravery) from seeds.",https://cdn.sanity.io/images/7j42f56u/production/d2e585db48291a57da543e9de805e858413e346b-2500x3000.jpg?w=640&q=70
Gaura Seeds,pretty perennials which come alive with pollinators. A unique texture of four-petaled white to pink flowers growing up tall stems on delicate foliage.,https://cdn.sanity.io/images/7j42f56u/production/8918d3f9245ea2e2ebd33af4f78f785cfd4387b1-2500x3000.jpg?w=640&q=70
Foxglove 'Apricot' Seeds,"rosettes of soft apricot blooms on tall spires. A tall, flowering perennial that is native to Europe. It grows clusters of beautiful, soft pink, apricot bell-shaped flowers on tall spires that bloom in early summer. Its coarse green foliage grows in rosettes, and the plant thrives in light shade conditions, making it a lovely ornamental option to plant amongst trees or a neighbouring hedge for a bit of fresh colour and intrigue.",https://cdn.sanity.io/images/7j42f56u/production/372e052b68f5ec44ce04c01aca4d9ca46b81a373-2500x3000.png?w=640&q=70
Sunflower 'Claret' Seeds,"Deep, rich and bold sunflowers for your garden. Sunflower Claret is perfect for adding a bold and modern touch to borders or containers. Its blooms have an enticing metallic sheen that makes an eye-catching addition to any garden. When used in cut flower arrangements, these sunflowers also add a striking point of difference paired with cherry reds, pinks and lilacs. why it's special:",https://cdn.sanity.io/images/7j42f56u/production/186506442e6ce8851fc78f7401be135dbe280459-2500x3000.jpg?w=640&q=70
Foxglove 'Dalmation' Seeds,"white bell flowers adorned with purple speckles. Foxglove ‘Dalmation White’ marries together dark green foliage forming a basal rosette with striking, upright spires of white flowers adorned with purple-speckled throats, borne in early summer. This foxglove variety flowers especially well, even in its first year which is unusual for a biennial, filling your shaded areas with delightful blooms from branching stems from all directions to the sky.",https://cdn.sanity.io/images/7j42f56u/production/28233cf6d8cd8c36261db334b9cdbe6144cbc165-2500x3000.jpg?w=640&q=70
Cosmos 'Apricotta' Seeds,"cosmos apricotta, the new bloom on the block. The stunning Cosmos Apricotta boasts apricot and peach petals, edged in beautiful raspberry pink. Its large, cupped blooms are perfect for cutting and bringing inside to enjoy. Plus, they’ll keep blooming all summer long until the first fall frost. With its tall stature, Cosmos Apricotta is perfect for planting at the back of your bed to add some drama to your garden.",https://cdn.sanity.io/images/7j42f56u/production/6113d72377f972b4ab282bdf55c107fdd8ae0621-2048x1463.jpg?w=640&q=70
Dill 'Diana' Seeds,"refreshing, feather-like leaf garden herb. Dill ‘Diana’ is a compact, leafy variety with tiny yellow flowers and dark green leaves. This variety is resistant to bolting and adds flavour to dishes through its edible leaves, flowers, and seeds. The seeds are particularly valued for their subtle flavour and are often used in pickling, vinaigrettes, and marinades.",https://cdn.sanity.io/images/7j42f56u/production/d068650fa0fbea6a7db3ba9aad0b10b8ce74195f-381x533.jpg?w=640&q=70
Strawberry 'Alexandria' Seeds,"Wild strawberries, bring continuous summer fruits. Adding a strawberry to a pot arrangement is always a stroke of genius in our books, they look great and are welcomed as passing gardeners' snacks. why it's special:",https://cdn.sanity.io/images/7j42f56u/production/b35682bf2b2bc516521f7d71927dcfed9ed3fa8e-2500x3000.jpg?w=640&q=70
Chilli 'Jalapeño' Seeds,"a firm spicy favourite that packs a punch. A household staple in the chilli department, fantastic to grow and whilst the green peppers taste almost like a veggie, the red has a sweeter flavour and is often smoked or pickled.",https://cdn.sanity.io/images/7j42f56u/production/8ece06c0873f52e49258272ac0c4bc6d15af5b6a-2500x3000.jpg?w=640&q=70
Hollyhock 'Nigra' Seeds,"Tall, strong, dark-tousled blooms. Glossy, deep chocolate maroon flowers. Hollyhock 'Nigra' is a modern twist to a cottage garden style. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/12a5fb1691b8803c89aa66f0f8f6980b41e54c6b-2500x3000.jpg?w=640&q=70
Viola 'Freckles' Seeds,"Charming white flowers dotted with china blue freckles. Add a touch of whimsy and rarity to your garden with Viola ‘Freckles’, with charming white flowers dotted with china blue freckles. These unusual violas are perfect for adding interest to containers, borders, or rock gardens; and are easy to grow and maintain. Plus, they’ll provide a flurry of (edible) flowers from spring until autumn that you can admire or use to decorate cakes or salads. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/c9439538e7c1d38782f2e499d77ba575e96cbe9e-2500x3000.png?w=640&q=70
Lemon Balm Seeds,"Refreshing, healthy herbs. This easy-to-grow herb produces fragrant and nourishing plants that provide multiple uses. The leaves can be dried and used in teas, and the essential oils extracted from the plant can be used in natural remedies and skin care products. Plus, the refreshing lemon scent of the plant is sure to uplift your mood and enhance your home. Why it's special:",https://cdn.sanity.io/images/7j42f56u/production/e11f5129e7f36500a1ce466e21b5de711301811d-2500x3000.png?w=640&q=70
Ammi Majus Seeds,"Lacy-white dainty flowers blooming in for a frothy display. A lovely filler flower, adding a delicate level of ethereal nature to a garden bed and your cut flower arrangements.",https://cdn.sanity.io/images/7j42f56u/production/4d35e83f470b66702a30bbd6e8be03c0031d321a-2500x3000.jpg?w=640&q=70
Strawflower 'Giants Mixed' Seeds,"Strawflowers this annual is a colourful addition to any bright border. Strawflower Double mixed brings a multitude of large cheerful blooms with petals that seem to sweep around and encircle the flower centre. These large, straw-like ‘everlasting flowers’ are held on long stems and grow in lovely shades of pink, red, and white. They are drought-tolerant and make for beautiful cut flowers to display in your home, adding a touch of colour to any room. why it's special:",https://cdn.sanity.io/images/7j42f56u/production/75ac11823e2eaa318d13ddbfc9dcf9b3998b7f67-2500x3000.jpg?w=640&q=70
Basil 'Sweet Genovese' Seeds,"Sweet basil seeds to grow and make fresh pesto. The essential, aromatic, Basil. Sweet to taste with a delicate texture. Native to the Mediterranean, it has many culinary uses from pesto to savoury puddings; Basil runs the gamut in the kitchen.",https://cdn.sanity.io/images/7j42f56u/production/955279413fce05449cb9e31f771e5838899a57fa-2500x3000.jpg?w=640&q=70
Agastache 'Astello Indigo' Seeds,"mint-scented spikes of purple flowers. Enjoy the allure of Agastache Astello 'Indigo', known for its mint-scented spikes of vibrant purple flowers. Our Agastache seeds give a lush, well-branched growth, perfect for attracting pollinators to your garden. This gold award-winning variety is not just a visual delight but also a quick bloomer, with flowers appearing in just 15 weeks. Easy to grow and maintain, these seeds are ideal for gardeners looking to add a splash of colour and fragrance to their outdoor space.",https://cdn.sanity.io/images/7j42f56u/production/b3f566210d1120696f1b84538cda33ac2c452e03-2500x3000.jpg?w=640&q=70
