Title,Description,URL
Crocus 'Mardi Gras Mix',"Commonly known as Wild Hyacinth, this cultivar produces tall, showy spires with 2"", creamy white, star-shaped blossoms and mauve anthers. The large racemes are long-lasting, blooming from the bottom upward. Camassia is a sought-after genus since it naturalizes well and blooms mid-season, when many other bulbs are spent or have not yet begun. As a native to the U.S. Pacific Northwest, it prefers moist, fertile soil. Deer- and rodent-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/CrocusMardiGrasMix.png?v=1718199189
Crocus Chrysanthus 'Goldilocks',"Commonly known as the Wild Hyacinth, Camassia is a sought after genus since it naturalizes well in a good spot, and blooms mid season, when many other bulbs are spent or have not yet begun. Large racemes, made up of dozens of lovely 2"", lavender-blue, star shaped flowers, that open from bottom to top.
Camassia is native to the U.S. Pacific Northwest, and thus is best grown in moist, fertile soil. Deer- and rodent-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/CrocusSpeciesGoldilocksMain_1.jpg?v=1686249805
Crocus Olivieri 'Orange Monarch',"A favorite of our spring trials! Cornflower blue and white flowers pop on contrasting dark stems. Each stem has up to 12 blue-tipped, substantial, star-shaped florets. While small in stature, reaching about 6"" in height, these bulbs put on a cheery display in early spring, especially when planted drifts.",https://hudsonvalleyseed.com/cdn/shop/products/Crocus-olivieri--Orange-Monarch--vendor-unknown-1630680357.jpg?v=1630680359
Dutch Large Flowering Crocus 'Jeanne D'Arc',Full to part sun. Naturalizes readily.,https://hudsonvalleyseed.com/cdn/shop/products/Dutch-Large-Flowering-Crocus--Jeanne-d-Arc--vendor-unknown-1630683075.jpg?v=1630683077
"Fritillaria Imperialis ""Rubra""","Just as Carnival season brings color and celebration to cities around the world, invite some bright festivities into to your late-winter yard, where these colorful gems will emerge happily just as your soul needs to be jarred awake from its winter slumber.",https://hudsonvalleyseed.com/cdn/shop/files/FritillariaImperialisRubraMaxima.png?v=1718206193
Fritillaria Meleagris Alba,"A sweetly-scented, showy, deep yellow Snow Crocus with exterior brown feathering and a golden stamen. Graceful, elegant, and cheerful as a border or in an early spring lawn tapestry. Grows to be 4"" tall. Deer-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/FritmeleagrisalbaMain_1.jpg?v=1698440100
Fritillaria Meleagris Mixture,"Strikingly beautiful snow crocus in a rare shade of golden-orange with dramatic garnet striations on the outside of the petals; similar to the colors of a Monarch butterfly. Gorgeous in a border or in an early spring lawn tapestry. Grows to be 4"" tall. Deer-resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Fritillaria-meleagris-vendor-unknown-1630680191.jpg?v=1630680192
Fritillaria Uva-Vulpis,"These heavenly, dove-white blooms emerge in early spring, a balm for the winter-weary. Bright orange anthers add a touch of cheer, and some petals will have a delicate purple striation. Adorable planted en masse, as an early spring ""river"" or woodland border. Flowers will open and close on sunny days, and naturalize readily. Dutch Large Flowering Crocus produce much larger blooms than traditional species crocus and will bloom about two weeks later.",https://hudsonvalleyseed.com/cdn/shop/products/Fritillaria-uva-vulpis-vendor-unknown-1630683102.jpg?v=1630683103
Geranium Tuberosum,Plant in full to part sun. Deer-resistant.,https://hudsonvalleyseed.com/cdn/shop/products/Geraniumtuberosum.jpg?v=1625251659
Giant Snowdrops,"This fritillaria provides loads of interest among more common spring plants. Its uniquely bright blooms and shiny leaves convey an almost tropical quality—a bit like a bold Asiatic lily turned upside down. A showpiece of the spring garden, Rubra grows to around 36"" in height. Cluster for greatest impact. Deer resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Giant-Snowdrops-vendor-unknown-1630681502.jpg?v=1630681504
Hyacinthoides Hispanica 'White City',"Also known as Checkered Lily, this heirloom meadow flower has a history of cultivation in Europe dating back to 1575! Alba is an ivory selection with nodding blooms and thin, grassy foliage intermittently spaced on slender stems. Prefers light shade or dappled sunlight. Reaches heights of 8"" to 12"". Pest-resistant and a great naturalizer.",https://hudsonvalleyseed.com/cdn/shop/products/Hyacinthoides-hispanica--White-City--vendor-unknown-1630681511.jpg?v=1630681513
Ipheion Uniflorum 'Alberto Castillo',"Also known as Checkered Lily. An heirloom species that dates back to 1575. These bell-shaped, ""checkered"" flowers are either deep purple/maroon or ivory/white with thin, grassy foliage intermittently spaced on slender stems. Prefers light shade or dappled sunlight. Reaches heights of 8"" to 12"". Pest-resistant, and a great Naturalizer.",https://hudsonvalleyseed.com/cdn/shop/products/Ipheion-uniflorum--Alberto-Castillo--vendor-unknown-1630681508.jpg?v=1630681510
Lily Martagon 'Fairy Morning',"Exquisitely graceful and adorable, natural-looking, early spring bells. This 1874 heirloom produces glaucous foliage and pendulous bell-shaped blooms on arching stems. If other spring colors can seem garish, opt for these understated hues of maroon and gold. Wonderful planted in woodland borders amongst spring ephemerals. Reaches 14"" tall and readily naturalizes. Resistant to deer and rodent damage.",https://hudsonvalleyseed.com/cdn/shop/products/LFairyMorningA_1.jpg?v=1657144984
Muscari 'Fantasy Creation',"Prefers light shade or dappled sunlight. Plant as soon as possible after receipt, as Fritillaria do not like to be out of the soil for long.",https://hudsonvalleyseed.com/cdn/shop/files/FantasyCreation-visi138082_1.jpg?v=1686163484
Muscari Latifolium,"Another excellent choice for sun-dappled woodland gardens, and a complement to spring ephemerals. Wispy, rose-violet flowers with deep purple veining atop slender stems. A beautiful seasonal ground cover with lots of ferny foliage. Naturalizes well, fending off weeds in patches of bare soil. Wild and natural-looking, reaching heights of 8"".",https://hudsonvalleyseed.com/cdn/shop/products/Muscari-latifolium-vendor-unknown-1630680199.jpg?v=1630680200
Muscari Neglectum 'Valerie Finnis',Blooms April/May.,https://hudsonvalleyseed.com/cdn/shop/files/MuscariValerieFinnis.png?v=1718205153
Narcissus 'Pheasant's Eye',"A Greek native, this variety is supposed to be the best for naturalizing in American gardens. It bears very large, broad, ivory flowers with pale green center spots, and has beautiful gray-green foliage. Incredibly cold-hardy, these flowers will be some of the first to emerge. Naturalizes happily and is deer and rodent resistant. Reaches heights of 5"" to 8"".",https://hudsonvalleyseed.com/cdn/shop/products/NPheasant_sEye1_1.jpg?v=1686756280
Narcissus 'Sweet Ocean',"Charming white bells bloom atop tall, sturdy stems lending a magical feel to woodlands and shady borders. Also known as Wood Hyacinth or Spanish Bluebells, Hyacinthoides are happy in most conditions but prefer a little light shade or dappled sunlight. Plants will mature over the years, and when very happy where they are planted, they can naturalize by bulb offsets or by self-sowing seed. Can reach heights of 15"".",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusSweetOcean.png?v=1718294062
Narcissus 'Thalia',"Also known as the Spring Starflower. A darling, snow-white, fragrant variety that produces multiple stems of star-shaped flowers in very early spring. Ipheion is considered to be one of the easiest bulbs to grow and will naturalize quite readily. Grows to be about 6"" tall. Makes an excellent early spring lawn tapestry, woodland border, or rock garden planting. Lovely interplanted with Muscari.",https://hudsonvalleyseed.com/cdn/shop/files/Thaliavisi59470_1.jpg?v=1686073060
Saffron Autumn Crocus,"An enchanting lily producing masses of downward-facing, silvery peachy-pink-golden blooms–up to 30 per plant! Gorgeous in a traditional cottage garden or perennial border, 'Fairy Morning' flowers in midsummer and appears to glow against the green backdrop of the garden. The petals exhibit deep red speckling at maturity. Plants reach 3-4’ tall with 2-3” blossoms. Martagon lilies need time to establish, but by year two will put on a spectacular display. This species naturalizes through bulb offsets; periodic thinning and transplant of dense stands in the fall may be necessary.",//shop.hudsonvalleyseed.com/cdn/shop/products/Sativus_Saffron_-visi94905_1_540x540.jpg?v=1657144882
Scilla Peruviana 'Portuguese Squill Blue',"
Martagon lilies are known to be especially disease resistant.",https://hudsonvalleyseed.com/cdn/shop/files/Scilla_Peruviana_-visi88332.jpg?v=1725396636
"Snowdrops, Double 'Flore Pleno'","A fabulously unusual cultivar with highly-textured double florets! The torch-shaped, long-lasting racemes change color as they mature, transitioning from deep blue to rich purple, then fading to yellow-green. An excellent choice for rock gardens and borders, the sweet-smelling flowers reach 8” tall and resist nibbling from deer and rodents.",https://hudsonvalleyseed.com/cdn/shop/products/Snowdrops_-Double---Flore-Pleno--vendor-unknown-1630680746.jpg?v=1630680747
Species Tulip 'Peppermint Stick',"This prized, bi-color variety yields racemes of dark royal blue-purple with periwinkle blue on top. A gorgeous and unusual Muscari, and quite striking en masse. Deer and  rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Species-Tulip--Peppermint-Stick--vendor-unknown-1630680771.jpg?v=1630680773
Summer Snowflake 'Gravetye Giant',"An unusual and gorgeous, pale, icy lavender Muscari that is also sweetly fragrant. From the island of Cyprus. Racemes start off a pale lime-green, and gradually mature to stunning ice-blue. Grows to be 8"" tall. Deer and rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Summer-Snowflake--Gravetye-Giant--vendor-unknown-1630682330.jpg?v=1682448399
Tulip 'All Season Pink Mix',"A wonderfully fragrant heirloom dating back to the 1700s. These star-shaped blooms with slightly recurved, pure-white petals frame a bright yellow-green inner cup finely-ringed in red. The high-contrast inner flower with dark interior looks much like a pheasant’s eye, hence the name.
Grows to 16” tall and blooms in mid-spring. Plant in full to part sun. Resistant to deer and pests.
Narcissus Class: Poeticus
",https://hudsonvalleyseed.com/cdn/shop/files/TulipLongSeasonPinkMix.png?v=1718207244
Tulip 'Antoinette',"Just as the color of an ocean is difficult to describe, so are the tones present in these softly ruffled, mottle and ombre blooms. They look golden yellow as they first open but then reveal choppy waters within: orange and peach double cups are inside, each enveloped in a spray of white. Grows to 14-16"" in height.",https://hudsonvalleyseed.com/cdn/shop/products/Tulip--Antoinette--vendor-unknown-1630683056.jpg?v=1630683057
Tulip 'Grand Perfection',Narcissus is pest and deer resistant.,//shop.hudsonvalleyseed.com/cdn/shop/products/GrandPerfection-visi45630_1_540x540.jpg?v=1657145219
Tulip 'Green Wave',"AKA the Orchid Narcissus. This exceedingly elegant, award-winning cultivar dates back to 1916, when it was bred by M. van Waveren and Sons of Hillegom. Each stem bears 3-4 nodding blossoms with fragrant, pure white, slightly reflexed petals. An excellent naturalizer that multiplies quickly. Reaches a height of 14”. ",//shop.hudsonvalleyseed.com/cdn/shop/products/Tulip--Green-Wave--vendor-unknown-1630682327_540x540.jpg?v=1630682328
Tulip 'Palmyra',Narcissus are pest-resistant. Narcissus Class: Triandrus,https://hudsonvalleyseed.com/cdn/shop/files/TulipPalmyra.png?v=1718205393
Tulip 'Pretty Princess',"Grow your own delicious spice! This autumn blooming, lightly-veined, soft purple crocus deepens in color toward a base with bright yellow stamens and striking red stigmas (3 per flower). Gently harvest and dry the edible stigmas for your own saffron spice. Dormant over the summer, this crocus will send up grassy foliage and striking purple blossoms in early fall. This variety grows to 4” tall and will usually bloom within 5-10 weeks of planting (although occasional corms may not bloom until the second year). Naturalizes readily. Prefers full to partial sun.",https://hudsonvalleyseed.com/cdn/shop/files/PrettyPrincessvisi114005_2.jpg?v=1686165883
Tulip 'Sky High Scarlet',"Squills are captivating plants, nearly as beloved for their shiny, spreading foliage as their blooms, which form in allium-like half-spheres. Provides an airy, textured counterpoint to bold smooth flowers like tulips and narcissus. Naturalized readily.",https://hudsonvalleyseed.com/cdn/shop/files/TulipSkyHighScarlett.png?v=1718211769
Tulip 'Spring Festival Mix',"An heirloom snowdrop variety dating back to 1731, ""Flore Pleno"" is an unusual cultivar with gorgeous double, white, bell-shaped flowers and pale green stripes on the inner petals. Lightly fragrant and incredibly cold-hardy, these flowers will be some of the first to emerge. Pairs beautifully with Winter Aconite. Naturalizes happily and is deer and rodent resistant. Reaches heights of 8"" to 10"".",https://hudsonvalleyseed.com/cdn/shop/files/TulipSpringMix.png?v=1718205777
Allium 'Ambassador',"Shining white tulip with raspberry-red exterior petals and a surprising, dark purple interior heart. An excellent Naturalizer. Reaches heights of 8"" to 10"". Tulip Class: Species
",https://hudsonvalleyseed.com/cdn/shop/products/AmbassadorAllium1.jpg?v=1634651352
Allium 'Globemaster',"This lovely heirloom has adorable, white, bell-shaped flowers that can't fail to cheer the onlooker. Deer resistant and partial to shady spots, these look fantastic planted under deciduous trees or with tulips of all colors! Don't be deceived by the 'summer' in its name, these will bloom in late April / May. Grows to 20"".",//shop.hudsonvalleyseed.com/cdn/shop/products/Allium--Globemaster--vendor-unknown-1630682991_540x540.jpg?v=1630682993
Allium 'Moly Jeannine',"Let spring unfold in a rosy fashion with this vigorous blend of pink-toned tulips, which grow at slightly varying heights in the 12-20"" range and provide fresh pink joy over the course of the entire tulip season.",https://hudsonvalleyseed.com/cdn/shop/products/Allium--Moly-Jeannine--vendor-unknown-1630681463.jpg?v=1630681464
Allium 'Ping Pong',"Our first multi-flowering tulip! Antoinette produces a ""bouquet"" of four or more blooms on each stem. The flowers emerge in shades of lemon sorbet and cream and mature to a deep salmon color with a golden starburst base. Foliage can be slightly variegated as well! Reaches heights of 16"".",//shop.hudsonvalleyseed.com/cdn/shop/files/AlliumPingPong_0004_1_540x540.jpg?v=1685972915
Allium 'Sicilian Honey Lily',Plant in full sun. Class: Multi-Flowering (Bouquet),https://hudsonvalleyseed.com/cdn/shop/products/Allium--Sicilian-Honey-Lily--vendor-unknown-1630680152.jpg?v=1630680153
Allium Christophii 'Star Of Persia',"A Single Late variety forming ivory-white blooms with arresting dark burgundy flames. Sweetly fragrant, and absolutely fabulous! The flowers open in mid-spring on 24” stems. Excellent as a bedding plant or used for cut flowers. Bred to replace the old-style “Rembrandt” tulips whose flame-like, broken colors were due to a mosaic virus. These modern varieties produce a similar dramatic coloration but without the virus! Prefers full to partial sun.",https://hudsonvalleyseed.com/cdn/shop/products/Allium--Star-of-Persia--vendor-unknown-1630680207.jpg?v=1630680209
Allium Nigrum,"One of the most prized cut tulips - grow it yourself to see why! Feathered petal tips are pale pink and contrast with green flames and soft white bases. One of the latest blooming tulips. Grows to about 20"" tall.
Tulip Class: Parrot",//shop.hudsonvalleyseed.com/cdn/shop/products/Allium-nigrum-vendor-unknown-1630681466_540x540.jpg?v=1630681467
Anemone Blanda 'Mixture',"A later blooming, double peony tulip with an artichoke-like flower structure and exquisite plum-black petals. Palmyra is robust, with wide flowers and tall, 18"" stems. Absolutely stunning!",https://hudsonvalleyseed.com/cdn/shop/files/AnemoneBlandaMixture.png?v=1718211525
Anemone Blanda 'White Splendor',Plant in full sun. Blooms mid-spring. Class: Peony Flowering,//shop.hudsonvalleyseed.com/cdn/shop/products/Anemone-blanda--White-Splendor--vendor-unknown-1630683187_540x540.jpg?v=1682453438
Asiatic Lily 'Pearl Loraine',"Like a princess from a fairytale, this tulip enchants us with its subtle charms and graceful beauty. Reminiscent of a gown made from luxurious silks and taffeta, the bubblegum pink petals are streaked with coral-red flames, and the blue-green foliage is delicately edged in cream. Reaches 14"" tall. Plant in full to partial sun. A sport of ‘Princess Irene.’",https://hudsonvalleyseed.com/cdn/shop/products/LPearlLoraineA_1.jpg?v=1657145083
Asiatic Lily 'Sweet Surrender',Class: Triumph,//shop.hudsonvalleyseed.com/cdn/shop/products/LSweetSurrender1_1_540x540.jpg?v=1657577162
Bearded Iris 'Batik',"This enormous magic wand of a tulip stands taller than the rest, reaching heights of almost 36"". Perched atop that stretched stem is a perfectly lovely and brilliantly bold red bloom, with a touch of mustard yellow at its base. Need a show-stopping tulip for a high-visibility spot? Just look to the Sky High!
",//shop.hudsonvalleyseed.com/cdn/shop/products/batik_LS1325_540x540.jpg?v=1657142509
Bearded Iris 'Care To Dance',Class: Single Late.,https://hudsonvalleyseed.com/cdn/shop/files/Care_To_Dance_2013_1_1.jpg?v=1686082310
Bearded Iris 'Clarence',"This fetching blend of tulips provides gorgeous notes of beauty in gold (both regular and rose-dusted), purple, and cream—a combination that unites disparate energies into a single celebration, like any good festival does. Heights of 12-20"". ",https://hudsonvalleyseed.com/cdn/shop/products/clarence_cropped__jpg.jpg?v=1657143939
Bearded Iris 'Copper Classic',"Watch bees forage all day in these spherical, violet-purple, 7"" umbels of tightly packed flowers. The tallest, most dense flowerhead of all of the alliums we offer with long-standing blooms lasting up to five weeks. The 4™ tall plants dry beautifully, adding a sculptural effect to the garden!",//shop.hudsonvalleyseed.com/cdn/shop/products/CopperClassic_2_540x540.jpg?v=1657143752
Bearded Iris 'Grand Canyon Sunset',"Plant in full sun. Alliums are beloved by pollinators and resistant to deer, rabbit, and rodent damage.",//shop.hudsonvalleyseed.com/cdn/shop/files/GrandCanyonSunset_LS3033_1_60722a78-98a1-4e6b-86a5-3a432bf82382_540x540.jpg?v=1686083296
Bearded Iris 'Let Evening Come',"The stuff of fairy tales, these fabulously huge 10 inch purple globes are held aloft by sturdy stems reaching 3 feet tall. The spherical umbels are more loosely clustered than ""Ambassador"", but denser than ""Purple Sensation"". A true statement plant. Allow the spent blooms to dry on the stem for added elegance in the garden.",//shop.hudsonvalleyseed.com/cdn/shop/files/Let_Evening_ComeFINAL_1_540x540.jpg?v=1686163296
Bearded Iris 'Struck Twice',"Plant in full sun. Alliums are beloved by pollinators and resistant to deer, rabbit, and rodent damage.",//shop.hudsonvalleyseed.com/cdn/shop/files/Struck_Twiceport_1_540x540.jpg?v=1686082261
Bearded Iris 'Sun Devil',"Long-standing, bright yellow, 2-3"" clusters of starry florets sway on wiry stems above blue-green foliage. Often sends up two flower spikes per plant, and forms clumps over time with vigor. Also known as Golden Garlic. Great when planted in clusters and in borders. Grows to 14"" high. Alliums are deer, rabbit, and rodent resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/SunDevil_1_540x540.jpg?v=1657144653
Corydalis Solida 'Beth Evans',"Reaching a maximum height of 16”, this delightful miniature allium attracts bees and adds structure to low borders. The densely-packed, globe-shaped umbels appear in midsummer, producing long-lasting silvery white and pale purple florets. Prefers good drainage and full sun. ",https://hudsonvalleyseed.com/cdn/shop/products/Corydalis-solida--Beth-Evans--vendor-unknown-1630682314.jpg?v=1630682315
Corydalis Solida 'Purple Bird',"Alliums are deer, rabbit and rodent resistant.",//shop.hudsonvalleyseed.com/cdn/shop/files/CorydalissolidaPurpleBird1_1_540x540.jpg?v=1686233791
Crocus 'Tricolor',"This allium produces elegant and unusual 4"" wide umbels comprised of bell-shaped florets. The sage-green and cream-colored bells emerge from a papery sheath to expand over time, gradually lifting their faces skyward to reveal pink and plum inner striations. Grows 32"" to 36"" high. Alliums are deer, rabbit, and rodent resistant. ",//shop.hudsonvalleyseed.com/cdn/shop/products/Tricolorvisi59567_1_540x540.jpg?v=1657144797
Crocus Minimus 'Spring Beauty',"Large, 8"" to 10"" wide globes, made up of about 50 individual star-shaped, amethyst-colored florets, with a slight metallic sheen. Simultaneously lacy and showy—one of our favorite blooms of spring. Much loved by bees. Grows 18"" to 36"" high. Alliums are deer, rabbit, and rodent resistant.",https://hudsonvalleyseed.com/cdn/shop/products/Crocus-minimus--Spring-Beauty--vendor-unknown-1630680347.jpg?v=1630680349
Crocus Tommasinianus 'Ruby Giant',"A beautiful old 1762 heirloom with large, 4-5"" wide, dense, round, composite flowers of white with green ovaries. Naturalizes well and reliably re-blooms. Makes a wonderful cut flower, with none of the oniony smell that other alliums may have. Grows to 24-30"" high, and is beloved by pollinators. Alliums are deer, rabbit, and rodent resistant.
",//shop.hudsonvalleyseed.com/cdn/shop/products/Crocus-tommasinianus--Ruby-Giant--vendor-unknown-1630681496_540x540.jpg?v=1630681498
Cybister Amaryllis 'Evergreen',"Going for informal, friendly, familiar, joyful? Anemone blanda is an easy-to-grow bulb that fills space quickly, returning every spring to share a cheerful blend of pinks, periwinkles, and whites.",https://hudsonvalleyseed.com/cdn/shop/files/IMG_9710.jpg?v=1682438294
Dutch Amaryllis 'Apple Blossom',Naturalizes readily. Resistant to deer and rodent damage.,https://hudsonvalleyseed.com/cdn/shop/files/IMG_9639.jpg?v=1697647477
Dutch Amaryllis 'Dancing Queen',"Beautiful, fern-like foliage frames single daisy-like flowers that emerge in spring. Also known as 'Grecian Windflower,' the snow-white petals and sunny yellow-green centers on thin, elegant dark stems bring cheer to lawns, woodland borders, and rock gardens. Reminiscent of our North American native, Bloodroot, and would be beautifully mixed into natural-looking plantings of early spring ephemerals. Will tolerate partial shade and works well as a ground cover.",https://hudsonvalleyseed.com/cdn/shop/files/IMG_9807.jpg?v=1697646906
Dutch Amaryllis 'Exotic Star',Naturalizes readily. Resistant to deer and rodent damage.,https://hudsonvalleyseed.com/cdn/shop/files/ExoticStar-visi55601.jpg?v=1697647359
Dutch Amaryllis 'Luna',"These rosy, outward-facing blooms bring cheer wherever they are planted. The petals are saturated with red-coral color, darkening toward a lightly-speckled inner flower. A mid-summer bloomer, the plants reach 3-4’ tall and will naturalize. Incorporate into perennial borders for a beautiful summer display. Full to partial sun.",https://hudsonvalleyseed.com/cdn/shop/files/IMG_9759.jpg?v=1682437835
Dutch Amaryllis 'Magic Green',"Surrender to the generous curves of this creamy white lily with its abundant blooms and maroon-speckled petals. The flowers start out with a buttery yellow glow, transforming to bone-white at maturity. A mid-summer bloomer, plants reach 3-4’ tall and look gorgeous intermixed with summer-flowering perennials. Full to partial sun. Naturalizes readily.",https://hudsonvalleyseed.com/cdn/shop/files/MagicGreen-brer02179.jpg?v=1703081784
Dutch Amaryllis 'Red Lion',"This early-summer bloomer thrills with its richly-pigmented royal blue petals streaked and splashed in white. Each flower has its own unique markings that set it apart from the others, so it’s fun to see how each one will unfurl. The fragrant flowers are large, with up to 5-7 blossoms per 24” stem.
Blooms in May / June, and prefers full to partial sun.
U.S. Grown.",https://hudsonvalleyseed.com/cdn/shop/files/IMG_0117_1.jpg?v=1682436876
Dutch Amaryllis 'Samba',"This U.S.-grown bearded iris steals the show with a bedazzling display of colors! Each bloom bears ivory-white standards and raspberry-plum falls. The veined, multi-hued falls seem to sparkle with their contrasting orange beards and pale lavender edging. Plants reach 35” tall, with up to 4-6 blooms per stem! Blooms in May/June, and prefers full to partial sun. ",https://hudsonvalleyseed.com/cdn/shop/files/IMG_9765.jpg?v=1697647004
Dutch Iris 'Miss Saigon',"This U.S.-grown, re-blooming bearded iris puts on a spectacular show of vibrant denim-blue-violet flowers with bluish white standards.
‘Clarence’ is floriferous, producing abundant, blousy blooms (up to 6 per stem!) in early summer and, if happy and well-cared for, a second flowering in early fall. Known to be one of the most dependable re-blooming varieties; see our growing instructions for more info on how to encourage early fall blooms.
Grows to 35” tall and prefers full to partial sun.  ",https://hudsonvalleyseed.com/cdn/shop/files/DutchIrisMissSaigon1.png?v=1718294979
Dutch Iris 'Pink Panther'," A prolific early-summer bloomer, this U.S.-grown bearded iris unfurls unusual, coppery, dusky-coral standards and falls. The flower color is relatively even-toned throughout except for the brighter orange beards. Plants reach 35” tall, with up to 5-7 blooms per stem. Grow wherever you need a little more romance and refinement.
Blooms in May / June, and prefers full to partial sun.
U.S. Grown.",//shop.hudsonvalleyseed.com/cdn/shop/files/IrisDutchPinkPabther1_1_540x540.jpg?v=1686249480
Dutch Iris 'Silvery Sky',"Evocative of its namesake, this enchanting U.S.-grown bearded iris bears blooms of gorgeous sunset-orange and apricot, with pale violet falls edged in rusty orange. Plants reach 35” tall, with up to ten blooms per stem! Blooms in May/June, and prefers full to partial sun.",//shop.hudsonvalleyseed.com/cdn/shop/files/IrSilverySkyA_1_1_540x540.jpg?v=1686249926
Dutch Large Flowering Crocus 'Golden Yellow',"A U.S. grown iris with a beautifully refined and unusual color palette. The wonderfully fragrant blossoms produce blue-grey standards accented with pale lemon and lavender above muted, butter yellow falls and bright golden beards. This variety reaches an impressive 43” tall, with 3-5 flowers on each stem. Blooms in May/June, and prefers full to partial sun.
",https://hudsonvalleyseed.com/cdn/shop/products/Dutch-Large-Flowering-Crocus--Golden-Yellow--vendor-unknown-1630680693.jpg?v=1630680694
Dutch Large Flowering Crocus 'Pickwick',"This U.S.-grown, re-blooming bearded iris has the most dreamy combination of ivory-white standards flushed with pink and pale salmon-pink falls highlighted by bright orange beards. It’s also wonderfully fragrant! Re-blooming irises flower in early summer and, if happy and well-cared for, produce a second flowering in early fall. 'Struck Twice' is known to be a very floriferous variety, and often continues flowering throughout the whole iris season; see our growing instructions for more info on how to encourage repeat blooming. Grows to 35” tall and prefers full to partial sun.",https://hudsonvalleyseed.com/cdn/shop/products/Dutch-Large-Flowering-Crocus--Pickwick--vendor-unknown-1630680703.jpg?v=1630680704
Erythronium Californicum 'Pagoda'," A U.S.-grown bearded iris with magnificent, deep golden standards and mahogany-brown falls. The throats are white with golden ochre beards, and the falls are edged with a fine, golden yellow. ’Sun Devil’ is a generous mid-summer bloomer, frequently showing off 7-8 blooms on 40” stems. Prefers full to partial sun. If happy and well cared for, these plants will launch a second flowering in early fall. See growing instructions for more info on how to encourage fall blooms.",//shop.hudsonvalleyseed.com/cdn/shop/products/Erithpagoda_540x540.jpg?v=1625251425
