Name,Image URL 1,Description
White Russian Kale Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/w/h/white_russian_kale.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile, Cut & Come Again Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Recommended for Winter Harvest, Start Early for Transplants, Good for Overwintering, Cold Tolerant, Easy to Grow, Early Harvest, Fast Growing, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity20-25 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height16 - 20 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained, Wet Tolerant Plant UsesPatio Container Friendly, Edible ShapeLeaf"
Whale Spinach Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/w/h/whale_spinach.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile, Cut & Come Again Growing ConditionsField Crop, Greenhouse Performer, Grows Well in Containers Additional CharacteristicsHeat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity25-30 Days Stem TypeSingle Stem Plant HardinessTender Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeLeaf"
Walla Walla Onion Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/w/a/walla_walla_onion.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Start Early for Transplants, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity105 Days Stem TypeSingle Stem Plant HardinessHalf Hardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeBulb"
Violetta Lunga Eggplant Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/v/i/violetta_lunga_eggplant.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Staking Recommended, Grows Well in Containers Additional CharacteristicsStart Early for Transplants, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity60 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeElongated"
Victoria Rhubarb Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/v/i/victoria_rhubarb.webp,"More Information HarvestingHarvest when Mature, Cut & Come Again Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Good for Overwintering, Cold Tolerant Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity45-50 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height21 - 30 inches Plant LifecyclePerennial Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeStalk - Stem"
UC157 Asparagus Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/u/c/uc_157_asparagus.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsGood for Overwintering, Cold Tolerant, Heat Tolerant, Easy to Grow, Early Harvest Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun, Partial Sun Seed TypeOpen Pollinated Days to MaturityPerennial Stem TypeBranching Stem, Single Stem Plant HardinessHardy Plant Height31 - 40 inches Plant LifecyclePerennial Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeStalk - Stem"
Turkish Orange Eggplant Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/u/turkish_orange_eggplant.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Staking Recommended, Grows Well in Containers Additional CharacteristicsStart Early for Transplants, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity90 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeOblate"
Tuffy Acorn Squash Seed,,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Excellent for Trellising Additional CharacteristicsRecommended for Summer Planting for Fall Harvest, Start Early for Transplants, Heat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity90 Days Stem TypeBranching Stem Plant HardinessHalf Hardy Plant Height61 + inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesEdible ShapeOblate"
Toy Choy Cabbage Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/o/toy_choy_cabbage.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer Additional CharacteristicsBest Suited for Spring & Fall Crop, Recommended for Summer Planting for Fall Harvest, Cold Tolerant, Easy to Grow, Fast Growing, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity35-40 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeLeaf, Stalk - Stem"
Toscano Kale Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/o/toscano_kale.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Recommended for Winter Harvest, Start Early for Transplants, Good for Overwintering, Cold Tolerant, Heat Tolerant, Easy to Grow, Early Harvest, Fast Growing, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity55 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height16 - 20 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesPatio Container Friendly, Edible ShapeLeaf"
Tokyo Long Onion Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/o/tokyo_long_onion.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop Additional CharacteristicsBest Suited for Spring & Fall Crop, Start Early for Transplants, Good for Overwintering, Cold Tolerant, Heat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity75 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesEdible ShapeBulb, Stalk - Stem"
Tendersweet Carrot Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/e/tendersweet_carrots.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile Growing ConditionsField Crop, Greenhouse Performer, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Cold Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity70 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeTapered, Root"
Tendergreen Burpless Cucumber Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/e/tendergreen_burpless_cucumber.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Excellent for Trellising, Grows Well in Containers Additional CharacteristicsEasy to Grow, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity55 Days Stem TypeBranching Stem Plant HardinessTender Plant Height41 - 60 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeElongated"
Tender Gold Cabbage Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/e/tender_gold_cabbage.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop Additional CharacteristicsBest Suited for Spring & Fall Crop, Recommended for Summer Planting for Fall Harvest, Cold Tolerant, Easy to Grow, Early Harvest, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity45-50 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeLeaf, Head"
Tango Lettuce Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/a/tango_lettuce.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile, Cut & Come Again Growing ConditionsField Crop, Greenhouse Performer, Grows Well in Containers Additional CharacteristicsBest Suited for Spring & Fall Crop, Start Early for Transplants, Cold Tolerant, Fast Growing, Slow to Bolt, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun, Partial Sun Seed TypeHeirloom, Open Pollinated Days to Maturity45 Days Stem TypeSingle Stem Plant HardinessHalf Hardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeLeaf"
Tango Celery Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/a/tango_celery.webp,"More Information HarvestingHarvest when Mature, Cut & Come Again Growing ConditionsField Crop, Greenhouse Performer Additional CharacteristicsCold Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity80 Days Stem TypeSingle Stem Plant HardinessHalf Hardy Plant Height16 - 20 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeStalk - Stem"
Tadorna Leek Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/t/a/tadorna_leeks.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer Additional CharacteristicsRecommended for Summer Planting for Fall Harvest, Recommended for Winter Harvest, Start Early for Transplants, Cold Tolerant, Easy to Grow, Slow to Bolt Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity100 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height16 - 20 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeBulb"
Sweet Rainbow Mix Pepper Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/w/sweet_rainbow_mix_peppers.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Grows Well in Containers Additional CharacteristicsStart Early for Transplants, Easy to Grow, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Hybrid (F1), Open Pollinated Days to Maturity70 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeElongated, Bell"
Sweet Million F1 Tomato Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/w/sweet_million_f1_tomato.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Excellent for Trellising, Staking Recommended Additional CharacteristicsStart Early for Transplants, Heat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity70 Days Stem TypeBranching Stem Plant HardinessTender Plant Height61 + inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesClimbers & Vines, Edible ShapeCascading, Round"
Sweet Imposter Pepper Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/w/sweet_imposter_pepper.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer Additional CharacteristicsStart Early for Transplants, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity90 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeTapered"
Sweet Banana Pepper Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/w/sweet_banana_pepper.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Grows Well in Containers Additional CharacteristicsAAS (All-American Selections) Winner, Start Early for Transplants, Easy to Grow, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity67 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeTapered"
Suyo Long Cucumber Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/suyo_long_cucumber.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Excellent for Trellising, Grows Well in Containers Additional CharacteristicsHeat Tolerant, Easy to Grow, Parthenocarpic Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity60 Days Stem TypeBranching Stem Plant HardinessTender Plant Height41 - 60 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesPatio Container Friendly, Edible ShapeElongated"
Super Sweet 100 F1 Tomato Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/super_sweet_100_f1_tomato.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Excellent for Trellising, Grows Well in Containers Additional CharacteristicsStart Early for Transplants, Heat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity65 Days Stem TypeBranching Stem Plant HardinessTender Plant Height31 - 40 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesPatio Container Friendly, Edible ShapeCascading, Round"
Super Star Onion Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/super_star_onion.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Grows Well in Containers Additional CharacteristicsAAS (All-American Selections) Winner, Best Suited for Spring & Fall Crop, Start Early for Transplants, Heat Tolerant Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity100 Days Stem TypeSingle Stem Plant HardinessHalf Hardy Plant Height7 - 15 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesPatio Container Friendly, Edible ShapeBulb"
Sunburst Patty Pan F1 Squash Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/sunburst_patty_pan_f1_squash.webp,"More Information HarvestingHarvest when Mature, Harvest when Juvenile, Cut & Come Again Growing ConditionsField Crop Additional CharacteristicsAAS (All-American Selections) Winner, Start Early for Transplants, Heat Tolerant, Easy to Grow, Harvest as Baby Vegetables Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity55 Days Stem TypeBranching Stem Plant HardinessTender Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesEdible ShapeOblate"
Sun Gold F1 Tomato Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/sun_gold_f1_tomato.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Staking Recommended, Grows Well in Containers Additional CharacteristicsStart Early for Transplants, Heat Tolerant, Easy to Grow, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHybrid (F1) Days to Maturity60 Days Stem TypeBranching Stem Plant HardinessTender Plant Height31 - 40 inches Plant LifecycleAnnual Plant Moisture & ClimateHeat Tolerant, Well-drained Plant UsesPatio Container Friendly, Edible ShapeCascading, Round"
Sugar Snap Pea Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/sugar_snap_pea.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Excellent for Trellising, Netting Recommended Additional CharacteristicsBest Suited for Spring & Fall Crop, Recommended for Summer Planting for Fall Harvest, Cold Tolerant, Easy to Grow, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity70 Days Stem TypeBranching Stem Plant HardinessHalf Hardy Plant Height61 + inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeSeeds - Bean"
Sugar Beet Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/sugar_beets.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop Additional CharacteristicsBest Suited for Spring & Fall Crop, Cold Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom Days to Maturity40 Days Stem TypeSingle Stem Plant HardinessHardy Plant Height21 - 30 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeTapered, Root"
Sugar Baby Watermelon Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/u/sugar_baby_watermelon.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Netting Recommended Additional CharacteristicsStart Early for Transplants, Heat Tolerant, Easy to Grow Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeHeirloom, Open Pollinated Days to Maturity80 Days Stem TypeBranching Stem Plant HardinessTender Plant Height61 + inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeRound"
Stupice Tomato Seed,https://redemptionseeds.com/media/catalog/product/cache/ad1b35c87a9699e0b49412a335cc1bad/s/t/stupice_tomato.webp,"More Information HarvestingHarvest when Mature Growing ConditionsField Crop, Greenhouse Performer, Excellent for Trellising, Staking Recommended Additional CharacteristicsStart Early for Transplants, Cold Tolerant, Easy to Grow, Early Harvest, Fast Growing Flowering MonthFlowers for Reproduction Garden StyleKitchen Culinary Lighting ConditionsFull Sun Seed TypeOpen Pollinated Days to Maturity55 Days Stem TypeBranching Stem Plant HardinessTender Plant Height41 - 60 inches Plant LifecycleAnnual Plant Moisture & ClimateWell-drained Plant UsesEdible ShapeRound"
