Name,Image_URL,Description
CAL SWEET BUSH,//territorialseed.com/cdn/shop/products/WA999_450x.jpg?v=1597273064,"90 days. A patio-friendly watermelon! Cal Sweet Bush is among the most compact watermelon plants we've grown. Where traditional watermelon plants tend to be very pushy, intruding on neighboring crops, this one keeps a respectful personal space of 14–18 inches making it the ideal container plant. It produces 2–3 admirable 10–12 pound fruit that rival the size of melons from much larger plants. With juicy, crisp, sweet, red flesh, Cal Sweet Bush has the classic watermelon flavor and texture that everyone loves."
CANDLE FIRE,//territorialseed.com/cdn/shop/products/OK534_450x.jpg?v=1597272729,"30 days. A fascinating departure from traditional ribbed okra, Candle Fire pods boast a smooth, round profile and brilliant, true red color. Its extra early maturity means guaranteed harvest of the succulent fruit even in northern gardens, where homemade gumbo with fresh-picked okra is on the menu! The highly ornamental plants are vigorous, disease resistant and heavy yielders."
CANDYLAND RED,//territorialseed.com/cdn/shop/products/TM911_450x.jpg?v=1597272983,"55 days. A unique and delectable variety for its habit, quality and mouthwatering flavor, all of which add up to a well-deserved AAS award. These ½ inch round, red tidbits are exploding with rich, concentrated currant flavor that’s absolutely tantalizing. Like most currant types, Candyland Red has diminutive leaves and flowers, but unlike its rangy peers, it retains a more manageable, more self-supporting, bushy habit and tends to set its fruit on the outside of the plants for easy access. Indeterminate."
CHERRY BELLE,//territorialseed.com/cdn/shop/files/RD741_2_450x.jpg?v=1704253500,"22 days. Selected for top quality and yields, this cherry-red radish with a snow white interior has become the standard for salad gardens. Plant early, and these ¾–1 inch round, crisp radishes will be the first ones to the table."
CRÈME BRÛLÉE,//territorialseed.com/cdn/shop/products/ON577_450x.jpg?v=1668557846,"115 days. A first-class, award-winning echalion or banana shallot, Crème Brûlée produces elongated, very large bulbs with rich, pungent shallot flavor that’s high in natural sugars. The 4 inch long bulbs have burnished rose gold skin and purple ringed-white flesh. These delicious alliums have easy-to-peel skin, making them a pleasure to work with in the kitchen and even more enjoyable at the table. We've found that even if the echalion plants haven’t fully lodged prior to harvest, they will still dry down and store excellently."
CROKINI,//territorialseed.com/cdn/shop/files/TM820_2_450x.jpg?v=1704253827,"52 days. Vivid, rich red color and vibrant, full-bodied flavor packed into a bite-sized ¾ inch fruit. The indeterminate Crokini is our first Late Blight resistant cherry tomato. It’s incredibly productive and crack resistant, so you’ll have vines full of beautiful AAS winning fruit. HR: F 0, LM, ToMV 0–2. IR: LB, N, TYLCV."
DRAGONFLY,//territorialseed.com/cdn/shop/products/PP658_450x.jpg?v=1643413396,"55 days. Dragonfly’s striking, deep purple, nearly black shade is guaranteed to impress! These elongated, 3 inch fruit emerge light green and quickly develop their dark pigment with thick walls and a pleasantly sweet flavor. Productive plants perform well even in growing conditions with lower fertility. Fruit maintains its purple hue for an extended period but will eventually ripen to red. HR: TMV, ToMV 0–2."
GALAHAD,//territorialseed.com/cdn/shop/products/TM832_450x.jpg?v=1597273559,"73 days. Our newest Late Blight-resistant tomato, and an award-winning variety to boot! Galahad's compact, determinate plants produce buckets of shiny, crimson, squat, 3 inch, globe-shaped fruit that's juicy, sweet, meaty and crack resistant. We are equally impressed with the crop's large, picture-perfect fruit, disease resistance and succulent flavor. HR: F 1-3, L, LB, TSWV, V. IR: N."
GOLD NUGGET,//territorialseed.com/cdn/shop/products/SQ828_450x.jpg?v=1597272887,"Cucurbita maxima 85 days. This is the original Gold Nugget bush squash developed as a substitute for the sweet potato in short-season areas. Compact 3–4 foot bushes yield up to 10 golden orange fruit, 1–1 ½ pounds, full of delicate golden flesh with melt-in-your-mouth flavor."
GOLDILOCKS,//territorialseed.com/cdn/shop/products/SQ825_450x.jpg?v=1605910615,"Cucurbita pepo 85 days. Straight out of a fairytale, this beautiful squash is excellent for decorations and a stuffed side dish on the 'half-shell.' Flawless, glossy, dark-orange acorns have vibrant orange flesh and an easy-to-clean cavity. Bush-habited plants produce very uniform, 5 inch, 1 ½-2 pound fruit. IR: PM."
GREEN SALAD BOWL,//territorialseed.com/cdn/shop/products/LT394_450x.jpg?v=1597272611,"50 days. We’ve offered Green Salad Bowl for years because gardeners still love its wonderful mellow flavor. This one is a prime candidate for early spring sowings in a cold frame or even unprotected in the garden. Grows very rapidly for early spring salads and resists bolting when summer arrives. Frilly, deeply cut leaves form large, lime-green rosettes."
GREEN WAVE,//territorialseed.com/cdn/shop/products/MU524_2_450x.jpg?v=1597272717,"Brassica juncea 50 days. Harvest at baby leaf stage after 21 days for flatter leaves with serrated margins or full size when they become very frilly. Green Wave has been a favorite American mustard (or tendergreen) for many years. Popular with gardeners for its upright plant habit, it grows to 2 feet and has a dark green, heavily curled leaf. An excellent producer, Green Wave resists bolting, so it can be grown mid-summer. Mild and succulent in all dishes."
HARVEST MOON,//territorialseed.com/cdn/shop/products/WA986_450x.jpg?v=1597273056,"85-90 days. One of our prized favorites just got better! At first glance, Harvest Moon and Moon & Stars look very similar: midnight-colored rind peppered with brilliant yellow splotches, but open them and you’ll start seeing the difference. Harvest Moon’s flesh is pinkish red, sweet, refreshingly crisp, delicious, and seedless! It also ripens earlier, has higher yields, and a more compact plant. At 8–13  pounds, these delectable melons are more manageably sized than their heirloom predecessor. Complete  instructions with every order."
HONEY BEAR,//territorialseed.com/cdn/shop/products/SQ820_450x.jpg?v=1597272884,"Cucurbita pepo 100 days. Compact plant size, high yields, and sweet squash flavor make Honey Bear one amazing variety! Honey Bear’s super healthy plants reach 2–3 feet tall and only spread 4–5 feet without vines. The 1 pound, dark green fruit are ideal for baking in the half shell and serving. PM."
KATARINA,//territorialseed.com/cdn/shop/products/CB164_450x.jpg?v=1597272244,"45 days. Manageably sized, fast to mature, and absolutely delicious. This AAS award-winning cabbage produces impeccably uniform, light green, 4 inch globes on compact plants. An excellent choice for containers or cramped plantings and year-round production of the sweetest cabbage."
KENTUCKY BLUE,//territorialseed.com/cdn/shop/products/BN034_450x.jpg?v=1597272136,"73 days. Kentucky Blue is the offspring of 2 very popular parents: Kentucky Wonder and Blue Lake. Its characteristic deep-green pods are 6–8 inches long and quite straight. The pods are easily seen on the 6 foot tall vines and can be continuously harvested over a long season. The taste is sweet and tender, even up to the larger lengths. White seeds; 105 per ounce. BMV."
KONAN,//territorialseed.com/cdn/shop/products/KH355_450x.jpg?v=1597272549,"42 days. If there was ever a kohlrabi variety to take this unusual vegetable out of relative obscurity, it’s Konan. Its AAS award-winning, pristine, icy-green globes and sweet, crunchy, alabaster flesh will make you stand up and take notice. Sturdy, uniform, healthy plants produce smooth-skinned bulbs that can reach up to 6 inches across for lots of delectable, cool-season dishes."
LIZZANO,//territorialseed.com/cdn/shop/products/TM967_450x.jpg?v=1597273030,"65 days. One of the most beautiful and early-maturing cherries you can grow. Lizzano was crowned an AAS winner for its sweet, flavorful 1 inch fruit and its extra long harvest window. The well-mannered, semi-determinate plants thrive in the garden or containers, and they are sure to find a home in any garden setting. Disease resistant. LB."
MASCOTTE,//territorialseed.com/cdn/shop/products/BN087_450x.jpg?v=1597272176,"50 days. An AAS award winner for its super-compact habit and high production of delectable beans. Mascotte provides full-sized harvests from container-friendly plants. Bushy plants grow only 16–18 inches tall with big, white blooms followed by tender, stringless, tasty beans held high for easy spotting. Slender green beans keep coming over a long harvest period. White seeds; 200 per ounce. A, BMV, HB"
MINI LOVE,//territorialseed.com/cdn/shop/products/WA992_450x.jpg?v=1597273058,"70 days. If full-sized watermelons are too much to handle or your garden won’t accommodate sprawling plants, you’re in luck! Mini Love’s personal-size fruit and compact plants can squeeze into even the tightest space. The 7-9 pound watermelons have deep red, sweet, juicy flesh with a minimum of seeds. Glossy skinned, these watermelons have a remarkably thin rind yet are very resistant to splitting. The compact plants stay within a 36 inch space and will yield up to an unbelievable 6 fruit each! IR: A."
MOUNTAIN MERIT,//territorialseed.com/cdn/shop/products/TM876_450x.jpg?v=1597272953,"75 days. This multi-purpose slicing tomato earned an AAS award for its unsurpassed disease resistance, good flavor and production. Deep red beefsteaks average 3-3 ½ inches across with firm flesh. Early, hard-working, determinate plants stay healthy throughout the season. HR: F 1-3, LB, TSWV, V. IR: AB, N."
NEW QUEEN,//territorialseed.com/cdn/shop/products/WA993_450x.jpg?v=1597273059,"80 days. This watermelon brings another color of the rainbow to your fruit plates. New Queen matures early and exhibits a stunning bright orange flesh that is tender, crisp, and juicy. Very few seeds and a 12% sugar content round out this exciting release. The melons are globe-shaped and have light green rinds with distinctive dark green stripes. Each weighs about 5–6 pounds."
ORANGE SILVERWAVE,//territorialseed.com/cdn/shop/products/ML475_450x.jpg?v=1597272676,"75 days. These 5 inch oval, smooth-skinned beauties are greenish-ivory colored with emerald streaks and a salmon-colored interior that’s firm, very sweet and exceptionally delicious. Healthy vines reach 6–7 feet and produce up to 6 of these treasures each. We recommend planting in the garden or large containers and offering the plants support to climb for the healthiest, prettiest crops. F 0–1, MNSV."
PATIO BABY,//territorialseed.com/cdn/shop/products/EG335_450x.jpg?v=1597273446,"45 days. Ideal for containers but right at home in any garden, this spineless, compact variety provides incomparable early and sustained yields of 2–3 inch long, egg-shaped fruit on plants no taller than 24 inches. The almost-black fruit are deliciously mild with less bitterness than comparable varieties, helping to garner All-America Selections honors."
POT-A-PEÑO,//territorialseed.com/cdn/shop/products/PP732_450x.jpg?v=1636001743,"65 days. So early, compact and prolific it earned an esteemed AAS award! Enjoy the spicy kick of homegrown jalapenos from a container or tight garden space. Reaching only 12–15 inches tall and 18–20 inches wide, Pot-a-Peño produces spicy, dark green fruit that ripens to a rich red and 2 ¾ inches long and ¾ inch wide. Situate in an 8 inch pot or hanging basket with at least 6 hours of full sun for best results.Kitchen Counter CollectionGardening isn’t restricted to people with enough land for planting. Recently we’re seeing a huge push for breeding development in food-producing plants that will flourish in containers with minimal care. We’ve hand-selected this assortment based on flavor, yield, ease of cultivation and appearance, so our gardeners with windowsill or patio space can enjoy the rewards of growing their own food at home. Each of these varieties produces attractive plants with lots of tasty fruit. Staking is recommended."
PRIZM,//territorialseed.com/cdn/shop/products/KL387_450x.jpg?v=1597272581,"50-60 days. A compact version of the ever-popular Winterbor. Prizm produces heavily frilled, short-stemmed, green leaves. The smaller-statured plants are sized just right for smaller gardens or container cultivation, and with its quick growth rate, can provide continuous harvests."
PURPLE MAGIC,//territorialseed.com/cdn/shop/files/BR083_450x.jpg?v=1713822840,"90–100 days. Touted as the world's first purple-stemmed broccoli, this AAS award winner is magical, indeed! Plants produce sizeable dome-shaped heads that can weigh about 1 pound each. This cool-season crop grows upright to 30 inches and up to 20 inches wide with tight, uniform crowns and bright beads. An excellent easy-to-grow addition to any garden that is known to be sweeter and more tender than traditional green broccoli."
PURPLE ZEBRA,//territorialseed.com/cdn/shop/products/TM828_450x.jpg?v=1640802498,"70 days. Purple Zebra’s green-streaked, deep red skin is the first indicator that this tomato is something special. The billiard ball-sized fruit has thick, smooth, dark purple flesh that is so rich and flavorful—umami balanced with a bit of sweet—that it’s difficult to resist. Our trials tasters unanimously agreed that it’s the best tasting new tomato we've had in years. Long, vining, indeterminate plants are very disease resistant, and the fruit resists cracking. IR: LB 2–3, LM A–E, ToMV, TSWV TYLCV, V."
RED SAILS,//territorialseed.com/cdn/shop/products/LT393_0a735db9-7f4c-4b3e-8259-e425108ca3a7_450x.jpg?v=1668557680,"53 days. Up to 10 inches across, the crinkled and deeply fringed leaves are burgundy–turning to medium green at the base. It stands in the garden a long time after maturity without bolting or becoming bitter. Red Sails is an all-time favorite."
RED TORCH,//territorialseed.com/cdn/shop/products/TM833_2_450x.jpg?v=1607639913,"60 days. This eye-popping tomato has superb flavor to match its stunning appearance. The 2 inch long, fiery red fruit are streaked with yellow and pointed like a flame. Big enough for 2 bites, Red Torch provides lots of great snacking early in the season and through to frost. The indeterminate vines shrug off challenging growing conditions and keep the harvests coming."
ROXANNE,//territorialseed.com/cdn/shop/products/RD757_2_450x.jpg?v=1597272837,"25 days. This outstanding radish produces impeccably uniform roots with cardinal red skin and immaculate white interiors. The 1–1 ¼ inch orbs have crisp flesh that is snappy and tasty. Roxanne’s ability to retain its good flavor and texture even at larger sizes, along with its proven performance across the country, has helped it earn an AAS award."
SEYCHELLES,//territorialseed.com/cdn/shop/products/BN090_450x.jpg?v=1597272178,"55-65 days. One of the earliest, tastiest and most productive pole beans we've grown. Seychelles starts out early and strong. It yields heavy crops of slender, tender beans which begin to set as soon as some of the fastest bush-type beans. Best enjoyed at about 4 inches long, these light green beans are crunchy and delicious even at 5-6 inches. Continuing to produce through a long harvest season, these powerful, healthy plants reach 7-9 feet tall. Light green seeds; 110 per ounce. BMV."
SNAK HERO,//territorialseed.com/cdn/shop/products/PE623_450x.jpg?v=1605910608,"65 days. The form of a green bean and the flavor of a snap pea! Snak Hero is enticingly unique with its slender, round, 4 inch, stringless pods. Self-supporting plants reach 18-24 inches tall and keep producing their delectable peas with continued harvest. Enjoy Snak Hero lightly cooked, frozen, or fresh off the plant."
SNOW CROWN,//territorialseed.com/cdn/shop/files/CF171_3_450x.jpg?v=1704253056,"50-60 days. Snow Crown is always mild and sweet. Its hybrid vigor and rapid growth make it one of the easiest to grow of all early cauliflower varieties. It forms fully domed curds in heads 7–8 inches across, weighing 1–2 pounds. This variety maintains its prime eating quality for up to 10 days in the garden. May manifest a delicate pink blush when maturing in the hotter parts of summer."
SUGAR ANN,//territorialseed.com/cdn/shop/products/PE621_450x.jpg?v=1597273379,"55 days. An early and easy-to-grow snap pea. The non-climbing, dwarf vines set an abundant harvest of 2 ½ inch long, medium-green pods with a sweet, effervescent flavor. Best of luck getting any to the kitchen since they might all be consumed fresh in the garden."
SUNBURST,//territorialseed.com/cdn/shop/products/SQ796_450x.jpg?v=1597272865,"Cucurbita pepo 55 days. Sunburst is a deep yellow scallopini that is as vibrant as the sun. Delicious as it is colorful, it’s the earliest and most productive of the yellow scallopini. Vigorous 3 foot bush habit. Can be picked from baby size up to 6–8 inches across without losing its tender, buttery flavor. Only your imagination limits the ways to serve Sunburst!"
SWEET BABY,//territorialseed.com/cdn/shop/products/OV587_450x.jpg?v=1597272764,"40-45 days. These little bundles of joy won us over at our AAS trials, and the other judges agreed. A pleasure to behold, the 3 inch, elongated roots have a brilliant violet exterior and striking pink flesh that’s streaked with purple. Equally appealing on the tongue, Sweet Baby packs a lot of crisp, juicy flavor that starts out sweet and ends with a refreshing hint of spice."
SWEET BEAUTY,//territorialseed.com/cdn/shop/products/WA995_450x.jpg?v=1597273060,80 days. Many taste testers have praised the sweet flavor and crisp texture of Sweet Beauty. The oblong-shaped fruit weigh 5–7 pounds and have red flesh and dark green skin with medium green stripes. The vigorous vines reach about 8–10 feet. Expect 3–4 fruit per plant.
WALTHAM BUTTERNUT,//territorialseed.com/cdn/shop/files/waltham-butternut-squash_450x.jpg?v=1697042348,"Cucurbita moschata 100 days. This uniform selection is prized for its rich, dry, yellow-orange flesh and distinctive nutty flavor. The smooth, light-tan fruit weigh 3–6 pounds and are exceptional keepers. Vines grow 8–10 feet and produce 4–5 squash per plant."
SWEET MAMA,//territorialseed.com/cdn/shop/products/SQ839_450x.jpg?v=1597272895,"Cucurbita maxima 100 days. We’ve been looking for a superior kabocha for years and are happy to have landed on Sweet Mama. It's a unique kabocha that produces on a very space-saving short vine. In our trials, Sweet Mama was also among the earliest to mature. The dark green fruit reach about 8 inches across and 4 inches tall with striking gray ribs and speckles. Inside, the meaty flesh is a dark yellow with a nutty flavor."
AJI RICO,//territorialseed.com/cdn/shop/products/PP730_450x.jpg?v=1597273641,"Capsicum baccatum 61 days. A new development in conventional breeding brings us this award-winning, marvel of a pepper. Aji Rico's 2 ½–4 inch long, conical fruit ripen surprisingly early, especially for a spicy variety. Its large, very vigorous plants produce bushels of green to red-when-ripe fruit that's breathtakingly citrusy and sweet with a clean, medium spice. A great candidate for enjoying fresh at any stage of maturity, dried or cooked."
ANAHEIM COLLEGE 64,//territorialseed.com/cdn/shop/products/PP686_450x.jpg?v=1597273243,"74 days. If you like a medium sizzle for your palate, try these peppers. Same as the green Anaheim chilis you find in the grocery store, but better because you’ll get to eat them fresh and full of flavor! Anaheim College 64 yields 6–10 tasty fruit per plant, each 6–8 inches long. The thick-walled conical fruit turn from green to red. Excellent roasted and stuffed or minced into salsa and guacamole."
ANANAS NOIRE,//territorialseed.com/cdn/shop/products/TM875_450x.jpg?v=1597272952,"85 days. Also known as Black Pineapple, this is one of the most interesting tomatoes we offer. The skin has shades of green, purple, orange, and yellow. Bright green flesh has bursts of red streaks that will definitely add intrigue to your vegetable platter. The lip-smacking flavor starts out sweet and ends with the perfect amount of tang. What’s more, the sprawling indeterminate plant yields a tremendous amount of fruit."
ANNINA,//territorialseed.com/cdn/shop/products/EG338_450x.jpg?v=1597273452,"69 days. An outstanding variety in many aspects, Annina is early, exceptionally pretty, tastes great, has a low seed count, and the plants are nearly spineless! The tapered, teardrop-shaped fruit reach 5 inches long and are cream and purple streaked. We found the flavor good even raw."
ARAPAHO,//territorialseed.com/cdn/shop/products/PP726_450x.jpg?v=1597273278,"65 days. No more waiting for the sweet-spicy flavor of a high-quality cayenne! Arapaho ripens well before other cayennes and delivers 8–9 inch long, wrinkled fruit that starts out green and ripens to brilliant red. The compact, vigorous plants are high yielding and provide excellent leaf cover to protect the fruit against sunscald."
ARTEMIS,//territorialseed.com/cdn/shop/products/TM839_450x.jpg?v=1597272916,"65 days. Not your average cherry tomato, Artemis amazed us with its flavor. In fact, our in-house taste-testers deemed it the best flavored cherry tomato in our 2018 trials. The 1 inch round fruit have an incredibly rich flavor that’s also very sweet. The vigorous indeterminate vines are disease resistant and robust, producing lots of trusses with 15–20, crisp, dark red fruit. F 1–2, LM, N, TMV, ToMV"
ASPABROC,//territorialseed.com/cdn/shop/products/BR114_450x.jpg?v=1597272199,"56 days. This gourmet quality baby broccoli or broccolini produces tender, delicious, elongated stems topped with small, domed, 2 ½ inch florets. After the initial central stem is cut, the plants continue developing side shoots for repeated cuttings. Aspabroc has a nice, upright habit that lends itself to tight plantings."
ATHENA,//territorialseed.com/cdn/shop/products/ML462_450x.jpg?v=1597272670,"75 days. This proven cantaloupe is a best seller and a favorite among gardeners and growers across the US. Athena consistently delivers early yields with dynamite flavor. The 6 by 8 inch fruit weigh 5–6 pounds, are coarsely netted and have a scrumptious, bright orange flesh. Athena’s superior disease resistance helps keep the vines producing all season long. Pick at full slip for best quality and flavor. Stores exceptionally well, too! F 0–2, PM."
BANANA LEGS,//territorialseed.com/cdn/shop/products/TM827_450x.jpg?v=1635997828,"75 days. Although its name may tend to conjure a cartoonish image, Banana Legs is no joke. These unusual, elongated tomatoes are truly in a category of their own. Shaped like a roma with the flavor of a slicer, they have a crowd-pleasing, low acid taste that’s delicious fresh in salads and sandwiches. The 4 inch long fruit have extra eye-appealing golden yellow skin with highlights of metallic orange streaked down their length. Determinate plants."
BARTELLY,//territorialseed.com/cdn/shop/products/TM843_450x.jpg?v=1597272919,"50 days. Bartelly produces intricate trusses that look like woven blankets of elongated, scarlet fruit. We counted one truss with 64 tomatoes on it, each measuring 1 ¾ inches long and 1 inch wide. A reliable selection for low-input cultivation under cover or in the garden. The vigorous, indeterminate plants will keep you picking these mild-flavored cherry tomatoes all season long! LM, ToMV 0."
BEAVERLODGE 6806 PLUM,//territorialseed.com/cdn/shop/products/TM960_2_450x.jpg?v=1668557706,"55 days. We were so impressed by everything about these tomatoes at our trials, that we saved the seed and spent a few seasons building our inventory in order to share it with you. Not only were they two of the earliest maturing varieties, but the plants were so loaded with tomatoes that there seemed to be more fruit than leaves! What’s more, these extremely compact, determinate plants tend to creep rather than grow tall and would be perfect in a hanging basket or patio container. Did we mention how rich and balanced the flavor is, especially for an early type? Truly a great combination of earliness, size, productivity, and quality. Bred at the Beaverlodge Research Center in Alberta, Canada. 2 ½ inch long, plum-shaped fruit."
BEAVERLODGE 6808 SLICER,//territorialseed.com/cdn/shop/products/TM961_450x.jpg?v=1597273027,"55 days. We were so impressed by everything about these tomatoes at our trials, that we saved the seed and spent a few seasons building our inventory in order to share it with you. Not only were they two of the earliest maturing varieties, but the plants were so loaded with tomatoes that there seemed to be more fruit than leaves! What’s more, these extremely compact, determinate plants tend to creep rather than grow tall and would be perfect in a hanging basket or patio container. Did we mention how rich and balanced the flavor is, especially for an early type? Truly a great combination of earliness, size, productivity, and quality. Bred at the Beaverlodge Research Center in Alberta, Canada. 1 ½ inch round fruit."
BELSTAR,//territorialseed.com/cdn/shop/products/BR088_3_450x.jpg?v=1668557658,"66-75 days. Flawlessly uniform, 6 inch heads are beautiful blue-green, densely packed florets. The tightly domed heads are held high off the plants for easy harvest. This variety has excellent field holding capacity and is ideal for both warm and cold weather planting. It performed so well in our trials that it would have been a sin not to offer it. Good disease resistance."
BLACK,//territorialseed.com/cdn/shop/products/TM890_450x.jpg?v=1597272969,"85 days. A Russian heirloom that is one of the sweetest tomatoes we have evaluated in its size class. The opalescent rose fruit have darkened shoulders, are 3–4 inches wide, thin skinned, and quite soft. Indeterminate and very vigorous. Seed from a seed saver in the former Soviet Union."
BLACK BEAUTY,//territorialseed.com/cdn/shop/products/SQ790_450x.jpg?v=1597273295,"Cucurbita pepo 60 days. A great improvement over the old Black Zucchini. The 3–4 foot open bushes let you see the fruit before it becomes giant-sized. Best eaten when 6–8 inches long, the fruit is cylindrical, smooth, dark green, and straight. For a treat, dip blossoms in a beer batter and deep-fry."
BLACK MAGIC,//territorialseed.com/cdn/shop/products/KL382_450x.jpg?v=1597272578,"61 days. Conventional breeding, not magic, has spawned this improved lacinato. We love its uniformity, bolt resistance, cold tolerance, and the neat, tighter habit that sets it apart from others in its class. A superior performer from spring plantings, the vigorous plants produce easy-to-harvest rosettes of deeply savoyed and pigmented leaves. Growing to 15 inches wide and 19 inches tall, Black Magic yields an abundance of flavorful greens for continuous picking or whole-plant harvest."
BLUSH,//territorialseed.com/cdn/shop/products/TM999_3_450x.jpg?v=1607639821,"70 days. An elongated, plump, bullet-shaped cherry that is large enough to slice, yet still small enough for snacking out of hand. Radiant golden fruit are drizzled with ruby streaks. Blush came in second place for its intriguingly complex flavor during our in-house tomato tasting. Indeterminate plants produce 2 ½ inch long, 1 ¼ inch wide tomatoes."
BOBCAT,//territorialseed.com/cdn/shop/products/TM871_2_450x.jpg?v=1597272944,"68 days. Picture-perfect, smooth-skinned fruit have firm, meaty, gloriously red flesh and a classic tomato shape. These impressive 10 ounce slicers load heavily on powerful, strapping, determinate plants. Quick to mature, you can be enjoying Bobcat earlier in the season than most other varieties of this type. F 1–2, L, V."
BRANDYWINE,//territorialseed.com/cdn/shop/products/TM889_450x.jpg?v=1597272968,"85 days. This winner of Territorial Seed Company's Great Northwest Tomato Taste-Off has the flavor to which all other tomatoes are compared. An indeterminate, potato-leaf variety with a sweet, rich, slightly spicy flavor. Not a heavy-yielding tomato, but the rounded fruit are large, up to 7 inches across. We have been selecting and growing seed of Brandywine for many years; our selection is now one of the earliest strains."
BRIDGE TO PARIS,//territorialseed.com/cdn/shop/products/PP700_450x.jpg?v=1668557891,"83 days. We consider Bridge to Paris among the best all-around pepper we’ve grown. A sweet Italian type, this marvel offers staggeringly huge yields of big, elongated fruit with very few seeds and excellent flavor. Emerging green and ripening to red, the peppers can reach 7–9 inches long with a fruity taste. Enjoy the harvests fresh, fried, dried or smoked. The plants get tall, up to 30 inches in our trials, and load up with over two dozen fruit per plant. Thanks to Hudson Valley Seed for offering this exceptional de-hybridized pepper."
BUFFALOSTEAK F1,//territorialseed.com/cdn/shop/products/TM852_450x.jpg?v=1597272927,"75-80 days. A cut above the rest, this prime beefsteak has solid, meaty, bright red flesh that’s robustly flavorful. Early and more productive than many similar varieties with the beefsteak name, the vigorous, indeterminate plants yield lots of 6 ½ ounce fruit throughout the season. Just right for slicing off thick slabs to top your favorite burger. HR: F, ToMV, V. IR: N."
