Name,Image_URL,Image_URL_2,Description
Flamboyant tree,,,Delonix regia rouge : Flamboyant treeFamille : CaesalpinioideaeOrigin: MadagascarHeight in its natural environmen : 10 mHardiness : 1°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pink peacock flower tree,,,Pink Caesalpinia pulcherrima : Pink Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Orange Peacock flower tree,,,Caesalpinia pulcherrima orange : Orange Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : orangeDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Hop-headed barleria,,,Barleria lupulina : Hop-headed BarleriaFamily: AcantaceaeOrigin : India and MadagascarHeight in its natural environment : 2 mHardiness : 2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Native frangipani,,,Hymenosporum flavum  : Native frangipaniFamily: PittosporaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Lisptick tree,,,Bixa orellana : Lisptick treeFamily: BixaceaeOrigin : South AmericaHeight in its natural environment : 7 mHardiness : -1°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Pink desert rose,,,Pink Adenium obesum : pink desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : pink (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Natal lily 'Color mix',,,"Clivia miniata 'Color mix' : Natal lily 'Color mix'Family: AmarylidaceaeOrigin : South AfricaHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : surpize !Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Bird of paradise tree,,,Caesalpinia gilliesii : Bird of paradise treeFamily : CaesalpinioideaeOrigin : ArgentinaHeight in its natural environment : 3 mHardiness : -12°C (looses its leaves under 0°C)Flower colour : yellow with red stamensDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Yellow Frangipani tree,,,Mimosa pudica : Sensitive plantFamily: FabaceaeOrigin : BrasilHeight in its natural environment : 1mHardiness : 10°CFlower colour : pinkDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium growth
Sensitive plant,,,"Gossypium herbaceum : Cotton treeFamily : MalvaceaeOrigin : Sub Saharan Africa and ArabiaHeight in its natural environment : 1,50 mHardiness : 10°CFlower colour : purple then yellowDifficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Cotton tree,,,Hibiscus acetosella : African rosemallowFamily : MalvaceaeOrigin : AfricaHeight in its natural environment : 3 mHardiness : 4°CFlower colour: pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
African rosemallow,,,"Passiflora manicata : Red passion fruitFamily : PassifloraceaeOrigin : Colombia, EquatorHeight in its natural environment : 9 mHardiness : -3°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Red passion flower,,,"Passiflora edulis f. edulis : Passion fruitFamily : PassifloraceaeOrigin : Paraguay, BrasilHeight in its natural environment: 10 mHardiness: 0°CFlower colour : White and PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Passion fruit,,,Antigonon leptopus : Pink coral vineOrigin : MexicoHeight in its natural environment : 12 mHardiness : -7°CFlower colour : pinkDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Very fast grower
Pink coral vine,,,Stephanotis floribunda : Madagascar jasmineFamily : ApocynaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness: 5°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Madagascar jasmine,,,"Alpinia zerumbet : Shell ginger plantFamille : ZingiberaceaeOrigin : China and JapanHeight in its natural environment : 3 mHardiness : 5°C but rhizomes can handle frosts up to -10°cFlower colour : white, interior yellow,red and orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Shell ginger plant,,,Red Adenium obesum : Red desert roseFamily : ApocynaceaeOrigin : Eastern and Southern AfricaHaeight in its natural environment : 2 mHardiness : 10°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Red desert rose,,,"Clivia miniata : Natal lilyFamily: AmaryllidaceaeOrigin : South AfricaHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Natal lily,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Parkinsonia aculeata,,,Pseudogynoxys chenopodioides : Mexican flame vineFamily: AstéraceaeOrigin : MexicoHeight in its natural environment : 5 mHardiness : -4°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Mexican flame vine,,,"Belamcanda chinensis : Leopard lilyFamily : IridaceaeOrigin ChinaHeight in its natural environment : 0,90 mHardiness : -15°CFlower colour : orange spotted with purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Leopard lily,,,Albizia lebbeck : Womans Tongue Tree Family: FabaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Womans Tongue Tree,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Weeping Boer-bean,,,Tabernaemontana elegans : Toad treeOrigin : Eastern AfricaHeight in its natural environment : 12 mHardiness : -4°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Toad tree,,,Adenium obesum purple : Purple desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : Purple (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Purple desert rose,,,"Vigna caracalla : Corkscrew vineFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : -6°CFlower colour: white and purple first, then purple/orangeDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons) Fats grower"
Corkscrew vine,,,Cordia sebestena : Geiger treeFamily: BoraginaceaeOrigin : CaribbeansHeight in its natural environment : 9 mHardiness : -1°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Geiger tree,,,"Albuca spiralis : Corkscrew albucaFamily : AsparagaceaeOrigin : South AfricaHeight in its natural environment : 0.20 mHardiness: 10°CFlower colour : yellow - greenDifficulty level : Expert  Height : 10 to 20 cm, depending on the season  Medium grower"
Corkscrew albuca,,,Cananga odorata : Ylang ylangFamily : AnnonaceaeOrigin : India to PhilippinesHeight in its natural environment : 25 mHardiness : 5°CFlower colour : yellowDifficulty level : Expert  : Height : about 15cm (depending on the season) Medium grower
Ylang ylang,,,Antigonon leptopus'alba' : Liane corail blancheFamille : PolygonacéesOrigine : MexiqueHauteur dans son milieu naturel : 12 mRusticité : -7°CCouleur de la floraison : blancheDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance rapide
White coral vine,,,Plumeria rubra pink : Pink Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Pink Frangipani tree,,,Plumeria rubra red : Red Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Red Frangipani tree,,,"Dietes iridioides : Fortnight lilyFamily: IridaceaeOrigin : South Africa, KenyaHeight in its natural environment : 0,6 mHardiness : -6°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Fortnight lily,,,Passiflora racemosa : Red passion vineFamily: PassifloraceaeOrigin : BrasilHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : Red/PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Red passion vine,,,"Chorisia speciosa : Silk floss treeFamily: MalvaceaeOrigin : Brasil, ArgentinaHeight in its natural environment : 18 mHardiness : -6°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Silk floss tree,,,Pereskia bleo : Rose cactusFamily : CactaceaeOrigin : Colombia and PanamaHeight in its natural environment : 8 mHardiness : 10°CColour of the flower : red/orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Rose cactus,,,Echium fastuosum : Pride of MadeiraFamily : BorajinaceaeOrigin : Canary IslandHeight in its natural environment : 3 mHardiness : -7°CFlower colour : Purple/blueDifficulty level : Beginner  Height : about 5 / 10 cm  Fast grower
Pride of Madeira,,,Strelitzia reginae : Bird of paradiseFamilly : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -2°CFlower colour : orange and blueDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Bird of paradise,,,Jacaranda mimosifolia : Jacaranda treeFamily : BignoniaceaeOrigin : BrasilHeight in its natural environment : 50 mHardiness : -5°CFlower colour : blue to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Jacaranda tree,,,Cussonia spicata : Common cabbage treeFamily: AraliaceaeOrigin : South AfricaHeight in its natural environment : 15 mHardiness : -6°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Common cabbage tree,,,Atropa belladonna : Deadly nightshadeFamily: SolanaceaeOrigin : Europe and North AfricaHeight in its natural environment : 2 mHardiness : -22°CColour of the flower : dark redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower
Deadly nightshade,,,"Boophone disticha : Boophone distichaFamily : AmarylidaceaeOrigin : South AfricaHeight in its natural environment : 0,5 mHardiness: 0°CFlower colour: dark pink / redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Boophone disticha,,,Strelitzia juncea : Rush-leaved strelitziaFamiy : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -5°CColour flower: orange and blueDifficulty level : Beginner  Height: about 10 to 20 cm  Slow grower
Rush-leaved strelitzia,,,Spathodea campanulata :African tulip treeFamily : BignoniaceaeOrigin : Equatorial AfricaHeight in its natural environment : 25 mHardiness : -1°CFlower colour : red & orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
African tulip tree,,,"Lafoensia acuminata : Colombian Pinwheel TreeFamily : LythraceaeOrigin : Colombia, Brasil BoliviaHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Colombian Pinwheel Tree,,,"Caralluma socotranaFamily: ApocynaceaeOrigin : Socotra (Yemen), Kenya, SomaliaHeight in its natural environment : 30 cmHardiness : 15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Caralluma socotrana,,,"Uraria crinita :Asian foxtailFamily: FabaceaeOrigin : Tropical AsiaHeight in its natural environment : 1,5 mHardiness : 0°CColour of the flower : Pink/PurpleDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower"
Asian foxtail,,,Asphodelus fistulosus : Onion weedFamily: AsphodélaceaeOrigin : IndiaHeight in its natural environment : 60Hardiness : -12°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Onionweed,,,Plumeria rubra purple : Frangipani tree - PurpleFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly purpleDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Orange Frangipani tree,,,"Globba winitii : Dancing Lady GingerFamily: ZingiberaceaeOrigin : Thailand, MyanmarHeight in its natural environment : 1 mHardiness : -4°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Purple Frangipani tree,,,Neomarica gracilis : Walking IrisFamily: IridaceaeOrigin : BrasilHeight in its natural environment : 1mHardiness : 0°CColour of the flower : white and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Dancing Lady Ginger,,,"Passiflora alata : Winged-stem passion flowerFamily: PassifloraceaeOrigin of the Winged-stem passion flower : Peru, BrasilHeigh in its natural environment : 5 mHardiness : 5°CColour of the flower : red with purple, blue and white filamentsDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Walking iris,,,Echium wildpretii : Tower of jewels plantFamille : BorajinaceaeOrigine : Canary IslandsHeight in its natural environment : 3 mHardiness : -7°CFlower colour : redDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Fast grower
Winged-stem passion flower,,,"Chasmanthe bicolor : Chasmanthe bicolorFamily: IridaceaeOrigin : South AfricaHeight in its natural environment : 1,5 mHardiness : -7°CColour of the flower : Orange et yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Tower of jewels plant,,,Jatropha multifida : Coral plantFamily : EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 3 mHardiness : 0°CFlower colour : redDifficulty level : Beginner  Height : about 20 to 40 cm (depending on seasons)  Fast grower
Chasmanthe bicolor,,,"Strelitzia nicolai : Giant white bird of paradiseFamily : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 10 mHardiness : -2°CFlower colour : white, black and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Coral plant,,,Adansonia madagascariensis : Madagascar baobabFamily : BombacaceesOrigine : MadagascarHeight in its natural environment: 15 mHardiness : 4°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Giant white bird of paradise,,,"Aloe arborescens : Krantz aloeFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Madagascar baobab,,,Monodora myristica : Bellyache bushFamily: EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 4 mHardiness : -8°CColour of the flower : RougeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Aloe arborescens - Krantz aloe,,,Kigelia africana : Sausage treeFamily: BignoniaceaeOrigin : SenegalHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Bellyache bush,,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Sausage tree,,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
"Aloe arborescens variegata, unique specimen 2",,,"Afzelia xylocarpa : Makha treeFamily : FabaceaeOrigin : Cambodia, Vietnam, LaosHeight in its natural environment : 30 mHardiness : 0°CFlower colour : green and orangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
"Aloe arborescens variegata, unique specimen 1",,,"Geoffroea decorticans : ChañarFamily:FabaceaeOrigin : Chili, ArgentinaHeight in its natural environment : 7 mHardiness : -10°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Makha tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Chañar,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Yellowhorn tree,,,Syzygium longifoliumFamily: MyrtaceaeOrigin : New CaledoniaHeight in its natural environment : 10 mHardiness : 10°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Pineapple guava,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Syzygium longifolium,,,Ixora coccinea : Flame of the woodsFamily : RubiaceaeOrigin : South-East AsiaHeight in its natural environment : 2 mHardiness : 4°CColour of the flower : RedDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower
Golden rain tree,,,"Wrightia religiosa : Water jasmine treeFamily : ApocynaceaeOrigin : China, MalaysiaHeight in its natural environment: 3 mHardiness : 5°CFlower colour : whiteDifficulty level : Expert  Height : about 5 to 10 cm (depending on seasons)  Fast grower"
Flame of the woods,,,"Heliconia Heliconia subulata 'cauca' :Lobster claws plant 'cauca'Famille : HeliconiaceaeOrigin : Mexiqco, South AmericaHeight in its natural environment : 1,50 mHardiness : -5°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Water jasmine tree,,,Hardenbergia comptoniana : Wild Wisteria ClimberFamily : FabaceaeOrigin : AustraliaHeight in its natural environment : 3 mRusticity : -5°CFlower colour : purple and yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Lobster claws plant 'cauca',,,Passiflora mollissima : Banana passionfruitFamily : PassifloraceaeOrigin : South AmericaHeight in its natural environment : 5 mHardiness : -3°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Wild Wisteria Climber,,,Corymbia ficifolia : Red flowering gum treeFamily: MyrtaceaeOrigin : AustraliaHeight in its natural environment : 15 mHardiness : -3°CFlower colour : redDifficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Banana passionfruit,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Red flowering gum tree,,,Erythrina crista-galli : Cockspur coral treeFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 9 mRusticity : -12°CFlower colour : red orangeDifficulty level : Beginner  Height - about 10 to 20 cm (depending on seasons)  Fast Grower
Giant honey flower,,,Etlingera elatior red : Red Torch gingerFamily : ZingiberaceaeOrigin: MalaysiaHeight in its environment : 5 mRusticity : 10°CColour of the flower : redDifficulty level : Expert  : Height : about 5 to 20 cm (depending on seasons)  Fast grower
Cockspur coral tree,,,Etlingera elatior pink: Pink torch gingerFamily : ZingiberaceaeOrigin : MalaysiaHeight in its environment : 5 mRusticity : 10°CColours of the flower : pinkDifficulty level : Expert  : taille d'environ 15 cm  Croissance rapide
Red Torch ginger,,,Plumeria rubra white: Frangipani tree - WhiteFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly whiteDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Pink torch ginger,,,
White frangipani tree,,,
Kei apple tree,,,Dovyalis caffra : Kei apple treeFamily : SalicaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CFlower colour : green/yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Key lime tree,,,Citrus aurantifolia : Key lime treeFamily : RutaceaeOrigin : SOuth East AsiaHeight in its natural environment : 5 mHardiness : 0°CFlower colour : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Tamarind tree,,,"Tamarindus indica : Tamarind treeFamily : FabaceaeOrigin : MadagascarHeight in its natural environment : 25 mHardiness : -1°CFlower colour: yellow, orange with red stripesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons) Medium grower"
Governor's plum,,,Flacourtia indica : Governor's plumFamily: SalicaceaeOrigin : MadagascarHeight in its natural environment : 4 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pomegranate tree,,,Punica granatum : Pomegranate treeFamily : LythraceaeOrigin : Western AsiaHeight in its natural environment : 5 mHardiness : -15°CFlower colour : bright red  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Kaffir lime tree,,,Citrus hystrix : Kaffir lime treeFamily : RutaceaeOrigin : MalaysiaHeight in its natural environment : 15 mHardiness : -5°CFlower colour : white and pinkDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Brazilian cherry tree,,,Eugenia brasiliensis : Brazilian cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -5°CColour of the flower : WhiteLevel of difficulty : easyDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Soursop tree,,,"Annona muricata : Soursop treeFamily : AnnonaceaeOrigin : Brasil, PeruHeight in its natural environment : 10 mhardiness : 1°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Lakoocha fruit,,,We are also delighted to be able to offer youArtocarpus lacucha : LakoochaFamily: MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Noni tree,,,"Morinda citrifolia : Noni treeFamily: RubiaceaeOrigin : India, AustraliaHeight in its natural environment : 5 mHardiness : 5°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Passion fruit,,,"Passiflora edulis f. edulis : Passion fruitFamily : PassifloraceaeOrigin : Paraguay, BrasilHeight in its natural environment: 10 mHardiness: 0°CFlower colour : White and PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Monstera deliciosa,,,Monstera deliciosa : Monstera deliciosaFamily: AraceaeOrigin : MexicoHeight in its natural environment : 20 mHardiness : -1°CColour of the flower : White turning yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Dwarf pomegranate tree,,,Punica granatum 'nana' : Dwarf pomegranate treeFamily: LythraceaeOrigin : AsiaHeight in its natural environment : 1mHardiness : -12 °CColour of the flower : Red/OrangeDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Jackfruit tree,,,Artocarpus heterophyllus : Jackfruit treeFamily : MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : 0°CColor flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Strawberry guava,,,Psidium cattleianum : Strawberry Guava Family: MyrthaceaeOrigin : BrasilHeight in its natural environment : 7mHardiness : -5°CColour of the flower :White  Height : about 5 to 20 cm (depending on seasons)  Slow grower
