Name,Image URL 1,Mature Height,Mature Width,Sun,Bloom Size,Habit,Genus,Species,Variety,Product,Sun/Shade,Bloom Season Start,Bloom Season End,Bloom Color,Foliage Color,Resistance,Characteristics,Uses,Zone
Lemongrass Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00632.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",75,2.5 Feet,Full Sun,,Upright,Ocimum,basilicum,Large Leaf Italian,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,White,Medium Green,"Deer Resistance, Disease Resistant, Heat Tolerant, Pest Resistant","Bloom First Year, Cut-and-Come-Again, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter, Pruning Recommended","Border, Containers, Cuisine, Foliage Interest, Ground Cover, Outdoor",
Sugarleaf Organic Stevia Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05942.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,"Early Fall, Early Summer, Late Fall, Late Spring, Late Summer, Mid Fall, Mid Summer",Mentha,x piperita,"Herbs, Perennials, Seeds","Full Sun, Part Shade",Mid Summer,Purple,"Dark Green, Purple",Spreading,73,,,,
Italian Flat Leaf Organic Parsley Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05877-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",95,5 Feet,3 Feet,,"Containers, Cuisine",Ocimum,basilicum,Sweet Basil,"Herbs, Seeds",Full Sun,Light Green,75,"Early Fall, Early Summer, Late Summer, Mid Summer","Direct Sow, Edible, Herbs","Beds, Border, Containers, Cuisine, Foliage Interest, Hedge, Ornamental, Outdoor","9, 10, 11",,
Santo Cilantro Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00602.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,"10, 11",
Chives Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00531.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,"Bloom First Year, Easy Care Plants, Edible, Evergreen, Fragrance, Herbs, Rose Companions, Variegated",Cymbopogon,flexosus,"Grasses, Herbs, Perennials, Seeds",Full Sun,"Blue Green, Orange",Upright,95,"Early Summer, Late Summer, Mid Summer","Drought Tolerant, Heat Tolerant","Edible, Herbs","Beds, Containers, Cuisine, Foliage Interest",,
Culinary Blend Basil Organic Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52892-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",45,24 IN,Full Sun,,,,,,,,,,,,,,,
Longstanding Organic Cilantro Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05868-pk-p1_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,"Heat Tolerant, Humidity Tolerant",Stevia,rebaudiana,"Annuals, Herbs, Seeds",Full Sun,White,Medium Green,Upright,85,"Early Fall, Late Summer, Mid Fall","Certified Organic, Cut-and-Come-Again, Easy Care Plants, Edible, Herbs","Beds, Containers, Cuisine, Outdoor","Beds, Containers, Cuisine, Foliage Interest, Outdoor","Beds, Containers, Cuisine, Foliage Interest, Outdoor"
'Pacific Beauty Mix' Calendula Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00364-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,,"Beds, Containers, Cuisine, Cut Flowers"
Romanesco Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52428-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,2-3 IN,Heat Tolerant,Petroselinum,crispum,"Organic Parsley, Italian Flat Leaf","Annuals, Herbs, Seeds",Full Sun,Medium Green,Upright,60,"Early Fall, Early Summer, Late Summer, Mid Fall, Mid Summer","Early Fall, Early Summer, Late Fall, Late Summer, Mid Fall, Mid Summer","Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter",,"Beds, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor"
Greek Oregano Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01523-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,,
Dolce Fresca Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52489.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",2.5 Feet,2.5 Feet,"Full Sun, Part Shade",0 IN,45,Coriandrum,sativum,Santo,"Annuals, Herbs, Seeds",Full Sun,Mid Spring,Late Spring,Pink,Upright,"Cuisine, Ornamental, Outdoor","3, 4, 5, 6, 7, 8, 9","Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter","Beds, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor"
Everleaf Emerald Towers Basil Seeds  ,"https://www.parkseed.com/media/catalog/product/5/2/52770-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,"Bloom First Year, Butterfly Lovers, Cool Season, Easy Care Plants, Edible, Flower, Free Bloomer, Herbs",
Organic Sage Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05871-pk-p1_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",85,18 IN,Full Sun,,"Direct Sow, Edible, Flower, Fragrance, Herbs",Allium,schoenoprasum,"Herbs, Perennials, Seeds","Full Sun, Part Shade",Late Spring,"Lavender, Pink",Medium Green,Upright,80,"Containers, Cuisine",,"Bloom First Year, Cut-and-Come-Again, Edible, Fragrance, Herbs, Pest Fighter, Pruning Recommended","5, 6, 7, 8"
French Long Lavender Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01208-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,Pest Resistant,,"Beds, Border, Containers, Cuisine, Cut Flowers, Everlastings, Foliage Interest, Hedge, Ornamental, Outdoor"
Hidcote Blue Lavender Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01140.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,"Certified Organic, Direct Sow, Edible, Herbs",Ocimum,basilicum,Culinary Blend Organic,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,"Light Green, Medium Green, Purple",85,"Early Fall, Early Summer, Late Fall, Late Summer, Mid Fall, Mid Summer","Disease Resistant, Pest Resistant","Award Winner, Cut-and-Come-Again, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter","6, 7, 8, 9"
Italian Plain Leaf Parsley Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05636_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,,,,,,,,,,,Mound-shaped,"Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant",,
Nelly Organic Chive Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52904-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",75,2.7 Feet,3 Feet,,30,Coriandrum,sativum,Longstanding Certified Organic,"Annuals, Herbs, Seeds",Full Sun,Pink,4,Medium Green,Upright,"Early Summer, Late Summer, Mid Summer","5, 6, 7, 8, 9, 10","Border, Containers, Cuisine, Ornamental, Outdoor, Winter Interest",
Bouquet Organic Dill Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05869.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",95,2.5 Feet,2.1 Feet,Full Sun,Dark Green,Calendula,officinalis,'Pacific Beauty Mix' ,"Annuals, Herbs, Seeds","Full Sun, Part Shade",Mid Spring,Mid Fall,Yellow,3,"Border, Containers, Cuisine, Foliage Interest, Outdoor",,"Butterfly Lovers, Edible, Flower, Fragrance, Free Bloomer, Herbs, Pruning Recommended, Rose Companions","Beds, Cuisine, Foliage Interest, Outdoor"
Lettuce Leaf Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00290-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,70,Ocimum,basilicum,'Romanesco',"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Dark Green,Upright,,"Drought Tolerant, Heat Tolerant, Pest Resistant","Border, Cuisine, Hedge, Ornamental, Outdoor",
Mini Ornamental Mint Seeds,"https://www.parkseed.com/media/catalog/product/5/1/51428-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",60,12 IN,12 IN,,"Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Pest Fighter",Origanum,vulgare hirtum,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,"Purple, White",Dark Green,85,"Early Summer, Mid Summer","Early Summer, Late Summer, Mid Summer",,,
Siam Queen Thai Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00305-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,"Certified Organic, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs",,
Thymus 'Coccineus' Red Creeping Thyme,"https://www.parkseed.com/media/catalog/product/v/1/v1806_bdrxxxx4rqztdiyd.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,70,Ocimum,basilicum,Dolce Fresca,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Medium Green,Upright,"Cold Hardy, Pest Resistant","Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Pest Resistant","Bloom First Year, Certified Organic, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter","Border, Containers, Foliage Interest, Ground Cover, Ornamental, Outdoor"
Lavandula Phenomenal™,"https://www.parkseed.com/media/catalog/product/v/1/v1899_j8g0tggplcwshv3b.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,Ocimum,basilcum,"Herbs, Seeds",Full Sun,Early Spring,Mid Summer,40,"Edible, Fragrance, Herbs","Beds, Border, Containers, Cuisine",95,"Edible, Flower, Fragrance, Herbs","Beds, Containers, Cuisine","Cold Hardy, Crown Rot, Deer Resistance, Disease Resistant, Downy Mildew, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant, Powdery Mildew"
Borage Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00337-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,75,,,,,,,,,,Drought Tolerant,"Beds, Containers, Cuisine, Outdoor",,"Beds, Cuisine, Outdoor, Wildflowers"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Kirigami Ornamental Oregano Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52026.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Light Green,Origanum ,x hybrida,'Kirigami',PPAF,"Perennials, Seeds",Full Sun,Late Spring,Late Summer,"Green, Multi-Color, Purple, Rose",Mound-shaped,"Drought Tolerant, Heat Tolerant, Humidity Tolerant","Bloom First Year, Butterfly Lovers, Easy Care Plants, Fragrance, Free Bloomer, Herbs, Hummingbird Lovers","Baskets, Border, Containers, Cut Flowers, Foliage Interest, Ornamental, Outdoor, Vines and Climbers"
Lavandula Big Time Blue,"https://www.parkseed.com/media/catalog/product/3/6/36419_ssiwtohllxahcp7c.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",05-Sep,24 IN,16 IN,Full Sun,Full Sun,1-Quart,Lavandula,angustifolia,'Armtipp01',PP24827,Perennials,Mound-shaped,5,9,"Blue, Lavender, Purple",4,Early Summer,Late Summer
Culinary Blend Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52429-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",85,2.7 Feet,24 IN,Full Sun,85,Ocimum,basilicum,'Romanesco',"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Dark Green,Upright,"Early Summer, Late Summer, Mid Summer","Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Bloom First Year, Cut-and-Come-Again, Edible, Fragrance, Herbs, Pest Fighter, Pruning Recommended","Beds, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor"
White Swan Coneflower Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00801-pk-p1_1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Medium Green,Echinacea,purpurea,White Swan,"Perennials, Seeds",Full Sun,Early Summer,Early Fall,White,5,"Cold Hardy, Disease Resistant, Drought Tolerant, Heat Tolerant, Pest Resistant","Bird Lovers, Butterfly Lovers, Easy Care Plants, Flower, Fragrance, Needs Deadheading, Repeat Bloomer","Beds, Border, Cut Flowers, Everlastings, Ornamental, Outdoor","3, 4, 5, 6, 7, 8, 9"
Italian Organic Oregano Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05878-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",24 IN,3 Feet,Full Sun,4-5 IN,"Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant",Origanum,vulgare,"Organic Oregano, Italian","Herbs, Perennials, Seeds",Full Sun,"Lavender, Pink",Dark Green,Mound-shaped,"Early Summer, Late Summer, Mid Summer","Butterfly Lovers, Certified Organic, Cut-and-Come-Again, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Hummingbird Lovers, Pest Fighter, Pruning Recommended, Rose Companions","Border, Containers, Cuisine, Ornamental, Outdoor","5, 6, 7, 8, 9, 10",
Blue Butterfly Pea Seeds,"https://www.parkseed.com/media/catalog/product/5/4/54028-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,,"Cuisine, Ornamental, Outdoor"
Lavandula 'Hidcote Blue',"https://www.parkseed.com/media/catalog/product/4/9/49653_6vgm6sn4pjo446ki.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",18 IN,18 IN,Full Sun,0 IN,Vining,Clitoria,ternatea,Blue Butterfly,"Herbs, Seeds",Full Sun,Early Summer,Late Summer,Blue,Medium Green,80,Heat Tolerant,"Double Blooms, Edible, Flower, Herbs","Beds, Border, Containers, Cuisine, Cut Flowers, Everlastings, Foliage Interest, Hedge, Ornamental, Outdoor, Potpourri"
Lavandula Sweet Romance®,"https://www.parkseed.com/media/catalog/product/2/7/27058_ynkzhlxmzas5yl2l.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Lavender,1-Quart,Lavandula,angustifolia,'Hidcote Blue',"Perennials, Plants",Mound-shaped,6,9,Full Sun,Mid Summer,"Deer Resistance, Drought Tolerant, Heat Tolerant","Bloom First Year, Butterfly Lovers, Flower, Fragrance, Herbs, Long Bloomers","Deer Resistance, Drought Tolerant"
Echinacea 'Cheyenne Spirit' Mix,"https://www.parkseed.com/media/catalog/product/v/1/v1892_efaecxtjxt4fhsso.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",06-Sep,18 IN,18 IN,Full Sun,"Blue, Purple",1-Quart,Lavandula,angustifolia,'KERLAVANGEM',PP23001,"Perennials, Plants",5,9,Full Sun,Early Summer,Late Fall,Silver/Gray,"Award Winner, Bird Lovers, Bloom First Year, Butterfly Lovers, Easy Care Plants, Ever Blooming, Flower, Free Bloomer, Long Bloomers, Native, Repeat Bloomer, Rose Companions"
Lemon Balm Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00293.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",05-Sep,18 IN,18 IN,Full Sun,Mid Summer,Echinacea,hybrid,'Cheyenne Spirit',"Perennials, Plants",Compact,4,9,Full Sun,Mix,Early Fall,Dark Green,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant",
Golden Feverfew Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01988-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",04-Sep,2.5 Feet,20 IN,Full Sun,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant",Melissa,officinalis,"Herbs, Perennials, Seeds","Full Sun, Part Shade",Early Summer,"White, Yellow",Dark Green,Upright,35,"Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Rose Companions","Beds, Border, Containers, Cuisine, Foliage Interest, Outdoor","3, 4, 5, 6, 7","Cuisine, Ornamental"
Cardinal Organic Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52490.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,,"Bird Lovers, Bloom First Year, Butterfly Lovers, Certified Organic, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Pest Fighter, Repeat Bloomer"
English Thyme Seeds,"https://www.parkseed.com/media/catalog/product/0/2/02015.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Compact,Tanacetum,parthenium,Golden Feverfew,"Herbs, Perennials, Seeds",Full Sun,Early Summer,Late Summer,"Gold, White",Medium Green,"Early Summer, Late Summer, Mid Summer",Cold Hardy,"Edible, Flower, Fragrance, Herbs, Pest Fighter","4, 5, 6, 7, 8"
Lavandula 'Anouk',"https://www.parkseed.com/media/catalog/product/2/7/27286_lcbdiy0yqxftftzb.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",60,2.5 Feet,18 IN,Full Sun,Mound-shaped,Ocimum,basilicum,Cardinal,"Annuals, Herbs, Seeds",Full Sun,Late Spring,Early Fall,"Burgundy, Red",Medium Green,60,"Early Fall, Early Summer, Late Summer, Mid Fall, Mid Summer","Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Light Green, Medium Green, Silver/Gray"
Park's Top Coneflower Seed Collection ,"https://www.parkseed.com/media/catalog/product/2/7/27025.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",90,18 IN,24 IN,Full Sun,"Early Fall, Early Summer, Late Spring, Late Summer, Mid Summer",Thymus,vulgaris,"Herbs, Perennials, Seeds",Full Sun,Early Summer,Rose,"Dark Green, Gray, Olive Green",Compact,90,"Cold Hardy, Heat Tolerant, Humidity Tolerant, Pest Resistant","Bloom First Year, Cut-and-Come-Again, Easy Care Plants, Edible, Evergreen, Flower, Fragrance, Herbs, Pest Fighter, Pruning Recommended, Rose Companions","Border, Containers, Cuisine, Ground Cover, Ornamental, Outdoor, Winter Interest",
Speedy Arugula Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52596-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",06-Oct,18 IN,14 IN,Full Sun,Full Sun,1-Quart,Lavandula,stoechas,'Anouk' ,"PP#16,685",Perennials,Compact,6,10,Purple,Mid Spring,Late Spring,
Thymus 'Purple Carpet' Creeping Thyme,"https://www.parkseed.com/media/catalog/product/2/9/29061.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",Full Sun,0 IN,,,,Echinacea,purpurea,Collections,Full Sun,"Bird Lovers, Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Easy Care Plants, Flower, Fragrance, Free Bloomer, Needs Deadheading, Pest Fighter, Repeat Bloomer","Beds, Border, Containers, Everlastings, Ornamental, Outdoor, Wildflowers","3, 4, 5, 6, 7, 8, 9",,,,,,Cold Hardy
