Names
"Sunflower, Velvet Queen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Moonflower,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Hummingbird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Phlox, Mixed Colors (Annual)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, CA Formula",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, Orange",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, Red Corn",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Butterfly Milkweed (Asclepias Tuberosa),24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Hummingbird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Phlox, Mixed Colors (Annual)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, CA Formula",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, Red Corn",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Wildflower Mix, Northeastern & Fescue",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Mexican Sunflower (Tithonia rotundifolia)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Hummingbird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Aster, Powderpuff (Callistephus chinensis)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Butterfly Milkweed (Asclepias Tuberosa),24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Chrysanthemum Garland, Coronarium (Mum)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Deer Resistant Flower Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Four O’clock Rose,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Moonflower,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Nasturtium, Jewel Mix",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Native Perennial Seed Mix,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Shasta Daisy,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Verbena, Mixed Florist Mix",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bird & Butterfly Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Black Eyed Susan,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bumblebee Buffet,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Coneflower, Purple",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Alfalfa, American Double Eagle Brand",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Alfalfa, American Eagle Brand",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Barley, Orwell Spring",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Bromegrass, Smooth",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Canarygrass, Triatholon Reed",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Alsike",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Ladino",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Crimson",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Medium Red, VNS",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, White Dutch",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Yellow Blossom",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Rye (Grain) VNS,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Timothy, Climax",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Trefoil, Norcen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Crown Vetch, Penngift",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Vetch, Hairy",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Orchardgrass, Alpine II",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Orchardgrass, Devour",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Orchardgrass, Potomac",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Winter Peas, Austrian",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Rape,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sorghum Grain, Heading",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Buckwheat, Common",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Chufa,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
{plant_name},24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Oats, Kara",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Rape,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sorghum, Green Grazer",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Alfalfa, Variety Not Specified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Beet, Sugar (120 Days), Heirloom",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Bucks-A-Plenty,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Chicory, Six Point",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Clover, Crimson",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Crown Vetch, Penngift",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Kale, Early Curled Siberian (55 Days), Heirloom",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Radish, Daikon – Cover Crop",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Rye (Grain) VNS,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sorghum Grain, Heading",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Switchgrass,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sunflower, Black Oil Hybrid (Perodovik Sunflower)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Timothy, Climax",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Trefoil, Norcen",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Turnip, Purple Top White Globe (57 days), Heirloom",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Fawn Tall Fescue,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Broadcast Spreader,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Grass Mix, 85/15X",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Grass Mix, Fairway",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Grass Mix, Penn State Pro",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Grass Mix, Kentucky Bluegrass Blend",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Grass Mix, Shady",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Monarch Butterfly Garden Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Phlox, Mixed Colors (Annual)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, CA Formula",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, Orange",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Poppy, Red Corn",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Shade Mixture,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Sweet Pea, Knee High",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Zinnia, American Mixture",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
{plant_name},24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Zinnia, California Giant",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Zinnia, State Fair Mixture",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Vetch, Hairy",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Vivant Hybrid Brassica,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Wheat SW535SR,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Winter Peas, Austrian",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potato, German Butterball (Late), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Elba (Late), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Norwis (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Purple Viking (Early Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Reba (Late Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Red Gold (Early), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Shepody (Early), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
Macho 2.0 FL potato pest control,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Adirondack Blue (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Adirondack Red (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Austrian Crescent (Long Season)",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Banana (Long Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Caribou Russet (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Chiefton (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Eva (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, French Fingerling (Mid Long Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Gold Rush (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Katahdin (Late Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Kennebec (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Keuka Gold (Mid Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
"Potatoes, Lehigh (Late Season), Certified",24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",5.5 - 7.0,1 - 3 feet,0.8 inch,7 - 10,30 mm
