Seed Name,Temperature (2 m),Precipitation,Soil Temperature (0 to 6 cm),Soil Moisture (0-3 cm),Sunshine Duration,Humidity,Soil Type,Watering (per week)
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Peas and Oats Mix Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Oats (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Winter Rye (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Alyssum Flower Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Peas and Oats Mix Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Oats (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Winter Rye (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Field Peas (Maxum) Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Alyssum Flower Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Peas and Oats Mix Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Oats (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Winter Rye (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Field Peas (Maxum) Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Alyssum Flower Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Peas and Oats Mix Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Oats (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Winter Rye (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Field Peas (Maxum) Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Alyssum Flower Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Peas and Oats Mix Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Oats (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Winter Rye (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Field Peas (Maxum) Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mighty Mustard® Pacific Gold Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
VNS Yellow Pea Organic Field Pea Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Fall Green Manure Mix Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Sweet Alyssum Flower Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Hairy Vetch Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Buckwheat (Common) Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
New Zealand White Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Yellow Mustard Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Crimson Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Medium Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
Mammoth Red Clover Organic Cover Crop Seed,24°C,400 mm,15°C,70%,7 hours,65%,"['Loam', 'Sandy Loam', 'Clay Loam']",30 mm
