Name,Image URL 1,Description,Family,Type,Native,Hardiness,Exposure,Plant_dimension,Variety_info,Attributes
Moroccan Cilantro/Coriander,//www.botanicalinterests.com/cdn/shop/files/5015i_Cilantro-Coriander-Moroccan.jpg?v=1715193634&width=1445,"Moroccan coriander is a four-in-one herb! Fast-growing, it quickly produces a flavorful flush of leaves soon followed by delicate, white (and edible) flowers that are a treat for small beneficial insects, keeping pests away. But the best part of this variety is the large, green seed pods with bright, aromatic flavor that come after flowering; since it's quick to bolt, it's ideal for producing an abundance of seeds, and its long, clean stems make harvesting easy! Let them dry to brown and use as homemade ground coriander spice—essential to international cuisine. Easy to grow and versatile!",Family: Lamiaceae,Native: Africa and Western Europe,Hardiness: Perennial in USDA zone 5–9,Exposure: Full sun to part shade,"Plant Dimensions: 6""–12"" tall and wide","Variety Info: Very small (¼""), very fragrant leaves with white to light pinkish/purple flowers in early summer. Evergreen herb used in cooking and for ornamental purposes. Essential in Herbes de Provence.","Attributes: Attracts Pollinators, Drought Tolerant, Deer Resistant, Edible Flower",
Lemon Balm Seeds,//www.botanicalinterests.com/cdn/shop/files/6078i_Lemon-Balm-ORG.jpg?v=1708512687&width=1445,"Due to its beauty and fragrance, the medieval Frankish king, Charlemagne, had lemon balm planted in every monastery garden. Add to tea, use as a cooking herb to impart lemony flavor, or enjoy its aromatherapeutic qualities in a relaxing bath. Used by herbalists for insomnia and to soothe upset stomachs. A good container variety.",,,,,,,,
Sweet Thai Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6134i_Basil-Thai-Sweet-Thai-ORG.jpg?v=1708514759&width=1445, Thai basil is a popular herb in Southeast Asian cuisine and is a flavorful garnish served with Vietnamese pho (a savory broth of noodles and meat). It holds its flavor and texture better after cooking than other basil varieties and adds a kick to salads when sliced and eaten fresh. Sweet Thai's dark purple flowers and intoxicating scent make it a beautiful addition to the flower garden. A terrific container variety.,Family: Lamiaceae,"Native: Africa, Asia, Europe",Hardiness: Perennial in USDA zones 8 and warmer,Exposure: Full sun,Plant Dimensions: 2'–4' tall and as wide,"Variety Info: Very narrow, ½""–1"" long, gray-green, evergreen needle-like leaves have a piney, astringent flavor and spicy, pine aroma.","Attributes: Deer Resistant, Heat Tolerant, Drought Tolerant, Good for Containers","Attributes: Frost Sensitive, Good for Containers"
True Greek Oregano Seeds,//www.botanicalinterests.com/cdn/shop/files/5037i_Oregano-True-Greek.jpg?v=1708513442&width=1445,"Greek oregano is the superior, true culinary type of oregano prized by Italian and Greek chefs. It is highly aromatic and flavorful, superbly complementing fresh tomatoes or tomato sauces, omelets, marinated vegetables, meat, fish, and poultry. A good container variety.",,,,,,,,
Flat Leaf Parsley Seeds,//www.botanicalinterests.com/cdn/shop/files/6095i_Parsley-Flat-Leaf-ORG.jpg?v=1715193869&width=1445,"Grown as an annual and preferred by cooks for its robust flavor, flat-leaved parsley adds a fresh, tantalizing note to omelets, stews, vegetables, and even soft cheeses and rice. The flat leaves are easy to chop. Parsley is one of the most used culinary herbs around the globe; it is also considered to aid digestion. Grow indoors for fresh parsley year-round.",Family: Alliaceae,"Native: Europe, Asia, North America",Hardiness: Hardy perennial in USDA zones 4–8,Exposure: Full sun to part shade,Bloom Period: Spring to summer,"Plant Dimensions: 12"" tall, 8""–10"" wide","Variety Info: Bright green, slender, hollow leaves with a mild onion flavor; pinkish-purple pom-pom flowers appear in late spring to early summer. If there were an award for ""easiest herb to grow"", chives would win, hands down. Once you plant chives in your garden, chances are you'll always have them. They can be easily dug up and divided if the clump gets too large. In mild climates, plants are nearly evergreen.",
Broadleaf Sage Seeds,//www.botanicalinterests.com/cdn/shop/files/6092i_Sage-Garden-Broadleaf-ORG.jpg?v=1715194311&width=1445,"Sage's flavor is bold and assertive, and considered very valuable as a digestive aid to high-fat foods, such as pork, wild game, and cheese. Often paired with stuffing, it also livens up vegetables, potatoes, soups, and stews. This drought-tolerant plant also has edible, purple-blue flowers that attract pollinators, and the gray-green foliage provides an excellent contrast in the garden or containers.",Family: Alliaceae,Native: Asia,Hardiness: Perennial in USDA zones 3–9,Exposure: Full sun to part shade,"Plant Dimensions: 18"" tall","Variety Info: Flat leaves are ¼"" wide, 10""–18"" long. White flowers on tubular stems bloom mid- to late summer. Garlic chives are also called Chinese chives because they are used extensively in Chinese cooking.","Attributes: Drought Tolerant, Good for Containers, Attracts Pollinators, Deer Resistant",
Bouquet Dill Seeds,//www.botanicalinterests.com/cdn/shop/files/6030i_Dill-Bouquet-ORG.jpg?v=1708515721&width=1445,"Particularly good for pickling because of early and abundant seed production, 'Bouquet's' foliage is also delicious sprinkled on potatoes, tomatoes, salmon, spinach, cucumbers, and lamb chops. Very aromatic. Dill is an important host plant for caterpillars of swallowtail butterflies.",,,,,,,,
Cardinal Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6000i_Basil-Cardinal-ORG.jpg?v=1715195426&width=1445,"Cardinal's' richly colored blooms and robust flavor make it a wonderful dual-purpose basil. With its strong aroma, a little goes a long way in the kitchen. But it's also a striking accent in a mixed container, adding a unique shape, color, and fragrance. Bring its beauty indoors as a fragrant cut flower.",Family: Apiaceae,Native: Mediterranean region,Hardiness: Annual,Exposure: Full sun to part shade,"Plant Dimensions: When flowering, plants can reach 12""-24"" tall","Variety Info: Moroccan cilantro can be grown for foliage use, but is exceptional for coriander production because of its large, very flavorful seeds.","Attributes: Good for Containers, Attracts Beneficial Insects","Attributes: Attracts Pollinators, Cut Flower, Edible Flower, Good for Containers, Frost Sensitive"
Catnip Seeds,//www.botanicalinterests.com/cdn/shop/files/5027i_Catnip.jpg?v=1715191943&width=1445," Catnip is a multi-purpose plant. The tea is very pleasant with a lemon-mint flavor and fragrance. Along with fresh catnip planted in containers indoors year-round, catnip toys filled with dried leaves will provide your feline friends with hours of fun. But be warned; they may ignore you for a while! Catnip is very hardy and grows in almost any soil; self-sows readily. ",,,,,,,,
Six Basil Blend Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6117i_Basil-Six-Basil-Blend-ORG.jpg?v=1715193458&width=1445,"Imagine the many ways you can use the wonderful textures, scents, and flavors in this unique blend of basils! Blend includes Genovese and large leaf basil for pesto and pasta; 'Dark Opal' for colorful vinegars; lime for flavored oils, sauces, and sorbet; lemon for chicken, fish, and pasta dishes; and cinnamon to add an extra flavor kick to fruit salads. There are dozens of ways to enjoy this bountiful blend of basils! Be sure to freeze extra basil in cubes of olive oil to make pesto throughout the year and save some stalks for your floral arrangement.",Family: Lamiaceae,Native: Mediterranean region and Asia,"Hardiness: Perennial, USDA zones 3–7",Exposure: Full sun to part shade,"Plant Dimensions: 18""–24"" tall, 24""–36"" wide","Variety Info: Lemon balm has crinkled, oval leaves with serrated edges and square stems. The leaves have a lemony mint flavor and fragrance. Small white flowers bloom from mid- to late summer.","Attributes: Attracts Pollinators, Deer Resistant, Drought Tolerant, Good for Containers","Attributes: Frost Sensitive, Good for Containers"
Candy Stevia Seeds,//www.botanicalinterests.com/cdn/shop/files/6128i_Stevia-ORG.jpg?v=1715195883&width=1445,"Now you can grow your own calorie-free, carbohydrate-free, low-glycemic sweetener at home! Stevia, also called sweetleaf, is up to 300 times sweeter than sugar, so a little goes a long way. Some say the leaves have a slight, pleasant, anise aftertaste. The bushy, 18""-30"" tall plants can be grown in 10""-12"" diameter containers. Leaves are sweetest just before the plant flowers in late summer to fall. Grown as an annual, although perennial in USDA zones 10 and warmer.",,,,,,,,Attributes: Good for Containers
Purple Petra Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6093i_Basil-Purple-Petra-ORG.jpg?v=1708513970&width=1445,"A mild, sweet taste that is perfect for those who love basil's flavor, but shy away from too much herbal spiciness. It's excellent in a variety of dishes, including pesto, pasta, and salads. 'Purple Petra' also makes a lovely pink-tinted vinegar or oil. Grow it as a companion plant for your tomatoes or in other areas of the garden as an ornamental. Try pairing it with 'Lemon Drop' French marigold or Bells of Ireland for vibrant contrast.",Family: Laminaceae,Type: Basil (Learn more),"Native: Probably Africa, but in cultivation for so long that it cannot be verified.",Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: 12""–24"" tall and wide","Variety Info: Upright, multi-branched, and quite bushy plant with bright green, elliptical leaves, dark burgundy/purple flower heads, and an anise-clove scent. Thai basil is called Horapha in Thailand and Hung Que in Vietnam.","Attributes: Frost Sensitive, Good for Containers"
Green and Red Shiso Perilla Seeds,//www.botanicalinterests.com/cdn/shop/files/5048i_Shiso-Perilla-Green-and-Red.jpg?v=1715193815&width=1445,"An absolute must for herb gardens! Also called Japanese basil or beefsteak plant, shiso's incredible flavor can be described as a combination of cinnamon, mint, and clove with overtones of cumin. A beautiful, heat- and drought-tolerant bedding plant that attracts pollinators, and is excellent for containers. This packet provides 75% green shiso and 25% red.",Family: Lamiaceae,"Native: Asia, Europe, and the Mediterranean region",Hardiness: Perennial in USDA zones 4–8,Exposure: Full sun,"Plant Dimensions: 18""–24"" tall, 12""–18"" wide","Variety Info: 1 ½"" long oval, gray green, fuzzy leaves. Small white or pink flowers bloom from summer to  fall. Stalks become woody with age.","Attributes: Attracts Pollinators, Deer Resistant, Drought Tolerant, Heat Tolerant, Good for Containers",
Mexican Tarragon Seeds,//www.botanicalinterests.com/cdn/shop/files/5063i_Tarragon-Mexican.jpg?v=1715193703&width=1445,"Mexican tarragon is a type of marigold that produces delicious leaves with notes of anise. It can be used as a substitute for French tarragon, and it is easier to grow in heat and humidity, while being fairly drought tolerant. The leaves have a stronger flavor so less is needed to flavor a dish. Excellent container herb that can be grown indoors during the winter. Also called Mexican Mint and Spanish, Texas, or Winter tarragon.",,,,,,,,
California Giants Blend Zinnia Seeds,//www.botanicalinterests.com/cdn/shop/files/1047i_Zinnia-California-Giants.jpg?v=1715191929&width=1445,,Family: Asteraceae,Type: Zinnia (Learn more),Native: Mexico,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,"Plant Dimensions: 24""–48"" tall","Variety Info: Large, 4""–6"" flowers in red, pink, purple, and white."
Tall Maximum Blend Snapdragon Seeds,//www.botanicalinterests.com/cdn/shop/files/1035i_Snapdragon-Tall-Maximum.jpg?v=1715190929&width=1445,"Add snapdragon charm to your garden and cut-flower arrangements. A bee magnet, bumblebees climb into the ""mouths"" and sometimes are completely hidden! Breathtaking when planted in mass. Late afternoon shade is beneficial in hot summer areas. The edible flowers make a pretty garnish on salads, desserts, and cold drinks. Usually grown as an annual, although perennial in USDA zones 5 and warmer. Deer resistant.  ",Family: Plantaginaceae,"Native: Southern Europe, Northern Africa, and West Asia","Hardiness: Usually grown as an annual, though perennial in USDA zone 5 and warmer.",Exposure: Full sun to part shade,Bloom Period: Heaviest in cool weather,"Plant Dimensions: 30""-36"" tall, about 12"" wide","Variety Info: 1"" flowers in shades of red, white, yellow, and pink start blooming on the lower part of the flower stalks, moving up, until the last flower to open is at the top of the stalk.","Attributes: Attracts Pollinators, Cut Flower, Deer Resistant, Good for Containers, Edible Flower"
Vivian Romaine Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/0220i_Lettuce-R-Parris-Island-Cos_794b578a-3a0e-4e93-86fa-20198f34b7b2.jpg?v=1715192544&width=1445,"This emerald green lettuce will be a gem in your garden. 'Vivian' has crisp leaves wrapped in tight heads that reach a whopping 12""—16'' tall and 4""—6'' across, making its large leaves the perfect choice for impressive salads or tender lettuce wraps. Bolt resistance and vigorous growth make it a dependable performer that produces tender baby greens in just a few weeks.",Days to Maturity: 28–50 days,Family: Asteraceae,Type: Romaine Lettuce (Learn more),Native: Unknown; lettuce has been in cultivation for a long time.,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 4""–6"" wide, 12""–16"" tall","Variety Info: Tightly formed, crisp, romaine-type lettuce."
Italian Genovese Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6027i_Basil-Italian-Genovese-ORG.jpg?v=1715192025&width=1445,"There is nothing like the aroma of basil in the summer! Genovese has the traditional fragrance and flavor, making it excellent for almost any basil dish, especially pesto. One of the most useful herbs, it also has beautiful, edible flowers. In a warm, sunny window, basil can grow indoors in the winter! A good container variety.",Family: Laminaceae,Type: Basil (Learn more),"Native: Probably Africa, but in cultivation for so long that it cannot be verified.",Hardiness: Frost-sensitive annual,Exposure: Full sun to part shade,"Plant Dimensions: 18""–24"" tall, 10"" wide","Variety Info: Large, dark green almond-shaped leaves. This is the true Italian pesto basil from the Genoa area of Italy, pesto capital of the world.","Attributes: Frost Sensitive, Good for Containers"
Tulsi Holy Basil Seeds,//www.botanicalinterests.com/cdn/shop/files/6132i_Basil-Holy-Tulsi.jpg?v=1708514541&width=1445,"Known as the Queen of Herbs in India, tulsi is considered to be sacred. This type of holy basil is also known as kapoor, or temperate basil. It is distinguished by its bubble-gum scent, frost-tolerance, and fast-growing nature. Its health-promoting properties are said to help combat stress and other medical concerns. If allowed to flower, it is a bee magnet and it may reseed. Grow indoors for a continuous supply of fresh leaves throughout the winter.",Family: Laminaceae,Type: Basil (Learn more),Native: Unknown,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: Up to 24"" tall and wide","Variety Info: This green-leaved, purplish-pink flowered tulsi basil has the aroma of bubble gum, with a spicy, fruity flavor. It is also known as kapoor or temperate tulsi, and has yet to be identified with a scientific name.","Attributes: Frost Tolerant, Good for Containers"
Buttercrunch Butterhead Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3052i_Lettuce-Butterhead-Butter-ORG_3ef3505f-b8fd-4c3a-825e-6125f02f9a23.jpg?v=1708515826&width=1445,"Buttercrunch' is a vigorous grower with a creamy yellow interior, buttery flavor and melt-in-your-mouth texture, pleasing palates since 1963. Small heads are perfect for a single-serve salad. The compact size makes it a good container variety, and it's also attractive in the flower-garden border. All-America Selections Winner.",Days to Maturity: 21–65 days,Family: Asteraceae,Type: Butterhead Lettuce (Learn more),Native: Unknown; lettuce has been in cultivation for a long time.,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 5""–6"" wide, 3""–5"" tall","Variety Info: Large, soft, slightly crumpled light green leaves in a loose head with a creamy yellow core. 'Buttercrunch' is a butterhead type lettuce bred at Cornell University."
Black Beauty Summer Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/0048i_Squash-Summer-Black-Beauty.jpg?v=1715190948&width=1445,"Zucchini is one vegetable that just won't quit! This highly productive bush-type heirloom from the 1920s takes up little garden space. Dark green, shiny fruits with tender skin are very versatile in the kitchen. Can be steamed, sautéed, added to soups, omelets, and breads, made into relish, and eaten raw in salads or with dip. See inside of packet for zucchini relish recipe. 'Black Beauty' is a 1957 All-America Selections award winner.",Days to Maturity: 55 days,Family: Cucurbitaceae,"Type: Zucchini, Bush Squash, Summer Squash (Learn more)",Native: North America,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Compact vines form a 2' tall by 3'–4' bush-type plant.,"Variety Info: Best picked at 6""–8"" long, has very dark green, shiny thin skin with creamy white interior, introduced to the U.S. in the 1920s."
French Breakfast Radish Seeds,//www.botanicalinterests.com/cdn/shop/files/3008i_Radish-French-Breakfast-ORG.jpg?v=1708513482&width=1445,"French Breakfast' has endured in gardens for over 100 years because of its wonderful, delicate flavor. This spring radish grows best during the cool periods of spring and fall but will also withstand some summer heat! Looks incredible on a vegetable platter. Fun for kids to grow!",Days to Maturity: 28 days,Family: Brassicaceae,Type: Spring/Summer radish (Learn more),Native: Unknown,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 3""–4"" long tops, about 1"" wide root",Variety Info: Root is scarlet with a white tip.
Lacinato Dinosaur Kale Seeds,//www.botanicalinterests.com/cdn/shop/files/919_2188_large_933a72c0-3e2b-42f6-8815-381e91072038_735786.jpg?v=1715191316&width=1445,"This tender kale is also known as black Tuscan kale, black cabbage, and black palm. Vigorous dark green to black leaves of this 18th century heirloom are favored by gourmets. Harvest the first shoots as tender young salad greens in just 21 days when 2""–4"" tall, or achieve full-sized plants in 2 months. Try Kale & Pasta and Tuscan Kale Pesto recipes inside this packet.",Days to Maturity: 21–62 days,Family: Brassicaceae,Native: Europe,"Hardiness: Biennial grown as an annual, kale is very cold hardy and may overwinter in milder climates.",Exposure: Full sun,"Plant Dimensions: 24""–48"" tall, 12""–14"" wide","Variety Info: Very dark green, 3"" wide, heavily savoyed (crinkled) leaves.",Attributes: Frost Tolerant
Utah Celery Seeds,//www.botanicalinterests.com/cdn/shop/files/3146i_Celery-Utah-ORG.jpg?v=1708516301&width=1445,"Imagine slicing that first, big, beautiful bunch of celery from the earth in your garden. You can harvest individual stalks when just 6"" tall or wait for the bunch to mature. Celery grows best in climates with long, mild-temperature seasons, but with a few helpful tips, it can be grown almost anywhere.",Days to Maturity: 100–200 days,Family: Apiaceae,"Native: Africa, Asia, and Europe",Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun to part shade,"Plant Dimensions: 10""–30"" tall, stalks 10""–12"" and 4"" wide","Variety Info: Tall, dark green, thick, smooth stalks (leaf petioles)",Attributes: Frost Tolerant
Danvers 126 Carrot Seeds,//www.botanicalinterests.com/cdn/shop/files/7614i_L-Carrot-Danvers-126-ORG.jpg?v=1715191977&width=1445,"Growers in Danvers, Massachusetts during the late-19th century were searching for a carrot with improved color, yield, and uniformity. After many variations, the 'Danvers 126' carrot was born! It grows particularly well interplanted with onions and in heavy soils due to its high fiber content. Heat-tolerant with high yields, it also has a noticeably sweeter flavor and stores exceptionally well if cleaned after harvest. Resistant to cracks and splits.",Days to Maturity: 65 days,Family: Apiaceae,Type: Danvers Type (Learn more),"Native: Africa, Eurasia",Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: Roots are 6""–7"" long at their peak.","Variety Info: Orange roots, wide at the top, tapering to a point. 'Danvers 126' is a Danvers type carrot."
Sweet Banana Sweet Pepper Seeds,//www.botanicalinterests.com/cdn/shop/files/3080i_Pepper-Sweet-Banana-ORG.jpg?v=1708512418&width=1445,"This Hungarian heirloom from 1941 is the traditional pickling type. It is very long, bright yellow, and thick walled. Not a pickler? Enjoy it fresh as a snack or in salads, throw it on the grill, or use in any recipe calling for sweet pepper. Peppers will turn to a orange-red if left on the plant. A good short-season choice and successful in containers. A 1941 All-America Selections award winner.",Days to Maturity: 70 days from transplanting,Family: Solanaceae,Type: Sweet Pepper (Learn more),Native: Americas,Hardiness: Frost-sensitive perennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 16""–24"" upright plants","Variety Info: 5""–7"" long and 1 ½"" wide, mild, yellow peppers."
Zeolights Calendula (Pot Marigold) Seeds,//www.botanicalinterests.com/cdn/shop/files/2009i_Calendula-Pot-Marigold-Zeolights-ORG.jpg?v=1708512702&width=1445,"A new twist on the medicinal cottage-garden flower, this fancy beauty makes other calendulas look plain. Bronzy-orange petals fade to a delicate light pink, artfully contrasting with the yellow base and maroon back. Add the edible petals to salads and sandwiches or use as a garnish for a pretty touch.",Family: Asteraceae,Native: Probably the Mediterranean region,Hardiness: Frost-tolerant annual; may reseed to come back following year.,Exposure: Full sun,Bloom Period: Spring to frost,"Plant Dimensions: 12""–24"" tall","Variety Info: 1½""–2½"" fully double, bronzy-orange petals that fade to a delicate light pink, contrasting with the yellow base and maroon back.","Attributes: Attracts Pollinators, Cut Flower, Deer Resistant, Drought Tolerant, Frost Tolerant, Edible Flower"
Chocolate Cherry Pole Cherry Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3160i_Tomato-Cherry-Chocolate-ORG.jpg?v=1715195921&width=1445,"Chocolate Cherry' tomatoes—doesn't just the name make you hungry? These 1"" purplish-red,  delectable tomatoes are great for snacking on and add a little sweetness to salads and pastas.  The prolific vines bear seemingly endless trusses with 6–8 crack-resistant fruits that will keep you  coming back for harvest after harvest.",Days to Maturity: 70 days from transplanting,Family: Solanaceae,"Type: Indeterminate, Cherry Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Vines up to 6' or longer,"Variety Info: Purplish-red, 1"" round fruits in clusters of 6 to 8."
King Richard Leek Seeds,//www.botanicalinterests.com/cdn/shop/files/3057i_Leek-King-Richard-ORG.jpg?v=1708515035&width=1445,"Leeks' mild but rich onion flavor and cold tolerance make them a favorite in home kitchens and gardens. This onion relative has compact stems that thicken but do not form bulbs like onions. 'King Richard' produces extra long white stems early. Enjoy fresh, grilled, sautéed, and added to soups and stews. Cold tolerant to 20°F and can be left in the garden for an extended harvest.",Days to Maturity: 75 days,Family: Alliaceae,Native: Eastern Mediterranean region,Hardiness: Biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 18""–30"" tall. Under optimal growing conditions, the white part of 'King Richard' can be 12"" long, making the entire plant up to 30"" long.","Variety Info: Leek plants resemble a long, fat green onion. The white lower portion has a mild onion flavor while the green tops are stronger tasting. Cold hardy to 20°F.",Attributes: Frost Tolerant
